source_id,reason
33003,"wafer map pixels must be numeric 0, 1 or 2"
33006,"wafer map pixels must be numeric 0, 1 or 2"
33010,"wafer map pixels must be numeric 0, 1 or 2"
33019,"wafer map pixels must be numeric 0, 1 or 2"
33029,"wafer map pixels must be numeric 0, 1 or 2"
33039,"wafer map pixels must be numeric 0, 1 or 2"
33040,"wafer map pixels must be numeric 0, 1 or 2"
33045,"wafer map pixels must be numeric 0, 1 or 2"
33065,"wafer map pixels must be numeric 0, 1 or 2"
33070,"wafer map pixels must be numeric 0, 1 or 2"
33088,"wafer map pixels must be numeric 0, 1 or 2"
33102,"wafer map pixels must be numeric 0, 1 or 2"
33114,"wafer map pixels must be numeric 0, 1 or 2"
33141,"wafer map pixels must be numeric 0, 1 or 2"
33148,"wafer map pixels must be numeric 0, 1 or 2"
33155,"wafer map pixels must be numeric 0, 1 or 2"
33180,"wafer map pixels must be numeric 0, 1 or 2"
33181,"wafer map pixels must be numeric 0, 1 or 2"
33182,"wafer map pixels must be numeric 0, 1 or 2"
33183,"wafer map pixels must be numeric 0, 1 or 2"
33186,"wafer map pixels must be numeric 0, 1 or 2"
33188,"wafer map pixels must be numeric 0, 1 or 2"
33191,"wafer map pixels must be numeric 0, 1 or 2"
33193,"wafer map pixels must be numeric 0, 1 or 2"
33194,"wafer map pixels must be numeric 0, 1 or 2"
33196,"wafer map pixels must be numeric 0, 1 or 2"
33197,"wafer map pixels must be numeric 0, 1 or 2"
33226,"wafer map pixels must be numeric 0, 1 or 2"
33227,"wafer map pixels must be numeric 0, 1 or 2"
33228,"wafer map pixels must be numeric 0, 1 or 2"
33236,"wafer map pixels must be numeric 0, 1 or 2"
33238,"wafer map pixels must be numeric 0, 1 or 2"
33245,"wafer map pixels must be numeric 0, 1 or 2"
33247,"wafer map pixels must be numeric 0, 1 or 2"
33248,"wafer map pixels must be numeric 0, 1 or 2"
33249,"wafer map pixels must be numeric 0, 1 or 2"
33250,"wafer map pixels must be numeric 0, 1 or 2"
33255,"wafer map pixels must be numeric 0, 1 or 2"
33264,"wafer map pixels must be numeric 0, 1 or 2"
33265,"wafer map pixels must be numeric 0, 1 or 2"
33267,"wafer map pixels must be numeric 0, 1 or 2"
33282,"wafer map pixels must be numeric 0, 1 or 2"
33287,"wafer map pixels must be numeric 0, 1 or 2"
33295,"wafer map pixels must be numeric 0, 1 or 2"
33305,"wafer map pixels must be numeric 0, 1 or 2"
33307,"wafer map pixels must be numeric 0, 1 or 2"
33310,"wafer map pixels must be numeric 0, 1 or 2"
33321,"wafer map pixels must be numeric 0, 1 or 2"
33329,"wafer map pixels must be numeric 0, 1 or 2"
33342,"wafer map pixels must be numeric 0, 1 or 2"
33361,"wafer map pixels must be numeric 0, 1 or 2"
33365,"wafer map pixels must be numeric 0, 1 or 2"
33376,"wafer map pixels must be numeric 0, 1 or 2"
33386,"wafer map pixels must be numeric 0, 1 or 2"
33425,"wafer map pixels must be numeric 0, 1 or 2"
33476,"wafer map pixels must be numeric 0, 1 or 2"
33479,"wafer map pixels must be numeric 0, 1 or 2"
33481,"wafer map pixels must be numeric 0, 1 or 2"
33482,"wafer map pixels must be numeric 0, 1 or 2"
33497,"wafer map pixels must be numeric 0, 1 or 2"
33501,"wafer map pixels must be numeric 0, 1 or 2"
33502,"wafer map pixels must be numeric 0, 1 or 2"
33506,"wafer map pixels must be numeric 0, 1 or 2"
33508,"wafer map pixels must be numeric 0, 1 or 2"
33511,"wafer map pixels must be numeric 0, 1 or 2"
33512,"wafer map pixels must be numeric 0, 1 or 2"
33514,"wafer map pixels must be numeric 0, 1 or 2"
33529,"wafer map pixels must be numeric 0, 1 or 2"
33540,"wafer map pixels must be numeric 0, 1 or 2"
33556,"wafer map pixels must be numeric 0, 1 or 2"
33562,"wafer map pixels must be numeric 0, 1 or 2"
33574,"wafer map pixels must be numeric 0, 1 or 2"
33577,"wafer map pixels must be numeric 0, 1 or 2"
33593,"wafer map pixels must be numeric 0, 1 or 2"
33602,"wafer map pixels must be numeric 0, 1 or 2"
33603,"wafer map pixels must be numeric 0, 1 or 2"
33608,"wafer map pixels must be numeric 0, 1 or 2"
33622,"wafer map pixels must be numeric 0, 1 or 2"
33624,"wafer map pixels must be numeric 0, 1 or 2"
33643,"wafer map pixels must be numeric 0, 1 or 2"
33657,"wafer map pixels must be numeric 0, 1 or 2"
33666,"wafer map pixels must be numeric 0, 1 or 2"
33669,"wafer map pixels must be numeric 0, 1 or 2"
33675,"wafer map pixels must be numeric 0, 1 or 2"
33678,"wafer map pixels must be numeric 0, 1 or 2"
33725,"wafer map pixels must be numeric 0, 1 or 2"
33744,"wafer map pixels must be numeric 0, 1 or 2"
33745,"wafer map pixels must be numeric 0, 1 or 2"
33746,"wafer map pixels must be numeric 0, 1 or 2"
33757,"wafer map pixels must be numeric 0, 1 or 2"
33765,"wafer map pixels must be numeric 0, 1 or 2"
33769,"wafer map pixels must be numeric 0, 1 or 2"
33815,"wafer map pixels must be numeric 0, 1 or 2"
33829,"wafer map pixels must be numeric 0, 1 or 2"
33833,"wafer map pixels must be numeric 0, 1 or 2"
33834,"wafer map pixels must be numeric 0, 1 or 2"
33847,"wafer map pixels must be numeric 0, 1 or 2"
34867,"wafer map pixels must be numeric 0, 1 or 2"
34886,"wafer map pixels must be numeric 0, 1 or 2"
34892,"wafer map pixels must be numeric 0, 1 or 2"
34903,"wafer map pixels must be numeric 0, 1 or 2"
34923,"wafer map pixels must be numeric 0, 1 or 2"
34924,"wafer map pixels must be numeric 0, 1 or 2"
34926,"wafer map pixels must be numeric 0, 1 or 2"
34934,"wafer map pixels must be numeric 0, 1 or 2"
