track,split,model,repeat,stage,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean
grouped,test,P2_Bagging,0,all,296,23.232363475840625,4.819996211185297,3.5316156718262723,0.9700997216672947,0.044527792356218926,4.452779235621892,1.4191694770406804,0.4191694770406805
grouped,test,P2_Bagging,0,A,174,28.5122812461707,5.33968924621749,3.7995117542547536,0.97579580228937,0.04704771985907047,4.704771985907047,1.450452919189496,0.450452919189496
grouped,test,P2_Bagging,0,B,122,15.701988950943637,3.962573526250792,3.1495343739364716,0.5907769424272311,0.04093379739313559,4.0933797393135585,1.3745521087300747,0.3745521087300749
grouped,test,P2_Integrated,0,all,296,17.49727849283881,4.182974837700892,3.188201857866914,0.9774808319633607,0.03996075821101705,3.996075821101705,1.362107612808139,0.3621076128081392
grouped,test,P2_Integrated,0,A,174,18.703806353581335,4.324789746748544,3.230969454385908,0.9841222586500608,0.039506967191953596,3.9506967191953595,1.3576489396215399,0.35764893962153993
grouped,test,P2_Integrated,0,B,122,15.77649285538636,3.971963350206842,3.127205449716872,0.5888352320061875,0.04060796835296,4.060796835296,1.3684667040742726,0.36846670407427257
grouped,test,P2_KNN,0,all,296,33.41230595315879,5.780337875345938,4.553199324324325,0.9569980364341384,0.05744170142029525,5.744170142029525,1.5630697246077068,0.5630697246077067
grouped,test,P2_KNN,0,A,174,19.523957462829316,4.4185922489894125,3.3808727586206895,0.983426028859486,0.04135654772630394,4.135654772630394,1.3644455111308182,0.3644455111308184
grouped,test,P2_KNN,0,B,122,53.22027839018609,7.295222984267587,6.225206065573772,-0.3870195117158748,0.08038282226254514,8.038282226254514,1.8463534389108096,0.8463534389108097
grouped,test,P2_LR,0,all,296,21.746293129489995,4.663292091376005,3.6588827029285693,0.9720123086937533,0.04432115157446497,4.432115157446497,1.4257705265193785,0.4257705265193785
grouped,test,P2_LR,0,A,174,24.729193652265465,4.972845629241417,3.915491950498947,0.9790072815564599,0.04593176208345796,4.593176208345795,1.4640253520677062,0.46402535206770634
grouped,test,P2_LR,0,B,122,17.491992383892196,4.1823429299726484,3.29289902196754,0.5441261212996987,0.04202405134032744,4.202405134032744,1.3712103654914354,0.37121036549143555
grouped,test,P2_Persistent,0,all,296,40.4538425927027,6.360333528416784,5.272347972972973,0.9479355101168634,0.06607266436935529,6.607266436935529,1.7577310120752212,0.7577310120752211
grouped,test,P2_Persistent,0,A,174,34.93427682323274,5.9105225507760935,4.985119827586207,0.9703441427289875,0.0609245152149632,6.0924515214963195,1.6565539561020068,0.6565539561020068
grouped,test,P2_Persistent,0,B,122,48.3260101655533,6.951691173056618,5.682001229508198,-0.25946577226778333,0.07341510660594727,7.341510660594727,1.9020327148566907,0.9020327148566906
grouped,test,P2_SVR,0,all,296,20.576873135380882,4.536173843161314,3.627670514386821,0.9735173636292124,0.04518676888189891,4.518676888189891,1.4120053790100917,0.41200537901009165
grouped,test,P2_SVR,0,A,174,15.512005860563947,3.9385283876803463,3.1778500756708925,0.9868317917638398,0.03855210238894047,3.855210238894047,1.3475984899250097,0.3475984899250101
grouped,test,P2_SVR,0,B,122,27.8005362978247,5.272621387680392,4.269217697473472,0.2754662800043004,0.054649326011200296,5.464932601120029,1.5038643847543882,0.5038643847543882
grouped,validation,P2_Bagging,0,all,297,36.17862272309568,6.014866808425244,4.781490578887461,0.9670644804028757,0.059967340045924064,5.9967340045924065,1.6767200425252164,0.6767200425252163
grouped,validation,P2_Bagging,0,A,175,20.74626647076887,4.554806963063185,3.6603437200912246,0.9864593354675925,0.04094651465896249,4.094651465896249,1.410267784145154,0.41026778414515425
grouped,validation,P2_Bagging,0,B,122,58.315199314548074,7.636438915787127,6.389693040275509,0.2972632504706195,0.08725131088787716,8.725131088787716,2.0589261508572725,1.0589261508572727
grouped,validation,P2_Integrated,0,all,297,35.739187724705474,5.9782261352934345,4.703336055332577,0.9674645238238737,0.05878509177110448,5.878509177110447,1.6746327649703465,0.6746327649703464
grouped,validation,P2_Integrated,0,A,175,17.2780885720365,4.156692022755174,3.317402791902654,0.9887229443695418,0.03591359670715492,3.591359670715492,1.364179892696642,0.36417989269664197
grouped,validation,P2_Integrated,0,B,122,62.220272574845396,7.887982795039895,6.691355080744354,0.2502045329857797,0.091592564198901,9.159256419890099,2.119954507985906,1.1199545079859063
grouped,validation,P2_KNN,0,all,297,71.16983364584165,8.436221526598365,6.262913484848484,0.935209931325818,0.08153176020371306,8.153176020371305,2.2184516093677633,1.218451609367763
grouped,validation,P2_KNN,0,A,175,18.156133560257985,4.261001473862452,3.453991028571428,0.9881498623334741,0.03771190922660472,3.7711909226604723,1.3827875544207395,0.3827875544207395
grouped,validation,P2_KNN,0,B,122,147.21407557188382,12.133180768944467,10.292105532786884,-0.77402704900898,0.14438810381841763,14.438810381841764,3.417150048840953,2.417150048840953
grouped,validation,P2_LR,0,all,297,33.36315515183373,5.776084759751516,4.657065402291614,0.9696275654621964,0.05696872162457695,5.696872162457695,1.6348731817091757,0.6348731817091757
grouped,validation,P2_LR,0,A,175,20.609979378874186,4.539821513988649,3.6061181889359184,0.9865482872697898,0.03868685751534044,3.868685751534044,1.3996614802626157,0.39966148026261555
grouped,validation,P2_LR,0,B,122,51.65664499009538,7.1872557342907575,6.164571650957571,0.37750323725847823,0.0831927070271703,8.31927070271703,1.9722670157513726,0.9722670157513728
grouped,validation,P2_Persistent,0,all,297,62.08483500416664,7.879393060646653,5.992069191919191,0.9434805377856852,0.07736409941690721,7.736409941690721,2.0556252473379533,1.0556252473379533
grouped,validation,P2_Persistent,0,A,175,21.19878891437141,4.604214255915053,3.630018857142855,0.9861639833081646,0.04145526821027869,4.145526821027869,1.436723856648065,0.43672385664806485
grouped,validation,P2_Persistent,0,B,122,120.73285193625,10.987850196296362,9.380256147540983,-0.45491077675055047,0.1288726687706776,12.88726687706776,2.943393635622629,1.943393635622629
grouped,validation,P2_SVR,0,all,297,46.972511186755355,6.853649479420096,5.280504760529109,0.9572381714318299,0.06612917687435807,6.612917687435807,1.8349802931778185,0.8349802931778183
grouped,validation,P2_SVR,0,A,175,17.295267908227366,4.158757976635256,3.2763566040917405,0.9887117317675742,0.03440527141880595,3.4405271418805947,1.3580912277357262,0.35809122773572627
grouped,validation,P2_SVR,0,B,122,89.54232736497175,9.462680770530714,8.15530744394337,-0.07904431121541133,0.1116347789622402,11.16347789622402,2.5190424772136057,1.519042477213606
official,test,P2_Bagging,0,all,424,8.042517494755117,2.835933266978459,2.0918853260139616,0.9907964989406871,0.024582492433629484,2.4582492433629484,1.2202396419143626,0.22023964191436282
official,test,P2_Bagging,0,A,238,8.270685908343065,2.875880023287318,2.12318947248347,0.9940657370041077,0.024119099607452007,2.411909960745201,1.2253581476031892,0.2253581476031891
