evaluation,policy,model,n,clipped_n,clipped_fraction
nested_oof,completed,base_direct,1977,0,0.0
nested_oof,completed,base_residual,1977,27,0.013657056145675266
nested_oof,completed,history_anchor,1977,0,0.0
nested_oof,completed,joint_direct,1977,0,0.0
nested_oof,completed,joint_residual,1977,25,0.012645422357106728
nested_oof,completed,robust_reference,1977,0,0.0
nested_oof,completed,selected,1977,0,0.0
nested_oof,retrospective,base_direct,1977,0,0.0
nested_oof,retrospective,base_residual,1977,3,0.0015174506828528073
nested_oof,retrospective,history_anchor,1977,0,0.0
nested_oof,retrospective,joint_direct,1977,0,0.0
nested_oof,retrospective,joint_residual,1977,4,0.0020232675771370764
nested_oof,retrospective,robust_reference,1977,0,0.0
nested_oof,retrospective,selected,1977,0,0.0
temporal,completed,base_direct,166,0,0.0
temporal,completed,base_residual,166,0,0.0
temporal,completed,history_anchor,166,0,0.0
temporal,completed,joint_direct,166,0,0.0
temporal,completed,joint_residual,166,0,0.0
temporal,completed,robust_reference,166,0,0.0
temporal,completed,selected,166,0,0.0
temporal,retrospective,base_direct,166,0,0.0
temporal,retrospective,base_residual,166,0,0.0
temporal,retrospective,history_anchor,166,0,0.0
temporal,retrospective,joint_direct,166,0,0.0
temporal,retrospective,joint_residual,166,0,0.0
temporal,retrospective,robust_reference,166,0,0.0
temporal,retrospective,selected,166,0,0.0
test,completed,base_direct,424,0,0.0
test,completed,base_residual,424,8,0.018867924528301886
test,completed,history_anchor,424,0,0.0
test,completed,joint_direct,424,0,0.0
test,completed,joint_residual,424,6,0.014150943396226415
test,completed,robust_reference,424,0,0.0
test,completed,selected,424,0,0.0
test,retrospective,base_direct,424,0,0.0
test,retrospective,base_residual,424,0,0.0
test,retrospective,history_anchor,424,0,0.0
test,retrospective,joint_direct,424,0,0.0
test,retrospective,joint_residual,424,4,0.009433962264150943
test,retrospective,robust_reference,424,0,0.0
test,retrospective,selected,424,0,0.0
validation,completed,base_direct,424,0,0.0
validation,completed,base_residual,424,13,0.030660377358490566
validation,completed,history_anchor,424,0,0.0
validation,completed,joint_direct,424,0,0.0
validation,completed,joint_residual,424,14,0.0330188679245283
validation,completed,robust_reference,424,0,0.0
validation,completed,selected,424,0,0.0
validation,retrospective,base_direct,424,0,0.0
validation,retrospective,base_residual,424,1,0.0023584905660377358
validation,retrospective,history_anchor,424,0,0.0
validation,retrospective,joint_direct,424,0,0.0
validation,retrospective,joint_residual,424,4,0.009433962264150943
validation,retrospective,robust_reference,424,0,0.0
validation,retrospective,selected,424,0,0.0
