policy,condition,variant,feature,importance
retrospective,Cond1,base_direct,lag_1,20.161825972364706
retrospective,Cond1,base_direct,lag_2,0.39112351882845203
retrospective,Cond1,base_direct,lag_3,0.7390057255420119
retrospective,Cond1,base_direct,lag_4,0.36626848144471685
retrospective,Cond1,base_direct,lag_5,0.0
retrospective,Cond1,base_direct,lag_6,0.08685398726351164
retrospective,Cond1,base_direct,lag_7,0.09413462915964296
retrospective,Cond1,base_direct,lag_8,0.6456289166002063
retrospective,Cond1,base_direct,lag_9,0.32380392487485504
retrospective,Cond1,base_direct,lag_10,0.4339686054756014
retrospective,Cond1,base_direct,lag_11,2.210707035800523
retrospective,Cond1,base_direct,neighbor_1,3.7653726546770248
retrospective,Cond1,base_direct,neighbor_2,1.6598946241031665
retrospective,Cond1,base_direct,neighbor_3,1.9733661949947532
retrospective,Cond1,base_direct,neighbor_4,0.8040475732480332
retrospective,Cond1,base_direct,neighbor_5,0.9830092403297144
retrospective,Cond1,base_direct,neighbor_6,1.4324229065966254
retrospective,Cond1,base_direct,neighbor_7,2.738861249642982
retrospective,Cond1,base_direct,neighbor_8,0.5020602130055989
retrospective,Cond1,base_direct,neighbor_9,0.9165973376581421
retrospective,Cond1,base_direct,neighbor_10,0.37468816379830705
retrospective,Cond1,base_direct,p2_primary_CENTER_AIR_BAG_PRESSURE_auc,0.8533729053722742
retrospective,Cond1,base_direct,p2_primary_CENTER_AIR_BAG_PRESSURE_mean,0.0
retrospective,Cond1,base_direct,p2_primary_CENTER_AIR_BAG_PRESSURE_std,0.0
retrospective,Cond1,base_direct,p2_primary_DRESSING_WATER_STATUS_auc,0.35187428966287854
retrospective,Cond1,base_direct,p2_primary_DRESSING_WATER_STATUS_mean,0.7248042419211651
retrospective,Cond1,base_direct,p2_primary_DRESSING_WATER_STATUS_std,0.0
retrospective,Cond1,base_direct,p2_primary_EDGE_AIR_BAG_PRESSURE_auc,1.0298138972492936
retrospective,Cond1,base_direct,p2_primary_EDGE_AIR_BAG_PRESSURE_mean,0.0
retrospective,Cond1,base_direct,p2_primary_EDGE_AIR_BAG_PRESSURE_std,0.19635998930554416
retrospective,Cond1,base_direct,p2_primary_HEAD_ROTATION_mean,0.11768386716104952
retrospective,Cond1,base_direct,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,5.272005979184058
retrospective,Cond1,base_direct,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,0.017652844154686723
retrospective,Cond1,base_direct,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_std,1.2277226866468804
retrospective,Cond1,base_direct,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_auc,17.361039394310612
retrospective,Cond1,base_direct,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_mean,1.0845797309349614
retrospective,Cond1,base_direct,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_std,0.1501474490344205
