partition,policy,model,n,mse,rmse,mae,r2
outer_0,completed,base_direct,670,18.890144779384528,4.346279418006225,3.4002046579580427,0.9763392152358121
outer_0,completed,base_residual,670,27.754447563706616,5.268249003578572,4.144706524921843,0.9652362637913463
outer_0,completed,history_anchor,670,71.88302183840716,8.478385567925486,6.689773880597014,0.9099631724488358
outer_0,completed,joint_direct,670,20.421911214211597,4.51906087746244,3.5505158624777344,0.9744206065461104
outer_0,completed,joint_residual,670,35.83017006742861,5.985830775041056,4.699736924665942,0.9551210458188295
outer_0,completed,previous_control,670,22.089256853182448,4.699920941162994,3.5994588423496436,0.9723321785985253
outer_0,completed,robust_reference,670,23.081880185421877,4.8043605386588,3.7199371809439765,0.9710888717160042
outer_0,completed,selected,670,18.382164581289913,4.287442662157701,3.3642225555445036,0.9769754840559803
outer_0,retrospective,base_direct,670,18.579514261405734,4.310396067811603,3.3971707145987198,0.9767282944044962
outer_0,retrospective,base_residual,670,26.657333047830726,5.163073992093347,4.022505325138635,0.9666104507404127
outer_0,retrospective,history_anchor,670,54.680461134160055,7.394623799366676,5.761368794776119,0.9315101796830138
outer_0,retrospective,joint_direct,670,20.382410017751273,4.514688252554242,3.555576313720409,0.9744700836315584
outer_0,retrospective,joint_residual,670,25.476608606284508,5.047435844692283,4.009691886769681,0.9680893630094033
outer_0,retrospective,paper_v2,670,34.07304616810765,5.83721219145815,4.400631726579464,0.9573219252123647
outer_0,retrospective,previous_control,670,30.258986258305047,5.500816871911393,4.247695660262869,0.9620992126105027
outer_0,retrospective,robust_reference,670,24.196975205903374,4.91904210247314,3.8235353642921353,0.9696921633487912
outer_0,retrospective,selected,670,18.579514261405734,4.310396067811603,3.3971707145987198,0.9767282944044962
outer_1,completed,base_direct,434,16.285352845299744,4.0355114725768955,3.0962511301962246,0.9869264316094795
outer_1,completed,base_residual,434,29.647574362323383,5.444958618972543,4.124256021688399,0.9761994968901918
outer_1,completed,history_anchor,434,94.39979685298145,9.715955786899272,7.848011859141215,0.924217656692351
outer_1,completed,joint_direct,434,18.365151747471447,4.285458172409509,3.2843499787381094,0.985256809007847
outer_1,completed,joint_residual,434,29.51518791710732,5.432788226786253,4.204529451296853,0.9763057741850071
outer_1,completed,previous_control,434,25.824217922787696,5.081753429947944,4.0552417494943285,0.9792688139856476
outer_1,completed,robust_reference,434,20.615122566877858,4.54038793132017,3.555765574147763,0.9834505756603961
outer_1,completed,selected,434,18.898556905695578,4.347247049075492,3.3533028373580476,0.9848286015945877
outer_1,retrospective,base_direct,434,15.285021978697875,3.9096063713240845,3.065044108061197,0.9877294780108623
outer_1,retrospective,base_residual,434,28.63589176380857,5.351251420350998,4.311849638670061,0.9770116562438653
outer_1,retrospective,history_anchor,434,46.90916247270486,6.849026388670499,5.378178663594472,0.9623422255842649
outer_1,retrospective,joint_direct,434,16.766239855007747,4.094659919334907,3.149703817831164,0.9865403847568719
outer_1,retrospective,joint_residual,434,28.992691011074037,5.384486141784937,4.3844596184013325,0.9767252246629765
outer_1,retrospective,paper_v2,434,31.430537374020133,5.606294442322855,4.4560513342637265,0.9747681684386309
outer_1,retrospective,previous_control,434,30.479417030717155,5.520816699612219,4.3603617868567035,0.9755317095773405
outer_1,retrospective,robust_reference,434,29.32742597633061,5.415480216594887,4.200683168849236,0.9764565058637862
outer_1,retrospective,selected,434,15.524425437989542,3.940104749621454,3.0612747557575104,0.9875372895131547
outer_2,completed,base_direct,426,18.774956931799228,4.333007838880427,3.526267600728932,0.9790472310335886
outer_2,completed,base_residual,426,38.30406023399939,6.189027406143827,4.923275972745895,0.9572528380505008
outer_2,completed,history_anchor,426,36.07353015605401,6.006124387327823,4.679185369718311,0.9597420997604259
outer_2,completed,joint_direct,426,18.94500929522417,4.352586506345873,3.498997454545505,0.9788574533474944
outer_2,completed,joint_residual,426,50.85788979907962,7.131471783515631,5.5803975401724415,0.9432428197332112
outer_2,completed,previous_control,426,21.381789477273053,4.6240447096965935,3.7095553243732122,0.9761380174328413
outer_2,completed,robust_reference,426,21.872868204354667,4.676843829374108,3.74598300366494,0.9755899757435721
outer_2,completed,selected,426,18.918036813776617,4.349486959835219,3.4782627916940965,0.9788875545175942
outer_2,retrospective,base_direct,426,17.507995939897732,4.184255721140587,3.335761739063827,0.9804611539016516
outer_2,retrospective,base_residual,426,24.555216231149227,4.955322010843415,4.02924326333614,0.9725964871993856
outer_2,retrospective,history_anchor,426,34.625098607493484,5.884309526825852,4.558834753521128,0.9613585429677735
outer_2,retrospective,joint_direct,426,18.548071707327757,4.306747230489358,3.4492439532157895,0.9793004339414574
outer_2,retrospective,joint_residual,426,25.97436864384627,5.0965055326023405,4.160230774107479,0.9710127193782726
outer_2,retrospective,paper_v2,426,24.589279448395587,4.958757853373724,3.8856603633399676,0.9725584727994694
outer_2,retrospective,previous_control,426,21.923346803304756,4.682237371524938,3.7404351543376215,0.9755336418502166
outer_2,retrospective,robust_reference,426,21.06452228930548,4.589610254619174,3.606697131214462,0.9764920862125597
outer_2,retrospective,selected,426,18.79630156230812,4.335470166234352,3.5153990380459414,0.979023410520266
outer_3,completed,base_direct,188,16.201920923813958,4.025160981105471,3.2261763676177835,0.9709125592556848
outer_3,completed,base_residual,188,20.496397185478973,4.527294687280581,3.6763888496874704,0.963202651006136
outer_3,completed,history_anchor,188,79.94469266398538,8.941179601371699,7.411250425531913,0.8564746413946347
outer_3,completed,joint_direct,188,15.85611589024875,3.9819738686044577,3.1077478163415555,0.9715333858521242
outer_3,completed,joint_residual,188,20.953923840463926,4.577545613149467,3.761155081604699,0.9623812496717882
outer_3,completed,previous_control,188,22.86073774212408,4.781290384626736,3.7914907954038894,0.9589579311260561
outer_3,completed,robust_reference,188,24.36605846082086,4.936198786598942,3.9577758841999136,0.956255416565457
outer_3,completed,selected,188,18.949665337587135,4.353121332743568,3.380158763327698,0.9659795113046437
outer_3,retrospective,base_direct,188,16.05804588398645,4.0072491666960826,3.1040807131051187,0.9711708592878382
outer_3,retrospective,base_residual,188,20.457577111622708,4.523005318549019,3.471968171350239,0.9632723450012675
outer_3,retrospective,history_anchor,188,41.2507877567149,6.422677615816856,5.064909295212764,0.9259421243831552
outer_3,retrospective,joint_direct,188,15.845625007550217,3.980656353863043,3.0925573515620983,0.9715522202193752
outer_3,retrospective,joint_residual,188,20.536837450906642,4.531758759125053,3.490484206104546,0.9631300482678654
outer_3,retrospective,paper_v2,188,59.383203392702605,7.706049791735231,5.907947793483132,0.8933888507409005
