evaluation,policy,model,dimension,value,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
nested_oof,completed,base_direct,all,all,1977,17.84928362741062,4.224841254699474,3.3244011653491494,0.9802233942301419,0.040451979355689845,4.045197935568985,1.3835739852375717,0.38357398523757164,False
nested_oof,completed,base_direct,STAGE,A,1162,16.948249848838802,4.116825214754544,3.218963841635669,0.9874390445329051,0.037807913585416124,3.780791358541612,1.361731778141258,0.3617317781412578,False
nested_oof,completed,base_direct,STAGE,B,815,19.133947738699526,4.374236817857433,3.474730208484197,0.7711994739326149,0.044221800736129184,4.422180073612918,1.4147158805086353,0.4147158805086353,False
nested_oof,completed,base_direct,condition,Cond1,798,17.64228202038326,4.200271660307611,3.305447630224975,0.6010348653642876,0.045932357689837965,4.593235768983797,1.369906783771525,0.36990678377152497,False
nested_oof,completed,base_direct,condition,Cond2,815,19.133947738699526,4.374236817857433,3.474730208484197,0.7711994739326149,0.044221800736129184,4.422180073612918,1.4147158805086353,0.4147158805086353,False
nested_oof,completed,base_direct,condition,Cond3,364,15.426717780452876,3.9276860593042406,3.0293647666514207,-0.017149261019679507,0.019996632279568223,1.9996632279568223,1.3438096504133643,0.3438096504133643,False
nested_oof,completed,base_residual,all,all,1977,28.309852689799055,5.320700394666012,4.128672262965199,0.9686333184156964,0.050141649392902145,5.014164939290215,1.5222282028378347,0.5222282028378349,False
nested_oof,completed,base_residual,STAGE,A,1162,19.551927636849303,4.4217561711213005,3.490135283232512,0.9855093655962859,0.04039071872709732,4.039071872709732,1.4098629142282648,0.40986291422826476,False
nested_oof,completed,base_residual,STAGE,B,815,40.79661209044644,6.38722256465566,5.039077134682232,0.5121609802883464,0.06404420329923982,6.404420329923982,1.6824349088063262,0.6824349088063262,False
nested_oof,completed,base_residual,condition,Cond1,798,19.403804672935753,4.404974991181647,3.4592021233956065,0.5611995355907646,0.048041624909357164,4.804162490935717,1.406737863300692,0.4067378633006917,False
nested_oof,completed,base_residual,condition,Cond2,815,40.79661209044644,6.38722256465566,5.039077134682232,0.5121609802883464,0.06404420329923982,6.404420329923982,1.6824349088063262,0.6824349088063262,False
nested_oof,completed,base_residual,condition,Cond3,364,19.8766587500444,4.45832465731741,3.557950287490342,-0.31055283741338346,0.02361757825060459,2.361757825060459,1.4167139874156367,0.4167139874156366,False
nested_oof,completed,history_anchor,all,all,1977,67.41609717218927,8.210730611351785,6.459270509290484,0.9253044769668304,0.08180015403055899,8.180015403055899,1.9641880759363877,0.9641880759363877,False
nested_oof,completed,history_anchor,STAGE,A,1162,47.73065523375526,6.908737600586322,5.226466960111843,0.9646251005175299,0.06555582866237461,6.555582866237461,1.7276848940306702,0.7276848940306702,False
nested_oof,completed,history_anchor,STAGE,B,815,95.48294813226329,9.771537654446371,8.216960968364818,-0.14176902024984428,0.1049607749849519,10.49607749849519,2.3013864776228212,1.3013864776228212,False
nested_oof,completed,history_anchor,condition,Cond1,798,61.680710324626475,7.853706788811667,6.124453653736164,-0.3948565650781033,0.08561519891187362,8.561519891187363,1.8899410294280639,0.8899410294280639,False
nested_oof,completed,history_anchor,condition,Cond2,815,95.48294813226329,9.771537654446371,8.216960968364818,-0.14176902024984428,0.1049607749849519,10.49607749849519,2.3013864776228212,1.3013864776228212,False
nested_oof,completed,history_anchor,condition,Cond3,364,17.14784214992218,4.140995309092028,3.257803824089296,-0.13063032714425038,0.021579516961549892,2.1579516961549894,1.3719695202748456,0.3719695202748456,False
nested_oof,completed,joint_direct,all,all,1977,19.400310191285616,4.404578321620086,3.462686484466879,0.9785048915981804,0.042473332804261105,4.24733328042611,1.3980347877607968,0.3980347877607969,False
nested_oof,completed,joint_direct,STAGE,A,1162,19.48579020993592,4.414271198050242,3.4554403694829228,0.9855583824140444,0.041082229479488364,4.108222947948836,1.3860964095866493,0.38609640958664937,False
nested_oof,completed,joint_direct,STAGE,B,815,19.278435612547394,4.3907215366665415,3.4730177551556607,0.7694717122601041,0.04445672183909048,4.445672183909048,1.4150561318569435,0.41505613185694357,False
nested_oof,completed,joint_direct,condition,Cond1,798,21.912140391101723,4.681040524402851,3.708221667313245,0.5044756664023323,0.05108829589819535,5.108829589819535,1.4136083817862553,0.4136083817862554,False
nested_oof,completed,joint_direct,condition,Cond2,815,19.278435612547394,4.3907215366665415,3.4730177551556607,0.7694717122601041,0.04445672183909048,4.445672183909048,1.4150561318569435,0.41505613185694357,False
nested_oof,completed,joint_direct,condition,Cond3,364,14.166484043533973,3.7638390034025067,2.9012659857779854,0.06594332111359524,0.01914585310001534,1.914585310001534,1.3257817013028979,0.3257817013028976,False
