sample_id,WAFER_ID,STAGE,condition,group_id,start,end,truth,partition,policy,model,prediction,squared_error,label_rows,label_min,label_max,raw_label_mean,cohort,raw_rows,source_files,chambers,raw_start,raw_end,duplicate_chamber_times,qc_primary_missing,qc_primary_episodes,qc_primary_fallback,qc_primary_ambiguous,qc_primary_span,qc_primary_max_gap,qc_primary_phase_duration,qc_secondary_missing,qc_secondary_episodes,qc_secondary_fallback,qc_secondary_ambiguous,qc_secondary_span,qc_secondary_max_gap,qc_secondary_phase_duration,multi_primary_observed_time,multi_primary_active_time,multi_primary_inactive_time,multi_primary_active_fraction,multi_primary_active_point_fraction,multi_primary_episode_count,multi_primary_episode_min,multi_primary_episode_median,multi_primary_episode_max,multi_primary_episode_std,multi_primary_pressure_mean,multi_primary_pressure_std,multi_primary_pressure_integral,multi_primary_rotation_sum_mean,multi_primary_rotation_sum_std,multi_primary_rotation_sum_integral,multi_primary_slurry_mean,multi_primary_slurry_std,multi_primary_slurry_integral,multi_primary_pressure_rotation_proxy_mean,multi_primary_pressure_rotation_proxy_std,multi_primary_pressure_rotation_proxy_integral,multi_secondary_observed_time,multi_secondary_active_time,multi_secondary_inactive_time,multi_secondary_active_fraction,multi_secondary_active_point_fraction,multi_secondary_episode_count,multi_secondary_episode_min,multi_secondary_episode_median,multi_secondary_episode_max,multi_secondary_episode_std,multi_secondary_pressure_mean,multi_secondary_pressure_std,multi_secondary_pressure_integral,multi_secondary_rotation_sum_mean,multi_secondary_rotation_sum_std,multi_secondary_rotation_sum_integral,multi_secondary_slurry_mean,multi_secondary_slurry_std,multi_secondary_slurry_integral,multi_secondary_pressure_rotation_proxy_mean,multi_secondary_pressure_rotation_proxy_std,multi_secondary_pressure_rotation_proxy_integral,label_mean_matches
af70193164d6a636d198,3623681126,A,Cond1,CMP-training-134.csv,486509519.667,486509866.0,60.5481,outer_2,completed,selected,77.54889595357143,289.0270630549708,1,60.5481,60.5481,60.5481,training,333,CMP-training-161.csv,4;5;6,486509519.667,486509866.0,0,False,3,False,False,173.66600000858307,3.0,54.0,False,0,True,True,157.0,3.3330000042915344,157.0,173.66600000858307,104.66600000858307,69.0,0.6026856149356246,0.6306818181818182,3,21.66600000858307,29.0,54.0,13.841463921128243,59.56644144144144,6.694388866178595,6230.95375046134,110.48223560147476,92.04439140621338,11450.771464504129,403.33551733551644,116.17748246538879,42021.41250059206,6369.023528380539,5252.312898134815,656776.4741739626,157.0,0.0,157.0,0.0,0.0,0,,,,,,,0.0,,,0.0,,,0.0,,,0.0,True
2f086f100648531e55af,3623681118,A,Cond1,CMP-training-134.csv,486509302.0,486509661.0,61.98,outer_2,completed,selected,77.13826946964286,229.77313331430705,1,61.98,61.98,61.98,training,341,CMP-training-161.csv,4;5;6,486509302.0,486509661.0,0,False,3,False,True,182.66699999570847,3.0,39.0,False,3,False,False,160.0,4.0,54.0,182.66699999570847,92.0,90.66699999570847,0.503648715981329,0.5355191256830601,3,21.333000004291534,31.666999995708466,39.0,7.247124592507229,61.2468112244898,0.03140579656184982,5634.84375,121.82527539768775,94.37570205551795,11111.36301933475,441.2368686868666,8.811299156160056,40580.95990803976,7461.743241506571,5780.572606855017,680568.2959807651,160.0,104.66600000858307,55.33399999141693,0.6541625000536442,0.7025316455696202,3,21.66600000858307,29.0,54.0,13.841463921128243,59.56644144144144,6.694388866178595,6230.95375046134,110.48223560147476,92.04439140621338,11450.771464504129,403.33551733551644,116.17748246538879,42021.41250059206,6369.023528380539,5252.312898134815,656776.4741739626,True
cf79490e0df97330ab40,-4113511808,A,Cond1,CMP-training-000.csv,481677313.667,481677676.0,53.64735,outer_1,completed,selected,68.02371157109536,206.6797720228674,1,53.64735,53.64735,53.64735,training,346,CMP-training-001.csv,4.0;5.0;6.0,481677313.667,481677676.0,1,False,3,False,False,190.33300000429153,3.3330000042915344,69.33300000429153,False,1,False,True,155.66699999570847,5.333999991416931,19.333000004291534,190.33300000429153,124.66600000858307,65.66699999570847,0.6549888879268029,0.6684210526315789,3,22.333000004291534,33.0,69.33300000429153,20.118735817972407,68.3882874015748,10.012174644515657,8530.698750391603,99.24883624545303,88.36721595943472,12480.6451860308,371.0252326413714,146.30155744826746,46231.26515710809,6206.241461579525,5031.654446007445,781105.2596142904,155.66699999570847,19.333000004291534,136.33399999141693,0.12419459490338042,0.12903225806451613,1,19.333000004291534,19.333000004291534,19.333000004291534,0.0,109.640625,0.28427195935406646,2120.1196879707277,236.61842105230303,74.47105839697032,4642.587829504228,434.89131313131094,23.099575753679982,8384.320278721705,25937.73643088503,8162.910490750338,509070.38626585033,True
6d20a174237811f45a41,2975014168,B,Cond2,CMP-training-117.csv,485384798.0,485385166.0,68.7249,outer_0,completed,selected,82.75904500357132,196.9572259812656,1,68.7249,68.7249,68.7249,training,350,CMP-training-122.csv,4;5;6,485384798.0,485385166.0,1,False,3,False,False,193.0,3.0,71.0,False,3,False,False,158.0,5.333000004291534,71.0,193.0,121.66699999570847,71.33300000429153,0.630398963708334,0.6528497409326425,3,19.0,30.666999995708466,71.0,22.27821501488753,62.53968253968254,7.245494131988464,7666.684843515977,94.34178955131227,88.17064922907053,11484.878499794997,387.1918510501823,141.4545447549805,47499.46282837982,5780.114834076259,5162.42724662381,704650.5386941188,158.0,124.66699999570847,33.333000004291534,0.7890316455424586,0.8205128205128205,3,22.666999995708466,31.0,71.0,21.096386679783098,63.1005859375,8.679579328108433,7885.695624761283,100.08199778142969,89.97756328554256,12462.07919264272,379.40006313131096,152.3083220264945,47417.15285810764,5939.364261692341,5057.420334486565,739314.944162738,True
12b597cb0c726a3151e4,-4037511872,B,Cond2,CMP-training-101.csv,485078422.0,485078785.0,95.58105,outer_4,completed,selected,81.88766939860655,187.50867229461863,1,95.58105,95.58105,95.58105,training,346,CMP-training-111.csv,4;5;6,485078422.0,485078785.0,0,False,3,False,False,189.0,2.3330000042915344,66.0,False,0,True,True,157.0,3.0,157.0,189.0,122.66699999570847,66.33300000429153,0.6490317460090395,0.6684210526315789,3,25.0,31.666999995708466,66.0,17.963555012665257,61.92667322834646,8.071519532558918,7609.08421847038,97.9518885107975,89.54506402098555,12197.0911118563,376.2606219677064,147.2566428747722,46187.61120841104,5848.786257392445,5119.15345403441,726967.7014919382,157.0,0.0,157.0,0.0,0.0,0,,,,,,,0.0,,,0.0,,,0.0,,,0.0,True
e537a6d52d6d38a79649,3623681192,B,Cond2,CMP-training-134.csv,486541369.667,486541732.333,74.91045,outer_2,completed,selected,88.50839909816787,184.90421967636448,1,74.91045,74.91045,74.91045,training,338,CMP-training-162.csv,4;5;6,486541369.667,486541732.333,1,False,0,True,True,181.0,3.0,181.0,False,0,True,True,156.0,3.0,156.0,181.0,0.0,181.0,0.0,0.0,0,,,,,,,0.0,,,0.0,,,0.0,,,0.0,156.0,0.0,156.0,0.0,0.0,0,,,,,,,0.0,,,0.0,,,0.0,,,0.0,True
6da3b6ce1f4433c12b3c,2979014378,B,Cond2,CMP-training-117.csv,485338645.333,485339007.333,71.3613,outer_0,completed,selected,84.8869815166666,182.94406049029635,1,71.3613,71.3613,71.3613,training,344,CMP-training-120.csv,4;5;6,485338645.333,485339007.333,0,False,3,False,False,189.0,2.6669999957084656,70.0,False,0,True,True,156.0,4.0,156.0,189.0,124.0,65.0,0.656084656084656,0.6684210526315789,3,22.0,32.0,70.0,20.677416559027765,61.808562992125985,9.53623086270976,7690.150312576443,98.62992607861786,88.96038843557525,12323.425758861707,383.0306569633346,154.98751340531732,47634.35908638545,5693.788724045796,4865.775483154289,711575.4290585596,156.0,0.0,156.0,0.0,0.0,0,,,,,,,0.0,,,0.0,,,0.0,,,0.0,True
04afdd1c439211c8389d,-4230160416,B,Cond2,CMP-training-014.csv,482164854.333,482165236.667,81.83385,outer_0,completed,selected,68.35843752142868,181.5867414676355,1,81.83385,81.83385,81.83385,training,365,CMP-training-016.csv,4.0;5.0;6.0,482164854.333,482165236.667,0,False,3,False,False,199.0,2.6669999957084656,67.0,False,3,False,False,167.33399999141693,6.666999995708466,69.0,199.0,121.0,78.0,0.6080402010050251,0.625,3,22.0,32.0,67.0,19.293061504650375,64.085,7.063791474838426,7783.690937589854,99.1998286412776,90.1104740267229,12120.212561944354,403.75806868686686,114.04399074644238,49215.63157501034,6177.111054155884,5487.921557886038,754524.5212388118,167.33399999141693,126.66600000858307,40.66799998283386,0.7569651117829022,0.7636363636363637,3,25.333000004291534,32.333000004291534,69.0,19.149342249540954,63.53174603174603,7.2795679644462545,8084.695625565946,87.26843756673938,90.97438770648849,12431.925876150583,377.50997274330587,147.66276401167784,48599.19763044502,5270.081506756059,5187.6443072997345,761727.406023064,True
2be9803bbdbf02137071,-4230160594,B,Cond2,CMP-training-000.csv,481859080.667,481859449.0,70.0533,outer_1,completed,selected,83.28039919407703,174.95615308995352,1,70.0533,70.0533,70.0533,training,256,CMP-training-008.csv,4.0;5.0;6.0,481859080.667,481859449.0,0,False,1,False,False,98.0,2.0,69.66699999570847,False,2,False,False,158.0,4.0,70.0,98.0,69.66699999570847,28.333000004291534,0.7108877550582496,0.7171717171717171,1,69.66699999570847,69.66699999570847,69.66699999570847,0.0,65.69982394366197,2.0262260383384625,4585.386562217027,34.25483131344928,2.3842563262218124,2394.621744064891,435.98702518138936,7.5215969677833785,30382.890392841622,2253.5958483450504,188.06552552210735,157720.40758648847,158.0,107.66699999570847,50.333000004291534,0.6814367088335979,0.7070063694267515,2,31.0,50.5,70.0,19.5,107.16216216216216,18.475997902094704,11635.261874981225,75.16617596783334,68.4766641257483,8025.309453329974,402.52240422240305,114.61945320051197,43933.95531317115,7698.909918174731,7489.785150256872,844415.1966157428,True
8fc3418560bdf3745a14,2979014148,B,Cond2,CMP-training-117.csv,485338449.333,485338813.333,69.9189,outer_0,completed,selected,83.07220924285708,173.0095440382298,1,69.9189,69.9189,69.9189,training,347,CMP-training-120.csv,4;5;6,485338449.333,485338813.333,0,False,3,False,False,190.0,2.6669999957084656,70.0,False,3,False,False,157.66600000858307,4.0,70.0,190.0,125.66600000858307,64.33399999141693,0.6614000000451741,0.675392670157068,3,22.66600000858307,33.0,70.0,20.320485315207474,62.291666666666664,7.771095060746101,7870.848750472069,97.05784539762271,88.75676657766252,12349.032938631142,387.7056886696413,147.63369939063512,48756.80189689838,5796.6120630000205,5080.1879656317,740573.5089433503,157.66600000858307,124.0,33.66600000858307,0.7864726700319007,0.8141025641025641,3,22.0,32.0,70.0,20.677416559027765,61.808562992125985,9.53623086270976,7690.150312576443,98.62992607861786,88.96038843557525,12323.425758861707,383.0306569633346,154.98751340531732,47634.35908638545,5693.788724045796,4865.775483154289,711575.4290585596,True
48ba4a0b0277ae5bd07d,1484254328,A,Cond1,CMP-training-117.csv,485547936.0,485548295.0,65.76795,outer_0,completed,selected,78.88460352067098,172.0465995813304,1,65.76795,65.76795,65.76795,training,344,CMP-training-128.csv,4;5;6,485547936.0,485548295.0,0,False,3,False,False,186.66699999570847,3.3330000042915344,66.0,False,3,False,False,156.33300000429153,3.3330000042915344,70.0,186.66699999570847,119.0,67.66699999570847,0.637498861623832,0.648936170212766,3,22.0,31.0,66.0,18.979521127315678,67.5640368852459,11.819660374022854,8063.589218808338,97.67399221454943,88.8905246317457,11724.21126098039,363.631039907266,149.5655712848703,43345.94937901875,5912.518270495669,4893.124919353661,713089.5702365962,156.33300000429153,117.33300000429153,39.0,0.7505325171337504,0.7692307692307693,3,18.0,29.333000004291534,70.0,22.32647102966995,68.4375,9.856390693352207,8074.507187809795,94.30750203991167,86.59797253809691,11001.485681162801,372.8581649831624,146.29553584366502,43962.80966264122,5910.887775393812,4883.9359306393935,695572.273656628,True
