q_segment,p_segment,q_sample,p_sample,q_wafer,p_wafer,q_stage,p_stage,route,q_chamber,q_first_pos,p_first_pos,rows,q_start,q_end,p_start,p_end,offset,offset_spread,process_dynamic_channels,dynamic_signals,strong,same_wafer,same_stage,relation,simultaneous,source_episode_completed_before_secondary,q_own_primary_start,q_source_files,p_source_files
5015,4921,f0e7a965ef05b9e828cd,78f0c2e5cda9415ecec3,3021014294,3015014228,B,B,456,6,0,0,2988,484670298.333,484673303.0,484670298.333,484673303.0,0.0,0.0,11,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;STAGE_ROTATION;HEAD_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,484667833.0,CMP-training-097.csv,CMP-training-097.csv
5012,4918,f0e7a965ef05b9e828cd,78f0c2e5cda9415ecec3,3021014294,3015014228,B,B,456,6,0,0,773,484668211.333,484668985.0,484668211.333,484668985.0,0.0,0.0,11,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;STAGE_ROTATION;HEAD_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,484667833.0,CMP-training-097.csv,CMP-training-097.csv
5014,4920,f0e7a965ef05b9e828cd,78f0c2e5cda9415ecec3,3021014294,3015014228,B,B,456,6,0,0,658,484669634.333,484670295.333,484669634.333,484670295.333,0.0,0.0,7,PRESSURIZED_CHAMBER_PRESSURE;RETAINER_RING_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;STAGE_ROTATION;HEAD_ROTATION,True,False,True,later_primary,True,False,484667833.0,CMP-training-097.csv,CMP-training-097.csv
5013,4919,f0e7a965ef05b9e828cd,78f0c2e5cda9415ecec3,3021014294,3015014228,B,B,456,6,0,0,644,484668986.333,484669631.333,484668986.333,484669631.333,0.0,0.0,11,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;STAGE_ROTATION;HEAD_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,484667833.0,CMP-training-097.csv,CMP-training-097.csv
5716,5726,65fc625403b28db7f17f,8f4e8040adbddafda143,4179773518,4179773596,A,A,456,6,95,0,188,483989499.667,483989687.0,483989499.667,483989687.0,0.0,0.0,9,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,483989114.0,CMP-training-073.csv,CMP-training-073.csv
126,157,3b03297e1603ab9b5488,aacc07fb34b57f2be4b7,-4226160408,-4224160662,B,B,456,5,0,9,187,481771136.333,481771322.333,481771136.333,481771322.333,0.0,0.0,9,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,481770924.667,CMP-training-004.csv,CMP-training-004.csv
5872,5985,2ba11e4561cce9e55733,da8b01c86c0ade218de0,4201773386,4211773444,B,A,456,5,170,0,184,482461924.667,482462107.667,482461924.667,482462107.667,0.0,0.0,8,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;EDGE_AIR_BAG_PRESSURE,True,False,False,later_primary,True,False,482461538.667,CMP-training-026.csv,CMP-training-026.csv
104,40,8a0e21deec15547d6452,3abcf2a307208ba996a4,-4228160596,-4228160690,B,A,456,5,0,10,180,481768169.0,481768348.333,481768169.0,481768348.333,0.0,0.0,9,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,False,later_primary,True,False,481767958.0,CMP-training-004.csv,CMP-training-004.csv
5764,5726,dbf35d515a806b235b74,8f4e8040adbddafda143,4181773366,4179773596,A,A,456,5,0,10,178,483989510.0,483989687.0,483989510.0,483989687.0,0.0,0.0,9,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,483989307.0,CMP-training-073.csv,CMP-training-073.csv
1718,1756,70cf604ff6082b6aa894,4453ac0b391bb2a19a3f,31494350,35494162,A,A,456,5,0,10,168,487266415.333,487266582.333,487266415.333,487266582.333,0.0,0.0,9,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,487266262.333,CMP-training-184.csv,CMP-training-184.csv
