sample_id,wafer,stage,route,segments,rows,strong_any_blocks,strong_same_stage_previous_blocks,strong_same_stage_later_blocks,strong_cross_stage_blocks,strong_same_wafer_blocks,strong_simultaneous_other_wafer_blocks
000af8d9da173dcc2bb1,1488254382,A,456,3,334,0,0,0,0,0,0
000b67a33cdcbc155900,-4111511820,A,456,3,347,2,0,2,0,0,2
00289eb3ee0e7914fdc2,4175773554,B,456,3,348,2,0,2,0,0,2
0044f341f2ed7a7e2879,-4017511492,B,456,3,358,2,0,2,0,0,2
005aeed48b53df384006,2665292920,B,456,3,339,0,0,0,0,0,0
005be3f7ea5942661e21,1292253518,B,456,3,339,2,0,2,0,0,2
0090890656ee8db757dc,1451738960,A,456,3,334,2,0,2,0,0,2
00c5947959dc851f78a8,37494386,A,456,4,338,2,0,2,0,0,2
00eee764fdb0d06f18d7,1286253650,B,456,3,331,0,0,0,0,0,0
00f6f5454b59a74aed6e,349446900,A,123,3,263,0,0,0,0,0,0
010208d6ff02eb5c207b,1852207028,A,123,3,255,0,0,0,0,0,0
0115301c9e660b8ffa1e,329446854,A,123,3,289,0,0,0,0,0,0
011fd4732dd77f6e6bb6,2921014258,A,456,4,353,0,0,0,0,0,0
0136643fcdffafcd27b3,4171773612,A,456,3,348,1,0,1,0,0,1
0143f6c3d6640aaa957b,-4111512058,B,456,3,349,0,0,0,0,0,0
014746cf9bda1cedc2ba,-4019511616,B,456,4,346,0,0,0,0,0,0
0163f0fd20a1ef5705a4,3011014212,B,456,3,345,0,0,0,0,0,0
016e5e563f5014c2f1d8,1854206888,A,123,3,266,0,0,0,0,0,0
01a43793bca459b76dd7,1832207016,A,123,4,271,0,0,0,0,0,0
01b7380184cf03c0bb58,3021014290,B,456,3,338,2,0,2,0,0,2
01cd0ec5cb81133b593a,3011014208,B,456,4,350,3,0,3,0,0,3
025b74b54e01e57dc2bb,43494178,B,456,3,322,0,0,0,0,0,0
026071fc4e76d9c91c7e,37494386,B,456,3,348,2,0,2,0,0,2
026ceaf0f89479f16cb8,371447036,A,123,3,276,0,0,0,0,0,0
02734d7cbf1070cd7441,2058207662,A,123,3,280,0,0,0,0,0,0
028d82052136b5b18507,2667292676,B,456,3,337,0,0,0,0,0,0
02b76efb9a7a4d7afbf7,331446662,A,123,3,279,1,0,1,0,0,1
02baed5ef02aaccba791,327446616,A,123,3,288,0,0,0,0,0,0
0367165ba72dacdd939e,2058207552,A,123,3,282,0,0,0,0,0,0
03815f13b1a01a8689cc,2999014228,B,456,3,349,2,0,2,0,0,2
040fa330cef6f1dec3b8,3037014480,A,456,3,343,0,0,0,0,0,0
041d6559d0ccd87a01af,-4216160640,A,456,4,338,2,0,2,0,0,2
0420a570f80294a53cb8,1471738972,B,456,5,335,0,0,0,0,0,0
04254187fc1a21d63cdd,3625681392,A,456,3,343,0,0,0,0,0,0
042ee4d01f5cb8a343df,-2701400532,A,456,3,353,2,0,2,0,0,2
04322e7ae01b4680d35d,-4113511792,B,456,3,363,0,0,0,0,0,0
0454ae14be4966b1bb1a,1304253534,A,456,3,334,0,0,0,0,0,0
045e6300e3ee6cbd8f4f,1852207024,A,123,3,269,0,0,0,0,0,0
0496757b15f37cd88fc7,1846206912,A,123,3,273,0,0,0,0,0,0
04afdd1c439211c8389d,-4230160416,B,456,3,365,0,0,0,0,0,0
04d3a498e32bedfc24ad,2975014168,A,456,3,342,0,0,0,0,0,0
04d59a2514c150f15587,2987014192,A,456,4,340,3,0,3,0,0,3
0503fa7532d16231373b,-4043511796,B,456,3,326,2,0,2,0,0,2
05092525d7c56ae0b8ab,1324253862,B,456,3,346,0,0,0,0,0,0
050cb862c4c8b1ba0331,1854206806,A,123,3,258,1,0,1,0,0,1
0513b8d1d574543d7756,1318253580,B,456,3,345,2,0,2,0,0,2
0517ebae14509834dc2b,665222796,A,123,3,287,0,0,0,0,0,0
052dfdf198823795f42f,1288253478,A,456,3,343,2,0,2,0,0,2
055e9911a732cd1fdc25,-877170338,A,456,3,355,0,0,0,0,0,0
05732127d7190631e59a,4209773434,A,456,3,327,2,0,2,0,0,2
05787eb282461d92d61e,1462254272,A,456,4,332,0,0,0,0,0,0
05a0eba2f884df1a6b1c,-2135929468,A,456,3,342,0,0,0,0,0,0
05a226eff6cb87a3dad6,-4033511540,B,456,3,345,0,0,0,0,0,0
05a4efe762b01424380c,-879170068,A,456,3,350,0,0,0,0,0,0
05e352c7aee30e0a91c1,4229773632,B,456,3,360,2,0,2,0,0,2
05e91efcdd396502efce,4169773374,B,456,3,355,0,0,0,0,0,0
05f124c55ed02953adb0,-4045511812,A,456,3,346,2,0,2,0,0,2
063019c2ea741f6bb697,-4027511568,A,456,3,330,2,0,2,0,0,2
063fd4a23973bacf6eef,331446632,A,123,3,277,0,0,0,0,0,0
065009dcf80d9db0c2c5,-4139511842,A,456,3,344,2,0,2,0,0,2
0678b9ab06824fc69616,-4113511756,A,456,3,349,0,0,0,0,0,0
069bc23ef6035c9ec17d,2064207582,A,123,3,280,0,0,0,0,0,0
06a4dfbff4caba870ea2,1490254124,A,456,4,336,0,0,0,0,0,0
06c4e2ce0edf6cb6963e,-4228160596,A,456,3,347,2,0,2,0,0,2
06dea63d62112b1f2fb1,4213773698,A,456,5,335,2,0,2,0,0,2
076e30e0620239cf6938,325446862,A,123,3,290,0,0,0,0,0,0
076e4f66aa13145fed64,-1690100608,B,456,3,353,0,0,0,0,0,0
077a00cecd82824b62aa,1488254324,B,456,3,338,2,0,2,0,0,2
077a12ae64b1141dc245,1836207000,A,123,3,272,0,0,0,0,0,0
078377d96c941cb42c23,1322253592,B,456,4,342,2,0,2,0,0,2
0783fc117a9bd1998402,4215773674,B,456,4,364,2,0,2,0,0,2
07895596b128a1cf0a17,1324253858,B,456,3,346,2,0,2,0,0,2
079db6d6a54d37c7aa0d,1846206758,A,123,3,263,0,0,0,0,0,0
07b2774780725ea70ec3,-877170346,B,456,3,351,0,0,0,0,0,0
07bd81249aa08970bd1b,349446690,A,123,4,264,0,0,0,0,0,0
07c601a6147558842993,-4216160640,B,456,3,343,2,0,2,0,0,2
07db7538730a0b2f69fe,1854206798,A,123,3,268,0,0,0,0,0,0
07f829e49f3308e6a223,-4019511766,B,456,5,512,0,0,0,0,0,0
0820e5c287afe0fa110c,4173773326,B,456,3,363,0,0,0,0,0,0
08572660e64035e3b025,4171773596,A,456,3,347,2,0,2,0,0,2
08bde4d49afce0041d4d,1308253542,B,456,3,340,0,0,0,0,0,0
090447a29db544a0760e,2070207726,A,123,3,275,0,0,0,0,0,0
091359e46dc5fc2d3808,2981014422,A,456,3,341,0,0,0,0,0,0
0927e9e0e70b6fa93979,1312253522,A,456,3,342,0,0,0,0,0,0
09571d7d8d8e5b437671,4209773422,B,456,3,347,2,0,2,0,0,2
0958feb27d536fdaa0c4,4225773730,A,456,3,347,0,0,0,0,0,0
0964387e0ed43e08b32d,1478254304,B,456,3,336,0,0,0,0,0,0
096ecd48968b85e4dc53,-4023511794,A,456,3,346,0,0,0,0,0,0
098457ac915fdac0698d,1324253772,B,456,3,344,0,0,0,0,0,0
09c5b4784df30aa69840,325446902,A,123,3,287,0,0,0,0,0,0
09cebbcacc35489ebbc1,-903170144,A,456,3,344,0,0,0,0,0,0
09e77db79fe075729c6a,325446716,A,123,3,270,0,0,0,0,0,0
09f8fc2ec70a51a1f6ac,1844207008,A,123,3,264,0,0,0,0,0,0
09fac131c4abaa5193bd,3017014470,A,456,3,340,2,0,2,0,0,2
0a2c26346b639a082c05,-4222160578,B,456,4,346,0,0,0,0,0,0
0a3371b2f2911c0f1d13,3029014286,B,456,3,326,2,0,2,0,0,2
0a4333505a360df50de5,4175773572,A,456,4,345,2,0,2,0,0,2
0a5a9941e80e602743d2,2977014410,B,456,4,348,3,0,3,0,0,3
0a778a2b1c8fe5cc7092,1308253596,A,456,4,325,0,0,0,0,0,0
0aae7e22ad5e7af6fea7,2058207560,A,123,3,272,0,0,0,0,0,0
0ac91e18581eb68c3b6e,3021014306,B,456,3,340,0,0,0,0,0,0
0ae940c75df6c1099ab2,1451738980,A,456,4,335,0,0,0,0,0,0
0af8620b7291a4252edd,1482254086,A,456,3,339,2,0,2,0,0,2
0afebc737ab594f1c7b5,2663292922,B,456,3,346,0,0,0,0,0,0
0b02932c086bc19213b1,665222758,A,123,4,270,2,0,2,0,0,2
0b37a8ceb7d47a636824,2985014458,B,456,3,337,2,0,2,0,0,2
0b75c7c84f6e9d9a304a,2939014292,B,456,2,255,0,0,0,0,0,0
0ba79429c868c10331cd,1288253454,A,456,3,336,0,0,0,0,0,0
0bc59c5fe1fae9253d66,1484254338,A,456,3,330,0,0,0,0,0,0
0bc725c714ad1721e4c3,325446870,A,123,3,283,0,0,0,0,0,0
0bd1758e7f6fc2168b74,3027014522,A,456,3,338,0,0,0,0,0,0
0bda1f57a8c008f047c1,333446882,A,123,3,289,0,0,0,0,0,0
0c07aa5e9cdfb3c334b8,-4037511832,A,456,3,333,0,0,0,0,0,0
0c108de5ae3c026b8689,1296253518,A,456,3,329,0,0,0,0,0,0
0c19d5cdb3fc7cfd0a8d,1296253558,A,456,5,332,2,0,2,0,0,2
0c1bfc8a83d5f95171f8,1276253692,B,456,3,339,2,0,2,0,0,2
0c29fb793554617c1a8e,4229773718,A,456,3,345,0,0,0,0,0,0
0c802fc5e699bf24205a,4189773406,B,456,3,340,0,0,0,0,0,0
0ca2322fb1ed8fc77211,1478254328,A,456,3,341,2,0,2,0,0,2
0cbca11e21e0878bfba2,3033014314,A,456,4,330,0,0,0,0,0,0
0cc7df66f21a215c275f,-2697400536,B,456,4,351,0,0,0,0,0,0
0d1331cbc24b3d76d48c,1477739010,B,456,4,336,2,0,2,0,0,2
0d24074e4fe7edbbc1f2,2056207412,A,123,4,275,2,0,2,0,0,2
0d6b60fc74d791645015,2979014184,A,456,3,340,0,0,0,0,0,0
0d8414c9029516091bab,-2135929440,A,456,3,353,0,0,0,0,0,0
