sample_id,WAFER_ID,STAGE,cohort,condition,route,excluded_extreme,p3_cpp,qc_loose_fallback,qc_loose_start,qc_loose_end,qc_loose_rows,qc_loose_segments,qc_nominal_fallback,qc_nominal_start,qc_nominal_end,qc_nominal_rows,qc_nominal_segments,qc_strict_fallback,qc_strict_start,qc_strict_end,qc_strict_rows,qc_strict_segments
6e12493812a5f565ce96,-4230160598,A,training,Cond1,456,False,298,False,481805860.333,481805926.0,67,1,False,481805860.333,481805926.0,67,1,False,481805860.333,481805926.0,67,1
2be9803bbdbf02137071,-4230160594,B,training,Cond2,456,False,304,False,481859104.667,481859170.667,67,1,False,481859104.667,481859170.667,67,1,False,481859104.667,481859170.667,67,1
0d912928e6272614a0c1,-4230160436,B,training,Cond2,456,False,336,False,482141812.0,482141881.667,81,1,False,482141812.0,482141881.667,81,1,False,482141812.0,482141881.667,81,1
768ed3716ed800b36423,-4230160428,A,training,Cond1,456,False,381,False,482430715.667,482430782.667,68,1,False,482430715.667,482430782.667,68,1,False,482430715.667,482430782.667,68,1
116b8abb85ea208280a5,-4230160424,A,training,Cond1,456,False,360,False,482345157.667,482345222.333,66,1,False,482345157.667,482345222.333,66,1,False,482345157.667,482345222.333,66,1
0e3a81eb0cb986226385,-4230160424,B,training,Cond2,456,False,371,False,482381879.667,482381944.333,66,1,False,482381879.667,482381944.333,66,1,False,482381879.667,482381944.333,66,1
04afdd1c439211c8389d,-4230160416,B,training,Cond2,456,False,340,False,482164877.333,482164943.333,67,1,False,482164877.333,482164943.333,67,1,False,482164877.333,482164943.333,67,1
4da37b8285072d5fce8e,-4230160408,A,training,Cond1,456,False,362,False,482350595.0,482350659.667,66,1,False,482350595.0,482350659.667,66,1,False,482350595.0,482350659.667,66,1
733faafbe969be847e96,-4230160408,B,training,Cond2,456,False,372,False,482383153.333,482383217.667,66,1,False,482383153.333,482383217.667,66,1,False,482383153.333,482383217.667,66,1
bccda63c87bec0a47d9c,-4228160702,A,training,Cond1,456,False,294,False,481793167.333,481793231.333,65,1,False,481793167.333,481793231.333,65,1,False,481793167.333,481793231.333,65,1
faf9b118b6bb6efefe7e,-4228160702,B,training,Cond2,456,False,307,False,481871559.333,481871618.333,70,1,False,481871559.333,481871618.333,70,1,False,481871559.333,481871618.333,70,1
cffaf60b05aca089e80d,-4228160698,B,training,Cond2,456,False,318,False,481943427.333,481943495.333,69,1,False,481943427.333,481943495.333,69,1,False,481943427.333,481943495.333,69,1
6d54594b80801a7f0163,-4228160694,B,training,Cond2,456,False,304,False,481858904.667,481858969.333,65,1,False,481858904.667,481858969.333,65,1,False,481858905.667,481858969.333,64,1
3abcf2a307208ba996a4,-4228160690,A,training,Cond1,456,False,291,False,481768183.333,481768248.0,66,1,False,481768183.333,481768248.0,66,1,False,481768183.333,481768248.0,66,1
35ebfd06335c31593335,-4228160690,B,training,Cond2,456,False,294,False,481795266.333,481795332.333,66,1,False,481795266.333,481795332.333,66,1,False,481795266.333,481795332.333,66,1
aabfebf8e14b506d8151,-4228160686,A,training,Cond1,456,False,300,False,481809049.333,481809115.0,67,1,False,481809049.333,481809115.0,67,1,False,481809049.333,481809115.0,67,1
a977f34f9236cdacff16,-4228160686,B,training,Cond2,456,False,304,False,481859486.0,481859551.0,66,1,False,481859486.0,481859551.0,66,1,False,481859486.0,481859551.0,66,1
351473c7e4037343d255,-4228160682,A,training,Cond1,456,False,294,False,481793886.0,481793952.0,67,1,False,481793886.0,481793952.0,67,1,False,481793886.0,481793952.0,67,1
eaa7a669dfe8f22214a4,-4228160678,A,training,Cond1,456,False,294,False,481794874.333,481794940.667,67,1,False,481794874.333,481794940.667,67,1,False,481794874.333,481794940.667,67,1
d0e1b9e587a5a312fad4,-4228160670,A,training,Cond1,456,False,301,False,481813456.333,481813523.333,68,1,False,481813456.333,481813523.333,68,1,False,481813456.333,481813523.333,68,1
d2d996299d0391e7d6fc,-4228160670,B,training,Cond2,456,False,306,False,481868696.333,481868762.333,67,1,False,481868696.333,481868762.333,67,1,False,481868697.333,481868762.333,66,1
69608816b1a4f857c209,-4228160662,A,training,Cond1,456,False,300,False,481809248.333,481809313.0,66,1,False,481809248.333,481809313.0,66,1,False,481809248.333,481809313.0,66,1
e987ea7f07fb8a25b0dd,-4228160662,B,training,Cond2,456,False,327,False,482001554.333,482001601.333,48,1,False,482001555.0,482001601.333,47,1,False,482001555.0,482001601.333,47,1
8a0ffc2f2fee8840281a,-4228160658,A,training,Cond1,456,False,310,False,481907455.333,481907531.667,77,1,False,481907455.333,481907531.667,77,1,False,481907455.333,481907531.667,77,1
