Stage,Model,Paper_RMSE,Previous_RMSE,New_RMSE
A,GBT,6.552,7.514332123250275,7.548130169279339
A,RF,5.395,7.892938914168524,7.788102435002492
A,ERT,7.048,9.234544149338689,8.202329005900989
A,CART_Stack,5.065,9.17206274141971,7.542202897906278
A,ELM_Stack,4.795,8.962369108892872,7.89711057457181
B,GBT,4.781,4.865307375428209,4.240029324998642
B,RF,4.598,4.654825844526146,4.338334888037262
B,ERT,4.792,4.6663779731496415,4.550471847640923
B,CART_Stack,4.5,5.012667818633366,4.579154256415948
B,ELM_Stack,4.485,4.503506443482079,4.26874690971372
