stage,view,repeat,feature,importance,rank
A,rows_dc,0,c1_std_x9,0.7399010769564911,1
A,rows_dc,0,c1_rows_dc_kurtosis_x21,0.6937933966483645,2
A,rows_dc,0,c1_std_x16,0.5778902047202863,3
A,rows_dc,0,c1_std_x17,0.5653246389301313,4
A,rows_dc,0,c1_std_x7,0.5566786836613739,5
A,rows_dc,0,c1_rows_dc_centroid_x21,0.5426471880964716,6
A,rows_dc,0,c1_std_x22,0.5248766582536374,7
A,rows_dc,0,c1_moment3_x21,0.49379492994699226,8
A,rows_dc,0,c1_kurtosis_x17,0.4912976113727409,9
A,rows_dc,0,c1_moment3_x7,0.4557050921826735,10
A,rows_dc,0,c1_moment3_x16,0.4137153124012162,11
A,rows_dc,0,c1_kurtosis_x9,0.40476125761506554,12
A,rows_dc,0,c1_moment3_x17,0.38525369626697964,13
A,rows_dc,0,c1_kurtosis_x16,0.3698651569186424,14
A,rows_dc,0,c1_moment3_x9,0.35457412259284765,15
A,rows_dc,0,c1_rows_dc_centroid_x22,0.35349368276400356,16
A,rows_dc,0,c1_moment3_x14,0.3315337123304339,17
A,rows_dc,0,c1_moment3_x24,0.31818672555864674,18
A,rows_dc,0,c1_rows_dc_amplitude_x22,0.3162662354749921,19
A,rows_dc,0,c1_std_x20,0.31393146185105103,20
A,rows_dc,0,c1_skew_x21,0.31376141862344703,21
A,rows_dc,0,c1_kurtosis_x21,0.3129029915958448,22
A,rows_dc,0,c1_kurtosis_x22,0.306827714046013,23
A,rows_dc,0,c1_skew_x22,0.3063647434703225,24
A,rows_dc,0,c1_rows_dc_amplitude_x21,0.3003577892005734,25
A,rows_dc,0,c1_rows_dc_kurtosis_x22,0.2915410712908434,26
A,rows_dc,0,c1_std_x21,0.2892502859111351,27
A,rows_dc,0,c1_kurtosis_x15,0.28885742745805243,28
A,rows_dc,0,c1_skew_x17,0.28845203516370066,29
A,rows_dc,0,c1_kurtosis_x7,0.28733707375124307,30
A,rows_dc,0,c1_rows_dc_centroid_x23,0.28484545769309977,31
A,rows_dc,0,c1_skew_x16,0.27432628989521535,32
A,rows_dc,0,c1_skew_x13,0.2715074407682432,33
A,rows_dc,0,c1_skew_x14,0.2712351995079012,34
A,rows_dc,0,c1_moment3_x22,0.26934596022623264,35
A,rows_dc,0,c1_moment3_x10,0.26857800407566196,36
A,rows_dc,0,c1_std_x15,0.2661818114859698,37
A,rows_dc,0,c1_kurtosis_x20,0.2649627100016229,38
A,rows_dc,0,c1_skew_x24,0.2642457262569386,39
A,rows_dc,0,c1_moment3_x18,0.25537528192146103,40
A,rows_dc,0,c1_kurtosis_x10,0.25391401047486295,41
