stage,view,k,mse
B,time_ac,35,24.163549499656405
B,time_ac,50,24.387314392822365
B,time_ac,85,24.583024678052897
B,time_ac,65,24.61912287062306
B,time_ac,20,24.75612527799076
B,rows_dc,35,24.851403708946513
B,rows_dc,50,24.917197803800853
B,rows_dc,65,25.144211638654916
B,rows_dc,20,26.00774841003097
B,rows_dc,85,26.176388722919587
B,time_ac,5,32.79143922542047
B,rows_dc,5,38.759418417699564
A,rows_dc,20,85.806406268604
A,rows_dc,65,87.34287992887165
A,rows_dc,35,87.73213147674137
A,rows_dc,50,88.44706744951785
A,rows_dc,85,90.04378157414506
A,time_ac,50,98.32529034701014
A,time_ac,35,98.42229469771029
A,time_ac,65,98.75196992952678
A,time_ac,85,99.88963329788236
A,time_ac,20,129.49375448990813
A,rows_dc,5,144.56111226022006
A,time_ac,5,160.37178820103293
