fold,model,mse
0,P2_Persistent,221614.4429414705
0,P2_KNN,147331.4238837414
0,P2_LR,326165.9140606207
0,P2_SVR,221726.02056435597
0,P2_Bagging,197078.90698839
1,P2_Persistent,652529.1335959669
1,P2_KNN,67594.63373997332
1,P2_LR,32663378.815150894
1,P2_SVR,11.674451003667016
1,P2_Bagging,18758.49286650157
2,P2_Persistent,219437.10792807263
2,P2_KNN,184749.73045105525
2,P2_LR,35638487.18210753
2,P2_SVR,219622.60803167924
2,P2_Bagging,148418.29640642644
3,P2_Persistent,235286.1214435319
3,P2_KNN,274647.28906825284
3,P2_LR,537417.8416248112
3,P2_SVR,235722.37912751874
3,P2_Bagging,250261.68436472607
4,P2_Persistent,433398.55594014516
4,P2_KNN,352117.7701650542
4,P2_LR,479976.9290391817
4,P2_SVR,433128.02228638215
4,P2_Bagging,401899.95931382675
5,P2_Persistent,235285.7978267496
5,P2_KNN,263696.1838682962
5,P2_LR,1283070.934172742
5,P2_SVR,235414.61426725693
5,P2_Bagging,259403.9487145592
6,P2_Persistent,12.667557417263518
6,P2_KNN,32901.0728380773
6,P2_LR,18917370.014925987
6,P2_SVR,8.840681794157158
6,P2_Bagging,26304.987122808037
7,P2_Persistent,221923.46656297924
7,P2_KNN,66349.29938924106
7,P2_LR,292353.72985103907
7,P2_SVR,8.035926749269546
7,P2_Bagging,38225.959215572635
8,P2_Persistent,96.87471722419818
8,P2_KNN,13286.308581184385
8,P2_LR,203324.42183097336
8,P2_SVR,15.549989148491148
8,P2_Bagging,715.8259999141048
9,P2_Persistent,219287.00971298572
9,P2_KNN,46054.24560752427
9,P2_LR,433276.0346954011
9,P2_SVR,12.173945213688905
9,P2_Bagging,58369.14511552167
10,P2_Persistent,9.672315411891882
10,P2_KNN,58636.38777275815
10,P2_LR,361694.2408393473
10,P2_SVR,10.190564363970887
10,P2_Bagging,21156.83806705217
11,P2_Persistent,235325.1929918674
11,P2_KNN,388615.15132105653
11,P2_LR,1471756.1456517514
11,P2_SVR,449368.94336457324
11,P2_Bagging,362195.2351935549
12,P2_Persistent,219244.49498288066
12,P2_KNN,63239.51475835726
12,P2_LR,343522.1540010986
12,P2_SVR,9.809119716538513
12,P2_Bagging,64301.373523705566
13,P2_Persistent,219200.4805933885
13,P2_KNN,67906.7545767888
13,P2_LR,124842.0433846413
13,P2_SVR,10.191124420170516
13,P2_Bagging,45821.45892165343
14,P2_Persistent,11.627988808682414
14,P2_KNN,15650.593308224674
14,P2_LR,124308.1655910887
14,P2_SVR,10.097163122349249
14,P2_Bagging,12859.715527012508
15,P2_Persistent,219439.3084387686
15,P2_KNN,156243.4452776797
15,P2_LR,24017815.267314542
15,P2_SVR,219635.4906497519
15,P2_Bagging,145705.03047821793
16,P2_Persistent,219200.22829920406
16,P2_KNN,63519.19740558881
16,P2_LR,214196.88334339776
16,P2_SVR,12.927384091779984
16,P2_Bagging,71945.36373009169
17,P2_Persistent,47.06359050496655
17,P2_KNN,157893.4362946051
17,P2_LR,421615.795891956
17,P2_SVR,213791.81755689465
17,P2_Bagging,156698.78864178288
18,P2_Persistent,221841.26806889006
18,P2_KNN,83587.33686472157
18,P2_LR,1116349.1620680068
18,P2_SVR,9.466636210212208
18,P2_Bagging,42198.519033133045
19,P2_Persistent,441037.7874961421
19,P2_KNN,362808.26835179405
19,P2_LR,432172.70330368174
19,P2_SVR,441036.2237090679
19,P2_Bagging,342194.2951459908
