fold,model,mse
0,P2_Persistent,221613.58180619357
0,P2_KNN,147331.4238837414
0,P2_LR,259592.3733048059
0,P2_SVR,221855.16818073613
0,P2_Bagging,194166.3952766628
1,P2_Persistent,646799.4193109385
1,P2_KNN,67594.63373997332
1,P2_LR,10196124.834276669
1,P2_SVR,12.45544296317006
1,P2_Bagging,23976.37956767316
2,P2_Persistent,219691.84238464624
2,P2_KNN,184749.73045105525
2,P2_LR,72557197.62899336
2,P2_SVR,219662.8381293343
2,P2_Bagging,145889.9197963889
3,P2_Persistent,234699.6878653326
3,P2_KNN,274647.28906825284
3,P2_LR,988908.23991852
3,P2_SVR,235597.6671946682
3,P2_Bagging,249887.92112920986
4,P2_Persistent,433167.5023547543
4,P2_KNN,352117.7701650542
4,P2_LR,32443941.488768816
4,P2_SVR,433520.08273867914
4,P2_Bagging,404202.9019828712
5,P2_Persistent,234700.3059623605
5,P2_KNN,263696.1838682962
5,P2_LR,353523.18472697923
5,P2_SVR,235280.47245811665
5,P2_Bagging,259974.0610615847
6,P2_Persistent,10.107293595506759
6,P2_KNN,32901.0728380773
6,P2_LR,364578.5834619621
6,P2_SVR,8.500604013133309
6,P2_Bagging,26133.766732452616
7,P2_Persistent,657404.8523565397
7,P2_KNN,66349.29938924106
7,P2_LR,249610.63026302116
7,P2_SVR,8.153789763812656
7,P2_Bagging,39272.53903086512
8,P2_Persistent,56.06749397054539
8,P2_KNN,13286.308581184385
8,P2_LR,140058.4121589805
8,P2_SVR,15.449289755084322
8,P2_Bagging,2126.322555119589
9,P2_Persistent,219284.02263195717
9,P2_KNN,46054.24560752427
9,P2_LR,520380.37430237664
9,P2_SVR,11.61936625539318
9,P2_Bagging,52085.907864255634
10,P2_Persistent,12.670289703243236
10,P2_KNN,58636.38777275815
10,P2_LR,73278.83772907923
10,P2_SVR,10.631259714250223
10,P2_Bagging,21582.359276340998
11,P2_Persistent,448168.76918193215
11,P2_KNN,388615.15132105653
11,P2_LR,385874.8242073529
11,P2_SVR,449302.13521890965
11,P2_Bagging,361674.6649110952
12,P2_Persistent,219244.25740545883
12,P2_KNN,63239.51475835726
12,P2_LR,442918.1381287659
12,P2_SVR,12.47489674849499
12,P2_Bagging,54719.12285994315
13,P2_Persistent,440774.05291508604
13,P2_KNN,67906.7545767888
13,P2_LR,399851.3645340475
13,P2_SVR,10.283519745599316
13,P2_Bagging,56368.563318339104
14,P2_Persistent,9.725447191013501
14,P2_KNN,15650.593308224674
14,P2_LR,167685.99796447248
14,P2_SVR,11.156420946279772
14,P2_Bagging,7938.824405654011
15,P2_Persistent,219690.94411510177
15,P2_KNN,156243.4452776797
15,P2_LR,2554791.754341859
15,P2_SVR,219418.17581566403
15,P2_Bagging,142510.05047583982
16,P2_Persistent,440775.43336758786
16,P2_KNN,63519.19740558881
16,P2_LR,486126.45437289483
16,P2_SVR,12.653104227343071
16,P2_Bagging,72398.64592488109
17,P2_Persistent,213475.96464008462
17,P2_KNN,157893.4362946051
17,P2_LR,428241.331600097
17,P2_SVR,213616.74201294847
17,P2_Bagging,158033.61265632688
18,P2_Persistent,657321.6333503599
18,P2_KNN,83587.33686472157
18,P2_LR,76207.8849416327
18,P2_SVR,9.547123447141841
18,P2_Bagging,48429.74466073779
19,P2_Persistent,441288.3380441974
19,P2_KNN,362808.26835179405
19,P2_LR,421823.67752134916
19,P2_SVR,441059.80849894846
19,P2_Bagging,339771.64881310484
