fold,model,mse
0,P2_Persistent,22.971820090996935
0,P2_KNN,44.555386193075755
0,P2_LR,12.626554199831672
0,P2_SVR,14.045778129708843
0,P2_Bagging,10.810609472392152
1,P2_Persistent,18.39172039932726
1,P2_KNN,37.23730607169248
1,P2_LR,10.515829695916244
1,P2_SVR,13.980287799768107
1,P2_Bagging,10.649732517796725
2,P2_Persistent,20.421411119447857
2,P2_KNN,43.444082490330025
2,P2_LR,12.149680730744853
2,P2_SVR,14.320137395822536
2,P2_Bagging,11.719499735806972
3,P2_Persistent,22.940388656759577
3,P2_KNN,33.10283542059948
3,P2_LR,18.31978985081496
3,P2_SVR,12.439662171892177
3,P2_Bagging,11.276961439434139
4,P2_Persistent,25.456230410107356
4,P2_KNN,34.68847212653563
4,P2_LR,7389.667580607675
4,P2_SVR,19.143001023347956
4,P2_Bagging,12.418832518785637
5,P2_Persistent,18.307479083900535
5,P2_KNN,40.92788534128842
5,P2_LR,14.162706314894372
5,P2_SVR,14.210578925797774
5,P2_Bagging,10.017741095653845
6,P2_Persistent,18.089887269202446
6,P2_KNN,31.988278040591293
6,P2_LR,20.66187549295392
6,P2_SVR,11.858120378688755
6,P2_Bagging,9.602735326939872
7,P2_Persistent,23.461018650552138
7,P2_KNN,32.24300174372901
7,P2_LR,472.0836663072805
7,P2_SVR,14.380516704085778
7,P2_Bagging,10.675407976149144
8,P2_Persistent,20.06980847682515
8,P2_KNN,41.10840810173952
8,P2_LR,24.408573812693437
8,P2_SVR,16.115704333510894
8,P2_Bagging,10.764321590074466
9,P2_Persistent,25.651524760528613
9,P2_KNN,38.09166137840575
9,P2_LR,387.1327068217841
9,P2_SVR,12.810229628578844
9,P2_Bagging,10.694266113465128
10,P2_Persistent,24.17053921435536
10,P2_KNN,40.4772867750428
10,P2_LR,14828.383750034345
10,P2_SVR,13.172986795910367
10,P2_Bagging,12.167485194515255
11,P2_Persistent,21.086837916429673
11,P2_KNN,39.15615371186483
11,P2_LR,3284.8343490686993
11,P2_SVR,12.80874828751082
11,P2_Bagging,12.847085957273082
12,P2_Persistent,19.044051815153367
12,P2_KNN,45.096841494971336
12,P2_LR,12.39513224019027
12,P2_SVR,13.118248010662432
12,P2_Bagging,9.350099426070772
13,P2_Persistent,19.2846383627569
13,P2_KNN,43.767703651656944
13,P2_LR,11.685601561784807
13,P2_SVR,15.001163403711319
13,P2_Bagging,10.574784679932604
14,P2_Persistent,21.608336925552152
14,P2_KNN,40.51153449700297
14,P2_LR,28573.733817237597
14,P2_SVR,13.442051861604636
14,P2_Bagging,11.669644407354207
15,P2_Persistent,18.78933089063052
15,P2_KNN,40.12906962452012
15,P2_LR,14.796074196639657
15,P2_SVR,12.606455119348494
15,P2_Bagging,9.921398378085943
16,P2_Persistent,22.20119255263804
16,P2_KNN,36.04648226261339
16,P2_LR,15.115554009540878
16,P2_SVR,18.088169091180852
16,P2_Bagging,11.653244943311199
17,P2_Persistent,21.254240980214732
17,P2_KNN,43.70745873180051
17,P2_LR,2532.4438174922143
17,P2_SVR,11.5660747417577
17,P2_Bagging,11.019085085019405
18,P2_Persistent,21.397736879803812
18,P2_KNN,35.449310891450594
18,P2_LR,198.2605529084017
18,P2_SVR,17.04405351901634
18,P2_Bagging,11.594656541850815
19,P2_Persistent,22.02759373262671
19,P2_KNN,39.3699989946605
19,P2_LR,44.61133233617087
19,P2_SVR,17.216348668111632
19,P2_Bagging,12.17712939078938
