fold,model,mse
0,P2_Persistent,15.936568837453123
0,P2_KNN,14.907154609181243
0,P2_LR,10.267710558030833
0,P2_SVR,10.562771926870198
0,P2_Bagging,9.219824942191746
1,P2_Persistent,13.878655429404102
1,P2_KNN,12.827532613349529
1,P2_LR,26.418264044016972
1,P2_SVR,8.650541936274582
1,P2_Bagging,7.049501664504094
2,P2_Persistent,11.716300622109376
2,P2_KNN,14.305056713611872
2,P2_LR,14.48724387477959
2,P2_SVR,6.42198035653527
2,P2_Bagging,6.581255405195863
3,P2_Persistent,11.878456858171873
3,P2_KNN,11.639999484049214
3,P2_LR,291.8356772741113
3,P2_SVR,8.284684996612238
3,P2_Bagging,7.847794529609281
4,P2_Persistent,14.661121528828122
4,P2_KNN,12.32922254052235
4,P2_LR,881.2766716960934
4,P2_SVR,8.923809929717985
4,P2_Bagging,7.577837263442198
5,P2_Persistent,13.576433346984373
5,P2_KNN,11.664747293051255
5,P2_LR,5.556269848449252
5,P2_SVR,7.545881877246001
5,P2_Bagging,5.324064224203559
6,P2_Persistent,10.823332153781255
6,P2_KNN,12.65408743800656
6,P2_LR,4.744847603403161
6,P2_SVR,6.3554606030761365
6,P2_Bagging,5.480790846428102
7,P2_Persistent,11.236298192859374
7,P2_KNN,12.542911179894848
7,P2_LR,9.129936307191864
7,P2_SVR,9.735392617900649
7,P2_Bagging,7.379565537592967
8,P2_Persistent,15.034411793243638
8,P2_KNN,13.176191478689992
8,P2_LR,8.923271080770503
8,P2_SVR,9.613836547829894
8,P2_Bagging,8.762764229745496
9,P2_Persistent,12.078720836966204
9,P2_KNN,15.678144985969691
9,P2_LR,7.344511222255024
9,P2_SVR,9.494942392942283
9,P2_Bagging,6.938215539619733
10,P2_Persistent,11.618804740640622
10,P2_KNN,13.88184213335624
10,P2_LR,7.495165965661539
10,P2_SVR,9.567220480008958
10,P2_Bagging,6.941659678654223
11,P2_Persistent,14.561770993007315
11,P2_KNN,12.44876193931641
11,P2_LR,7.686190175396133
11,P2_SVR,8.25900679754451
11,P2_Bagging,6.508247283243586
12,P2_Persistent,15.359648180624998
12,P2_KNN,14.677640695525787
12,P2_LR,8.221526994386371
12,P2_SVR,10.000454409180474
12,P2_Bagging,7.2423720381291075
13,P2_Persistent,9.862588308515623
13,P2_KNN,14.758162658888903
13,P2_LR,11.403580918727258
13,P2_SVR,11.24854649687406
13,P2_Bagging,9.125128729469736
14,P2_Persistent,13.088521361390624
14,P2_KNN,13.715428231172814
14,P2_LR,293.22214737438037
14,P2_SVR,8.527482844609054
14,P2_Bagging,6.798592230214474
15,P2_Persistent,10.848357466031247
15,P2_KNN,15.759375797241557
15,P2_LR,6.952541277800331
15,P2_SVR,10.589122415269799
15,P2_Bagging,7.450933831587504
16,P2_Persistent,12.73396618954688
16,P2_KNN,12.256010876359682
16,P2_LR,10.739548720865422
16,P2_SVR,10.683967364222799
16,P2_Bagging,7.073901329546406
17,P2_Persistent,14.941483640266387
17,P2_KNN,13.886998410771564
17,P2_LR,6.737693838834306
17,P2_SVR,8.308629582792497
17,P2_Bagging,6.876647323174453
18,P2_Persistent,9.266042707087317
18,P2_KNN,11.240868940624688
18,P2_LR,61.80550380094503
18,P2_SVR,8.163316068583608
18,P2_Bagging,5.283136121513176
19,P2_Persistent,12.686199825093752
19,P2_KNN,11.295190738569378
19,P2_LR,9.332957093444351
19,P2_SVR,9.119060388730086
19,P2_Bagging,6.323995566878308
