fold,candidate,model,mse
0,svr_C1_gscale,P2_SVR,221801.99851821634
0,svr_C1_g0.01,P2_SVR,221799.85798946838
0,svr_C10_gscale,P2_SVR,221855.16818073613
0,svr_C10_g0.01,P2_SVR,221862.43969127504
0,svr_C100_gscale,P2_SVR,221647.40984743956
0,svr_C100_g0.01,P2_SVR,221833.9183659153
0,bag_T100_L1,P2_Bagging,215567.70019188512
0,bag_T100_L5,P2_Bagging,194166.3952766628
0,bag_T300_L1,P2_Bagging,209532.53180459177
0,bag_T300_L5,P2_Bagging,193927.4178223858
1,svr_C1_gscale,P2_SVR,12.393193927161088
1,svr_C1_g0.01,P2_SVR,12.186889199108101
1,svr_C10_gscale,P2_SVR,12.45544296317006
1,svr_C10_g0.01,P2_SVR,11.699357859938226
1,svr_C100_gscale,P2_SVR,22.196951067096197
1,svr_C100_g0.01,P2_SVR,25.17634485578458
1,bag_T100_L1,P2_Bagging,22157.4630929076
1,bag_T100_L5,P2_Bagging,23976.37956767316
1,bag_T300_L1,P2_Bagging,30458.692700682725
1,bag_T300_L5,P2_Bagging,28482.917565466243
2,svr_C1_gscale,P2_SVR,219653.4257929157
2,svr_C1_g0.01,P2_SVR,219634.01988655003
2,svr_C10_gscale,P2_SVR,219662.8381293343
2,svr_C10_g0.01,P2_SVR,219654.76541928173
2,svr_C100_gscale,P2_SVR,219558.62620801147
2,svr_C100_g0.01,P2_SVR,219687.87972454415
2,bag_T100_L1,P2_Bagging,180049.93130138805
2,bag_T100_L5,P2_Bagging,145889.9197963889
2,bag_T300_L1,P2_Bagging,175789.88878393715
2,bag_T300_L5,P2_Bagging,156656.22607264676
3,svr_C1_gscale,P2_SVR,235565.0610952105
3,svr_C1_g0.01,P2_SVR,235530.29785705428
3,svr_C10_gscale,P2_SVR,235597.6671946682
3,svr_C10_g0.01,P2_SVR,235589.43213127332
3,svr_C100_gscale,P2_SVR,235562.54153380467
3,svr_C100_g0.01,P2_SVR,235524.20724457977
3,bag_T100_L1,P2_Bagging,274440.39972773317
3,bag_T100_L5,P2_Bagging,249887.92112920986
3,bag_T300_L1,P2_Bagging,269169.9712126981
3,bag_T300_L5,P2_Bagging,253698.9670102177
4,svr_C1_gscale,P2_SVR,433415.50762567704
4,svr_C1_g0.01,P2_SVR,433368.12865800335
4,svr_C10_gscale,P2_SVR,433520.08273867914
4,svr_C10_g0.01,P2_SVR,433467.8686552775
4,svr_C100_gscale,P2_SVR,433556.0971284914
4,svr_C100_g0.01,P2_SVR,433625.5825577702
4,bag_T100_L1,P2_Bagging,452958.82268838753
4,bag_T100_L5,P2_Bagging,404202.9019828712
4,bag_T300_L1,P2_Bagging,450431.47412629466
4,bag_T300_L5,P2_Bagging,405508.56860090094
5,svr_C1_gscale,P2_SVR,235467.2753691992
5,svr_C1_g0.01,P2_SVR,235448.84020451698
5,svr_C10_gscale,P2_SVR,235280.47245811665
5,svr_C10_g0.01,P2_SVR,235327.12732695637
5,svr_C100_gscale,P2_SVR,234933.93768423694
5,svr_C100_g0.01,P2_SVR,235033.05728140633
5,bag_T100_L1,P2_Bagging,256141.37680212272
5,bag_T100_L5,P2_Bagging,259974.0610615847
5,bag_T300_L1,P2_Bagging,258476.5044008768
5,bag_T300_L5,P2_Bagging,258146.33853369398
6,svr_C1_gscale,P2_SVR,9.235903352464577
6,svr_C1_g0.01,P2_SVR,8.913955882728434
6,svr_C10_gscale,P2_SVR,8.500604013133309
6,svr_C10_g0.01,P2_SVR,8.236309351041264
6,svr_C100_gscale,P2_SVR,16.653855078150357
6,svr_C100_g0.01,P2_SVR,19.796764390638195
6,bag_T100_L1,P2_Bagging,69342.3191977036
6,bag_T100_L5,P2_Bagging,26133.766732452616
6,bag_T300_L1,P2_Bagging,61257.55816395667
6,bag_T300_L5,P2_Bagging,25134.46612793816
7,svr_C1_gscale,P2_SVR,8.839069721419431
7,svr_C1_g0.01,P2_SVR,9.028301218448552
7,svr_C10_gscale,P2_SVR,8.153789763812656
7,svr_C10_g0.01,P2_SVR,8.300063582248168
7,svr_C100_gscale,P2_SVR,20.695185965384432
7,svr_C100_g0.01,P2_SVR,22.92427674683152
7,bag_T100_L1,P2_Bagging,72256.15515428624
7,bag_T100_L5,P2_Bagging,39272.53903086512
7,bag_T300_L1,P2_Bagging,64204.65760105716
7,bag_T300_L5,P2_Bagging,41991.58176662326
8,svr_C1_gscale,P2_SVR,12.600211259580677
8,svr_C1_g0.01,P2_SVR,12.407066154507008
8,svr_C10_gscale,P2_SVR,15.449289755084322
8,svr_C10_g0.01,P2_SVR,15.488401453273315
8,svr_C100_gscale,P2_SVR,16.779585628016996
8,svr_C100_g0.01,P2_SVR,17.232119307623375
8,bag_T100_L1,P2_Bagging,18170.568346755914
8,bag_T100_L5,P2_Bagging,2126.322555119589
8,bag_T300_L1,P2_Bagging,18583.51840264096
8,bag_T300_L5,P2_Bagging,1913.1271675624416
9,svr_C1_gscale,P2_SVR,10.085001775891026
9,svr_C1_g0.01,P2_SVR,9.914496862981098
9,svr_C10_gscale,P2_SVR,11.61936625539318
9,svr_C10_g0.01,P2_SVR,11.26117937450049
9,svr_C100_gscale,P2_SVR,16.94486010672561
9,svr_C100_g0.01,P2_SVR,17.62658753730789
9,bag_T100_L1,P2_Bagging,151570.2473801677
9,bag_T100_L5,P2_Bagging,52085.907864255634
9,bag_T300_L1,P2_Bagging,169345.0378252876
9,bag_T300_L5,P2_Bagging,51749.61841732498
10,svr_C1_gscale,P2_SVR,11.222574933658487
10,svr_C1_g0.01,P2_SVR,11.085290943732002
10,svr_C10_gscale,P2_SVR,10.631259714250223
10,svr_C10_g0.01,P2_SVR,10.516569985306916
10,svr_C100_gscale,P2_SVR,14.558393736829295
10,svr_C100_g0.01,P2_SVR,13.85987809627744
10,bag_T100_L1,P2_Bagging,38511.1539470185
10,bag_T100_L5,P2_Bagging,21582.359276340998
10,bag_T300_L1,P2_Bagging,37430.233457637616
10,bag_T300_L5,P2_Bagging,21257.68094437454
11,svr_C1_gscale,P2_SVR,449336.1843409161
11,svr_C1_g0.01,P2_SVR,449286.80566912907
11,svr_C10_gscale,P2_SVR,449302.13521890965
11,svr_C10_g0.01,P2_SVR,449212.4140533428
11,svr_C100_gscale,P2_SVR,449070.5112716908
11,svr_C100_g0.01,P2_SVR,449237.0726394296
11,bag_T100_L1,P2_Bagging,405846.66922266706
11,bag_T100_L5,P2_Bagging,361674.6649110952
11,bag_T300_L1,P2_Bagging,419154.8014404332
11,bag_T300_L5,P2_Bagging,372840.1765896738
12,svr_C1_gscale,P2_SVR,13.157242664389441
12,svr_C1_g0.01,P2_SVR,13.10743870734484
12,svr_C10_gscale,P2_SVR,12.47489674849499
12,svr_C10_g0.01,P2_SVR,12.321926291284285
12,svr_C100_gscale,P2_SVR,15.195254935896838
12,svr_C100_g0.01,P2_SVR,15.102615227129258
12,bag_T100_L1,P2_Bagging,134576.30904505964
12,bag_T100_L5,P2_Bagging,54719.12285994315
12,bag_T300_L1,P2_Bagging,110728.49718920828
12,bag_T300_L5,P2_Bagging,41790.08570652937
13,svr_C1_gscale,P2_SVR,11.677367443005124
13,svr_C1_g0.01,P2_SVR,11.879003850176565
13,svr_C10_gscale,P2_SVR,10.283519745599316
13,svr_C10_g0.01,P2_SVR,10.542732787272616
13,svr_C100_gscale,P2_SVR,15.387759050818726
13,svr_C100_g0.01,P2_SVR,14.86861301111842
13,bag_T100_L1,P2_Bagging,123005.11293335163
13,bag_T100_L5,P2_Bagging,56368.563318339104
13,bag_T300_L1,P2_Bagging,126316.55353883198
13,bag_T300_L5,P2_Bagging,63531.63598924329
14,svr_C1_gscale,P2_SVR,9.914079722321645
14,svr_C1_g0.01,P2_SVR,9.780001621644594
14,svr_C10_gscale,P2_SVR,11.156420946279772
14,svr_C10_g0.01,P2_SVR,10.898498018153907
14,svr_C100_gscale,P2_SVR,15.393310298334793
14,svr_C100_g0.01,P2_SVR,17.94407684630627
14,bag_T100_L1,P2_Bagging,23255.654759526013
14,bag_T100_L5,P2_Bagging,7938.824405654011
14,bag_T300_L1,P2_Bagging,25734.589109802466
14,bag_T300_L5,P2_Bagging,6374.560366196007
15,svr_C1_gscale,P2_SVR,219547.95375426867
