cohort,route,phase,n,fallbacks
test,123,loose,73,0
test,123,nominal,73,0
test,123,strict,73,0
test,456,loose,351,7
test,456,nominal,351,7
test,456,strict,351,7
training,123,loose,368,0
training,123,nominal,368,0
training,123,strict,368,0
training,456,loose,1613,29
training,456,nominal,1613,29
training,456,strict,1613,29
validation,123,loose,67,0
validation,123,nominal,67,0
validation,123,strict,67,0
validation,456,loose,357,10
validation,456,nominal,357,10
validation,456,strict,357,10
