cohort,WAFER_ID,STAGE,source_file,start,end,rows,gap_from_previous_file
test,-4019511786,B,test/CMP-test-074.csv,484019978.0,484019999.0,22,
test,-4019511786,B,test/CMP-test-075.csv,484020000.333,484020345.333,328,1.3330000042915344
test,37494424,A,test/CMP-test-173.csv,486956281.333,486956399.333,119,
test,37494424,A,test/CMP-test-174.csv,486956400.333,486956643.333,226,1.0
test,675222844,A,test/CMP-test-023.csv,482378288.0,482378399.333,112,
test,675222844,A,test/CMP-test-024.csv,482378400.0,482378578.0,165,0.6669999957084656
test,2911013996,B,test/CMP-test-092.csv,484538254.0,484538399.0,146,
test,2911013996,B,test/CMP-test-093.csv,484538400.0,484538611.0,197,1.0
test,2925014266,A,test/CMP-test-087.csv,484373479.333,484394399.667,6253,
test,2925014266,A,test/CMP-test-088.csv,484394400.667,484402824.667,8425,1.0
test,3625681344,B,test/CMP-test-160.csv,486495354.333,486495599.333,229,
test,3625681344,B,test/CMP-test-161.csv,486495602.0,486495699.333,97,2.6669999957084656
test,3625681404,B,test/CMP-test-160.csv,486495532.667,486495599.333,68,
test,3625681404,B,test/CMP-test-161.csv,486495602.0,486495891.333,275,2.6669999957084656
validation,-4141512100,A,validation/CMP-validation-023.csv,482378211.0,482378393.0,183,
validation,-4141512100,A,validation/CMP-validation-024.csv,482378411.0,482378570.0,162,18.0
validation,-2697400556,B,validation/CMP-validation-000.csv,481657158.333,481657199.333,42,
validation,-2697400556,B,validation/CMP-validation-001.csv,481657200.333,481657534.333,318,1.0
validation,2911014062,B,validation/CMP-validation-090.csv,484480686.667,484480799.0,113,
validation,2911014062,B,validation/CMP-validation-091.csv,484480800.0,484481045.667,228,1.0
validation,2917014210,B,validation/CMP-validation-090.csv,484480493.667,484480799.0,287,
validation,2917014210,B,validation/CMP-validation-091.csv,484480800.0,484480858.667,60,1.0
validation,2975014152,B,validation/CMP-validation-120.csv,485344574.333,485344799.333,209,
validation,2975014152,B,validation/CMP-validation-121.csv,485344800.667,485344939.333,138,1.3339999914169312
validation,4179773568,A,validation/CMP-validation-072.csv,483962316.0,483962399.0,84,
validation,4179773568,A,validation/CMP-validation-073.csv,483962400.0,483962679.0,262,1.0
