sample_id,cohort,WAFER_ID,STAGE,group_id,exclusion_reason
test:802b230d0aa13ef09b01,test,-4226160404,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:78293129114a408f1e80,test,-4224160686,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:d2b619d0c27a2215d97d,test,-4224160678,B,prior/CMP-training-000.csv,prior_wafer_file_component
test:8cbfa251ad6482b9468a,test,-4224160592,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:2f19a3b3f53f74c8f06d,test,-4222160444,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:57fe37f23a7a563e92b5,test,-4222160424,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:d88729a1562ff7919ee6,test,-4222160392,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:962437a2fbc3b6042db7,test,-4220160694,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:f87bd15cfe0b9c9d8415,test,-4220160674,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:764753670487fc80d24c,test,-4220160654,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:7f2459acd6f57454c4de,test,-4220160642,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:957c27960f457cd8dabf,test,-4220160584,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:fb0eae697a9519d0905e,test,-4141512092,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:578662795c0c299ba758,test,-4139511862,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:f60abb8f931c66b5bf55,test,-4113511760,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:240582ac933b31585eaa,test,-4111512042,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:c26e0c529372ea2ee611,test,-4111511840,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:49bba6db5bee77022ef6,test,-4045511872,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:9fd0ed5ba993979a6cfd,test,-4043511804,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:bf41f45050aa7ffc0a41,test,-4043511570,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:1ac24eafd0da43e258bc,test,-4037511812,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:b975a3224ef6639f0a72,test,-4035511804,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:05a15453e1d30c4d06e3,test,-4035511566,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:98cba2b96f73f2b35fd6,test,-4033511552,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:fcd498cc64e4e283fd14,test,-4033511540,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:3412955d6c5ac4440b55,test,-4025511544,A,prior/CMP-training-053.csv,prior_wafer_file_component
test:d279bdf911278448128d,test,-4025511544,B,prior/CMP-training-053.csv,prior_wafer_file_component
test:e75722edfe57cace8431,test,-4025511500,B,prior/CMP-training-053.csv,prior_wafer_file_component
test:effbef4e397b3bf03d9b,test,-4023511604,A,prior/CMP-training-053.csv,prior_wafer_file_component
test:4a8255e9c03d9064da6e,test,-4021511610,A,prior/CMP-training-062.csv,prior_wafer_file_component
test:2d9bec1b3d81c5674e0f,test,-4019511786,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:4c93d5d8a6926d298bc4,test,-4019511616,A,prior/CMP-training-071.csv,prior_wafer_file_component
test:5e954f010a07d7b406c0,test,-4019511596,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:40b3ead632c8b379236a,test,-4017511602,B,prior/CMP-training-071.csv,prior_wafer_file_component
