cohort,WAFER_ID,STAGE,sample_id,chamber_route,source_files,start_timestamp,end_timestamp,group_id,prior_wafer_overlap,prior_component_overlap,unseen_chamber,eligible,exclusion_reason
test,-4226160404,A,test:802b230d0aa13ef09b01,4-5-6,test/CMP-test-002.csv,481701118.0,481701493.667,prior/CMP-training-000.csv,True,True,False,False,prior_wafer_file_component
test,-4224160686,A,test:78293129114a408f1e80,4-5-6,test/CMP-test-001.csv,481663713.667,481664079.667,prior/CMP-training-000.csv,False,True,False,False,prior_wafer_file_component
test,-4224160678,B,test:d2b619d0c27a2215d97d,4-5-6,test/CMP-test-000.csv,481656553.667,481656926.333,prior/CMP-training-000.csv,False,True,False,False,prior_wafer_file_component
test,-4224160592,A,test:8cbfa251ad6482b9468a,4-5-6,test/CMP-test-000.csv,481638013.333,481638376.333,prior/CMP-training-000.csv,True,True,False,False,prior_wafer_file_component
test,-4222160444,B,test:2f19a3b3f53f74c8f06d,4-5-6,test/CMP-test-016.csv,482153650.0,482154042.0,prior/CMP-training-014.csv,False,True,False,False,prior_wafer_file_component
test,-4222160424,B,test:57fe37f23a7a563e92b5,4-5-6,test/CMP-test-016.csv,482165455.667,482165825.333,prior/CMP-training-014.csv,False,True,False,False,prior_wafer_file_component
test,-4222160392,B,test:d88729a1562ff7919ee6,4-5-6,test/CMP-test-016.csv,482165059.333,482165430.333,prior/CMP-training-014.csv,True,True,False,False,prior_wafer_file_component
test,-4220160694,B,test:962437a2fbc3b6042db7,4-5-6,test/CMP-test-024.csv,482383326.333,482383689.667,prior/CMP-training-014.csv,True,True,False,False,prior_wafer_file_component
test,-4220160674,B,test:f87bd15cfe0b9c9d8415,4-5-6,test/CMP-test-024.csv,482392912.667,482393218.667,prior/CMP-training-014.csv,True,True,False,False,prior_wafer_file_component
test,-4220160654,A,test:764753670487fc80d24c,4-5-6,test/CMP-test-022.csv,482324184.667,482324544.667,prior/CMP-training-014.csv,False,True,False,False,prior_wafer_file_component
test,-4220160642,B,test:7f2459acd6f57454c4de,4-5-6,test/CMP-test-023.csv,482371389.0,482371752.0,prior/CMP-training-014.csv,False,True,False,False,prior_wafer_file_component
test,-4220160584,B,test:957c27960f457cd8dabf,4-5-6,test/CMP-test-017.csv,482190913.667,482191285.333,prior/CMP-training-014.csv,False,True,False,False,prior_wafer_file_component
test,-4141512092,A,test:fb0eae697a9519d0905e,4-5-6,test/CMP-test-032.csv,482617339.0,482617702.0,prior/CMP-training-014.csv,True,True,False,False,prior_wafer_file_component
test,-4139511862,A,test:578662795c0c299ba758,4-5-6,test/CMP-test-033.csv,482641202.667,482641561.667,prior/CMP-training-014.csv,False,True,False,False,prior_wafer_file_component
test,-4113511760,A,test:f60abb8f931c66b5bf55,4-5-6,test/CMP-test-002.csv,481693276.333,481694612.333,prior/CMP-training-000.csv,False,True,False,False,prior_wafer_file_component
test,-4111512042,A,test:240582ac933b31585eaa,4-5-6,test/CMP-test-022.csv,482342313.333,482342678.333,prior/CMP-training-014.csv,False,True,False,False,prior_wafer_file_component
test,-4111511840,B,test:c26e0c529372ea2ee611,4-5-6,test/CMP-test-024.csv,482379246.0,482379612.0,prior/CMP-training-014.csv,False,True,False,False,prior_wafer_file_component
test,-4045511872,B,test:49bba6db5bee77022ef6,4-5-6,test/CMP-test-104.csv,484863294.333,484863655.333,prior/CMP-training-087.csv,False,True,False,False,prior_wafer_file_component
test,-4043511804,B,test:9fd0ed5ba993979a6cfd,4-5-6,test/CMP-test-104.csv,484873722.0,484874091.333,prior/CMP-training-087.csv,False,True,False,False,prior_wafer_file_component
test,-4043511570,B,test:bf41f45050aa7ffc0a41,4-5-6,test/CMP-test-106.csv,484936035.667,484936395.667,prior/CMP-training-087.csv,True,True,False,False,prior_wafer_file_component
test,-4041511816,B,test:ab2a98cd53feb4a9b68e,4-5-6,test/CMP-test-134.csv,485738228.333,485738587.0,test/CMP-test-134.csv,False,False,False,True,
