cohort,stage,model,primary,slice,n,mae,rmse,r2,negative_predictions,coverage_90,mean_interval_width
test,A,CatBoost,True,all,89,2.3131432508416157,3.0953804635289597,0.9940484005720219,0,0.9662921348314607,16.09490141342128
test,A,CatBoost,True,group_id=test/CMP-test-005.csv,1,7.053196615075748,7.053196615075748,,0,1.0,16.094901413421276
test,A,CatBoost,True,group_id=test/CMP-test-006.csv,1,5.049909921582781,5.049909921582781,,0,1.0,16.09490141342129
test,A,CatBoost,True,group_id=test/CMP-test-011.csv,2,2.7967215749698617,2.812740913862874,-0.2121200802318235,0,1.0,16.094901413421287
test,A,CatBoost,True,group_id=test/CMP-test-013.csv,1,0.3289857040840616,0.3289857040840616,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-015.csv,2,1.1539037204124725,1.1540141810216866,0.1530082718529605,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-018.csv,1,3.5827610719912,3.5827610719912,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-021.csv,2,0.6163023591641519,0.8681496943735691,0.9995056589458979,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-029.csv,3,2.7745852545417384,3.0324025730774053,0.992864327109268,0,1.0,16.09490141342128
test,A,CatBoost,True,group_id=test/CMP-test-034.csv,2,0.7094233437053461,0.7287982791815568,0.0634343698567601,0,1.0,16.094901413421294
test,A,CatBoost,True,group_id=test/CMP-test-037.csv,1,3.9787485916086354,3.9787485916086354,,0,1.0,16.094901413421276
test,A,CatBoost,True,group_id=test/CMP-test-038.csv,1,2.9315049750619124,2.9315049750619124,,0,1.0,16.094901413421276
test,A,CatBoost,True,group_id=test/CMP-test-044.csv,1,10.692348086095322,10.692348086095322,,0,0.0,16.094901413421276
test,A,CatBoost,True,group_id=test/CMP-test-047.csv,1,3.004886101447177,3.004886101447177,,0,1.0,16.09490141342129
test,A,CatBoost,True,group_id=test/CMP-test-048.csv,2,4.306548068547379,4.41555847614156,-584.0696992768538,0,1.0,16.094901413421294
test,A,CatBoost,True,group_id=test/CMP-test-050.csv,1,0.34550313809839395,0.34550313809839395,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-052.csv,1,1.6520171715496446,1.6520171715496446,,0,1.0,16.09490141342129
test,A,CatBoost,True,group_id=test/CMP-test-057.csv,2,2.8260446673478015,2.826045428140113,0.029702863249848832,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-059.csv,1,0.8004881563539641,0.8004881563539641,,0,1.0,16.094901413421283
test,A,CatBoost,True,group_id=test/CMP-test-061.csv,1,2.077880050945055,2.077880050945055,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-062.csv,1,2.642597563287751,2.642597563287751,,0,1.0,16.094901413421276
test,A,CatBoost,True,group_id=test/CMP-test-063.csv,1,1.2250740424445041,1.2250740424445041,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-068.csv,2,3.110852264811882,3.4100481454358818,-9.245095676169209,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-071.csv,1,1.2161364898512517,1.2161364898512517,,0,1.0,16.09490141342129
test,A,CatBoost,True,group_id=test/CMP-test-080.csv,4,1.3325060988014812,1.753436700234549,0.9973335524765972,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-085.csv,4,1.987358593063746,2.0826963758361265,0.9970885115239445,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-086.csv,3,2.118142637614857,2.7133472506943224,0.995461615833655,0,1.0,16.094901413421276
test,A,CatBoost,True,group_id=test/CMP-test-087.csv,1,1.7358817165693807,1.7358817165693807,,0,1.0,16.094901413421297
test,A,CatBoost,True,group_id=test/CMP-test-090.csv,1,2.06140424385471,2.06140424385471,,0,1.0,16.094901413421297
test,A,CatBoost,True,group_id=test/CMP-test-092.csv,1,0.6669323455394078,0.6669323455394078,,0,1.0,16.09490141342127
test,A,CatBoost,True,group_id=test/CMP-test-099.csv,2,1.5210606106658489,1.7801636409251858,0.40182005034191526,0,1.0,16.094901413421283
test,A,CatBoost,True,group_id=test/CMP-test-105.csv,1,0.5974023925969476,0.5974023925969476,,0,1.0,16.094901413421297
