paper,table,pdf_page,split,stage,model,metric,direction,paper_value,implemented,stored_seed0,repeat20_mean,repeat20_sd,difference,relative_change_percent,repeat_mean_change_percent,s_score_minus_one,comparability,source_url
P1,7,11,test,A,P1_GBT,r2,higher,0.97,True,0.9594859150718931,0.9608188042844154,0.002290979841051396,-0.010514084928106904,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_GBT,rmse,lower,6.552,True,7.514332123250275,7.386713005165751,0.21517992314024567,0.9623321232502757,14.68760871871606,12.73981998116227,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_GBT,relative_error,lower,0.051,True,0.05000537113293155,0.049490734146832936,0.0005354187822535365,-0.0009946288670684492,-1.9502526805263765,-2.9593448101314923,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_GBT,s_score,lower,1.674,True,7.941759060597181,7.96421322038195,0.07866404523219095,,,,6.941759060597181,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_RF,r2,higher,0.981,True,0.9553004918130152,0.9567603958064597,0.002350194816417807,-0.025699508186984743,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_RF,rmse,lower,5.395,True,7.892938914168524,7.760241647706453,0.21136298675730705,2.4979389141685244,46.3009993358392,43.841365110406926,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_RF,relative_error,lower,0.046,True,0.05804003521789704,0.05708623870937115,0.0010664724961891702,0.012040035217897038,26.173989604124003,24.100518933415536,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_RF,s_score,lower,0.512,True,4.272895933792795,3.391582130550625,0.5831991947487004,,,,3.2728959337927948,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_ERT,r2,higher,0.966,True,0.9388134191333544,0.9378777672948514,0.002122135515996413,-0.027186580866645604,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_ERT,rmse,lower,7.048,True,9.234544149338689,9.303593946092196,0.15887641545529152,2.1865441493386886,31.023611653500115,32.0033193259392,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_ERT,relative_error,lower,0.05,True,0.06361833745327386,0.06464461758637717,0.0010665322708157958,0.013618337453273857,27.23667490654771,29.289235172754324,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_ERT,s_score,lower,3.723,True,8.61530612566299,9.541344033792306,0.8075559816127629,,,,7.615306125662991,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_CART_Stack,r2,higher,0.983,True,0.939638601246868,0.9431127808518743,0.0031710251626517944,-0.04336139875313194,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_CART_Stack,rmse,lower,5.065,True,9.17206274141971,8.900813231417,0.2518019302132971,4.10706274141971,81.08712223928349,75.73175185423496,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_CART_Stack,relative_error,lower,0.047,True,0.05929583888904081,0.057183302600081774,0.0018653924455726747,0.01229583888904081,26.161359338384706,21.666601276769736,,partial_reproduction,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_CART_Stack,s_score,lower,0.479,True,36.34806716304348,29.025327201072628,9.796777497214917,,,,35.348067163043474,formula_table_ambiguity,https://doi.org/10.1115/1.4042051
P1,7,11,test,A,P1_ELM_Stack,r2,higher,0.984,True,0.9423670415632249,0.9468263553493849,0.004266187744738109,-0.04163295843677506,,,,partial_reproduction,https://doi.org/10.1115/1.4042051
