evaluation,policy,reference,n,groups,reference_mse,proposed_mse,mse_delta,mse_reduction_percent,descriptive_group_bootstrap_delta_low,descriptive_group_bootstrap_delta_high
nested_oof,completed,control,1977,54,22.428854947504465,58.465666598934526,36.03681165143006,-160.67165147652656,-2.4400937832136687,121.36859553623124
nested_oof,retrospective,control,1977,54,31.112248067864446,28.90924988360173,-2.2029981842627144,7.080806823915021,-3.916976937945626,-0.04864395992263026
nested_oof,retrospective,incumbent_refit,1977,54,36.406158288213945,28.90924988360173,-7.496908404612213,20.592418308084014,-12.654426714710532,-2.295848913350807
temporal,completed,control,166,11,12.420051911737461,12.463494235853128,0.04344232411566651,-0.3497757048391392,-0.5864689564723746,1.6544408362366003
temporal,retrospective,control,166,11,39.323954539524884,39.72571345551108,0.40175891598619273,-1.0216645825444237,-2.8834295708226825,3.101232296673913
temporal,retrospective,incumbent_refit,166,11,32.436459824110194,39.72571345551108,7.289253631400882,-22.472408120144905,-4.59048045681975,12.296536389228393
test,completed,control,424,0,9.345806829946223,9.272973705301716,-0.07283312464450731,0.7793133965826482,,
test,retrospective,control,424,0,7.727472077593047,7.827875288254085,0.10040321066103797,-1.2993021476217503,,
test,retrospective,incumbent_refit,424,0,7.074313480095856,7.827875288254085,0.7535618081582296,-10.652083912855081,,
validation,completed,control,424,0,8.995549971273991,8.762743038459913,-0.2328069328140785,2.588023339957135,,
validation,retrospective,control,424,0,7.611467318975251,7.978812212560368,0.3673448935851171,-4.826203387477368,,
validation,retrospective,incumbent_refit,424,0,6.827695951448246,7.978812212560368,1.1511162611121222,-16.859512627652308,,
