fold,model,mse,train_n,validation_n
0,P2_Persistent,12.635323706851144,520,131
0,P2_KNN,10.780442276494465,520,131
0,P2_LR,7.313192649226883,520,131
0,P2_SVR,9.513005902384062,520,131
0,P2_Bagging,7.195751487804275,520,131
1,P2_Persistent,13.22843396942748,520,131
1,P2_KNN,11.920928297515076,520,131
1,P2_LR,939.5563058891594,520,131
1,P2_SVR,9.91264269158244,520,131
1,P2_Bagging,7.273937917577334,520,131
2,P2_Persistent,13.568489223148855,520,131
2,P2_KNN,10.810381759631095,520,131
2,P2_LR,10.49517568456929,520,131
2,P2_SVR,9.562119169299207,520,131
2,P2_Bagging,7.159362627632756,520,131
3,P2_Persistent,11.661987194656488,520,131
3,P2_KNN,11.418100614590845,520,131
3,P2_LR,16.337958231165583,520,131
3,P2_SVR,7.7397069596973775,520,131
3,P2_Bagging,6.0295356220801954,520,131
4,P2_Persistent,14.367454048339692,520,131
4,P2_KNN,10.832927251032826,520,131
4,P2_LR,11.86339193013138,520,131
4,P2_SVR,10.085914385129271,520,131
4,P2_Bagging,8.152705137737271,520,131
5,P2_Persistent,13.550252762404572,520,131
5,P2_KNN,12.993896538766036,520,131
5,P2_LR,9.215073506850302,520,131
5,P2_SVR,9.83134840694685,520,131
5,P2_Bagging,8.865573407709668,520,131
6,P2_Persistent,10.508617993225187,520,131
6,P2_KNN,10.366507149652104,520,131
6,P2_LR,7.946914984223773,520,131
6,P2_SVR,7.11996523629726,520,131
6,P2_Bagging,6.348539439992612,520,131
7,P2_Persistent,11.101658171792092,520,131
7,P2_KNN,11.305401198454582,520,131
7,P2_LR,6.077452971965074,520,131
7,P2_SVR,9.020070121788486,520,131
7,P2_Bagging,6.473003672600347,520,131
8,P2_Persistent,11.3532648512977,520,131
8,P2_KNN,13.151798657692556,520,131
8,P2_LR,29.31796857687921,520,131
8,P2_SVR,10.361576906062972,520,131
8,P2_Bagging,8.05588674071233,520,131
9,P2_Persistent,15.132370671240453,520,131
9,P2_KNN,14.913300174057818,520,131
9,P2_LR,11.748574755334307,520,131
9,P2_SVR,10.001461271494081,520,131
9,P2_Bagging,8.833514294924692,520,131
10,P2_Persistent,11.710708194503818,520,131
10,P2_KNN,13.060464628225203,520,131
10,P2_LR,6.157623939391622,520,131
10,P2_SVR,6.741982578361135,520,131
10,P2_Bagging,6.405674800878885,520,131
11,P2_Persistent,12.12128434253817,520,131
11,P2_KNN,8.631810176898094,520,131
11,P2_LR,25.6122877917695,520,131
11,P2_SVR,6.595398202685186,520,131
11,P2_Bagging,5.8834627603068945,520,131
12,P2_Persistent,11.546626507900756,520,131
12,P2_KNN,12.364817146309928,520,131
12,P2_LR,341.5104468468879,520,131
12,P2_SVR,9.762993684724224,520,131
12,P2_Bagging,7.321113288220964,520,131
13,P2_Persistent,11.735854342041982,520,131
13,P2_KNN,12.095742682940832,520,131
13,P2_LR,7.22740798176036,520,131
13,P2_SVR,9.5082300674394,520,131
13,P2_Bagging,6.655239621539272,520,131
14,P2_Persistent,10.117320095095423,520,131
14,P2_KNN,8.475124976496755,520,131
14,P2_LR,8.722494289275941,520,131
14,P2_SVR,6.509630624213371,520,131
14,P2_Bagging,4.489865224346241,520,131
15,P2_Persistent,12.124146308685136,520,131
15,P2_KNN,8.719050130859545,520,131
15,P2_LR,53.96716049993106,520,131
15,P2_SVR,8.01801184451782,520,131
15,P2_Bagging,5.7025064953947995,520,131
16,P2_Persistent,10.972216979656482,520,131
16,P2_KNN,11.628131605291031,520,131
16,P2_LR,14.288114398063449,520,131
16,P2_SVR,8.993578330166695,520,131
16,P2_Bagging,5.084011647059585,520,131
17,P2_Persistent,10.492875995667935,520,131
17,P2_KNN,12.131750904650387,520,131
17,P2_LR,341.61917090847356,520,131
17,P2_SVR,6.922618931464212,520,131
17,P2_Bagging,5.815670873261937,520,131
18,P2_Persistent,11.164044427729003,520,131
18,P2_KNN,9.452087557579576,520,131
18,P2_LR,574.8341731410454,520,131
18,P2_SVR,8.3767104302804,520,131
18,P2_Bagging,6.355632566036233,520,131
19,P2_Persistent,13.719976550381679,520,131
19,P2_KNN,14.145695323720432,520,131
19,P2_LR,8.515596155375086,520,131
19,P2_SVR,9.674448601479373,520,131
19,P2_Bagging,8.701265934478018,520,131
