fold,model,mse,train_n,validation_n
0,P2_Persistent,9.403136815164551,231,58
0,P2_KNN,6.957636181207787,231,58
0,P2_LR,8.365686614692741,231,58
0,P2_SVR,7.579524611730721,231,58
0,P2_Bagging,7.77370571057689,231,58
1,P2_Persistent,11.368400127204293,231,58
1,P2_KNN,8.007292583053436,231,58
1,P2_LR,14.156244122401825,231,58
1,P2_SVR,7.2267840303298945,231,58
1,P2_Bagging,6.990566233897257,231,58
2,P2_Persistent,7.60510619922415,231,58
2,P2_KNN,4.594937108066388,231,58
2,P2_LR,6.051052930308285,231,58
2,P2_SVR,5.4488437645740735,231,58
2,P2_Bagging,5.127899278905211,231,58
3,P2_Persistent,9.037378874870708,231,58
3,P2_KNN,6.088789043701284,231,58
3,P2_LR,8.961578108200346,231,58
3,P2_SVR,6.82962834822703,231,58
3,P2_Bagging,6.291608464994102,231,58
4,P2_Persistent,14.156768646853456,231,58
4,P2_KNN,7.508589674768536,231,58
4,P2_LR,5.115514645162973,231,58
4,P2_SVR,7.694633390882889,231,58
4,P2_Bagging,6.099491506935861,231,58
5,P2_Persistent,12.102312599224142,231,58
5,P2_KNN,5.740815428837079,231,58
5,P2_LR,7.2606805366038145,231,58
5,P2_SVR,7.0680054278972655,231,58
5,P2_Bagging,5.841302708930947,231,58
6,P2_Persistent,10.334006171767244,231,58
6,P2_KNN,5.981895043494857,231,58
6,P2_LR,7.866572118310937,231,58
6,P2_SVR,6.478009219449406,231,58
6,P2_Bagging,6.285554789420533,231,58
7,P2_Persistent,8.085627541551725,231,58
7,P2_KNN,5.3618298868241485,231,58
7,P2_LR,7.505411259419002,231,58
7,P2_SVR,5.6942648953178,231,58
7,P2_Bagging,5.464505852187259,231,58
8,P2_Persistent,7.272379704139792,231,58
8,P2_KNN,5.600101868379337,231,58
8,P2_LR,4.002330262478905,231,58
8,P2_SVR,6.739668104569773,231,58
8,P2_Bagging,4.676767349873501,231,58
9,P2_Persistent,8.041083131250002,231,58
9,P2_KNN,4.473387129743551,231,58
9,P2_LR,15.224924198626722,231,58
9,P2_SVR,4.789739503670246,231,58
9,P2_Bagging,3.535929257757658,231,58
10,P2_Persistent,7.559307647456914,231,58
10,P2_KNN,6.790771319799594,231,58
10,P2_LR,6.311856440635103,231,58
10,P2_SVR,7.031777967912334,231,58
10,P2_Bagging,6.252738701997828,231,58
11,P2_Persistent,11.06899831598127,231,58
11,P2_KNN,6.4438394118323306,231,58
11,P2_LR,6.810081442828313,231,58
11,P2_SVR,7.477739069113575,231,58
11,P2_Bagging,6.104352480770918,231,58
12,P2_Persistent,10.89038811530173,231,58
12,P2_KNN,7.372026751531035,231,58
12,P2_LR,8.424944733290916,231,58
12,P2_SVR,7.964593736802496,231,58
12,P2_Bagging,7.125705903640017,231,58
13,P2_Persistent,10.366757843275872,231,58
13,P2_KNN,6.493791922836208,231,58
13,P2_LR,7.968118543552107,231,58
13,P2_SVR,7.530452934525551,231,58
13,P2_Bagging,6.028483183173384,231,58
14,P2_Persistent,10.209950194655168,231,58
14,P2_KNN,5.358518917254296,231,58
14,P2_LR,5.344914252778516,231,58
14,P2_SVR,7.149060078080063,231,58
14,P2_Bagging,5.523761123061487,231,58
15,P2_Persistent,9.19882603978448,231,58
15,P2_KNN,5.887256997491389,231,58
15,P2_LR,7.046920223928815,231,58
15,P2_SVR,6.1202020168909534,231,58
15,P2_Bagging,4.583948374177525,231,58
16,P2_Persistent,8.731830151695121,231,58
16,P2_KNN,5.198694172393968,231,58
16,P2_LR,6.2597659816094,231,58
16,P2_SVR,6.431375128728898,231,58
16,P2_Bagging,5.322466513012189,231,58
17,P2_Persistent,10.102537538534488,231,58
17,P2_KNN,8.031985405498713,231,58
17,P2_LR,8.737387446315985,231,58
17,P2_SVR,7.7726735561692575,231,58
17,P2_Bagging,6.354413561809533,231,58
18,P2_Persistent,7.647861315646557,231,58
18,P2_KNN,6.075212118738389,231,58
18,P2_LR,8.239590646216314,231,58
18,P2_SVR,5.436652909937475,231,58
18,P2_Bagging,5.47875746494151,231,58
19,P2_Persistent,9.453600159827594,231,58
19,P2_KNN,5.847604677058222,231,58
19,P2_LR,7.786157272311384,231,58
19,P2_SVR,6.221919007850864,231,58
19,P2_Bagging,7.0369457783501215,231,58
