condition,procedure,component,weight
Cond1,original,P2_Persistent,0.07179649165480505
Cond1,original,P2_KNN,0.13075470830248184
Cond1,original,P2_LR,5.372656782155549e-07
Cond1,original,P2_SVR,0.3050252860610998
Cond1,original,P2_Bagging,0.492422976715935
Cond1,no_lr,P2_Persistent,0.07179653022861657
Cond1,no_lr,P2_KNN,0.13075477855253664
Cond1,no_lr,P2_LR,0.0
Cond1,no_lr,P2_SVR,0.3050254499408051
Cond1,no_lr,P2_Bagging,0.49242324127804177
Cond1,ridge10,P2_Persistent,0.06518020340406663
Cond1,ridge10,P2_KNN,0.11870522203468674
Cond1,ridge10,P2_Ridge,0.09215385205220962
Cond1,ridge10,P2_SVR,0.27691617975480143
Cond1,ridge10,P2_Bagging,0.44704454275423555
Cond2,original,P2_Persistent,0.07186185402676508
Cond2,original,P2_KNN,0.042335064917304245
Cond2,original,P2_LR,1.1077840541401753e-08
Cond2,original,P2_SVR,0.20537081982499544
Cond2,original,P2_Bagging,0.6804322501530946
Cond2,no_lr,P2_Persistent,0.07186185482283926
Cond2,no_lr,P2_KNN,0.042335065386285356
Cond2,no_lr,P2_LR,0.0
Cond2,no_lr,P2_SVR,0.2053708221000607
Cond2,no_lr,P2_Bagging,0.6804322576908147
Cond2,ridge10,P2_Persistent,0.07186185236406935
Cond2,ridge10,P2_KNN,0.042335063937781345
Cond2,ridge10,P2_Ridge,3.4215230138301786e-08
Cond2,ridge10,P2_SVR,0.20537081507325072
Cond2,ridge10,P2_Bagging,0.6804322344096685
Cond3,original,P2_Persistent,0.08775399394173729
Cond3,original,P2_KNN,0.28012999175393116
Cond3,original,P2_LR,0.018389854226465715
Cond3,original,P2_SVR,0.3537117055029965
Cond3,original,P2_Bagging,0.26001445457486944
Cond3,no_lr,P2_Persistent,0.08939801031965175
Cond3,no_lr,P2_KNN,0.28537805253956644
Cond3,no_lr,P2_LR,0.0
Cond3,no_lr,P2_SVR,0.3603382738309642
Cond3,no_lr,P2_Bagging,0.2648856633098176
Cond3,ridge10,P2_Persistent,0.07752503642240836
Cond3,ridge10,P2_KNN,0.24747691630025573
Cond3,ridge10,P2_Ridge,0.13281027010322
Cond3,ridge10,P2_SVR,0.31248165035494585
Cond3,ridge10,P2_Bagging,0.2297061268191702
