condition,feature_1,feature_2,correlation,coefficient_1,coefficient_2
Cond1,p2_primary_USAGE_OF_BACKING_FILM_mean,p2_primary_USAGE_OF_MEMBRANE_mean,0.9999999999998909,642.0772888585433,636.9148493504008
Cond1,p2_primary_USAGE_OF_BACKING_FILM_mean,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,0.9999999999998678,642.0772888585433,633.850054720737
Cond1,p2_primary_USAGE_OF_BACKING_FILM_mean,p2_secondary_USAGE_OF_BACKING_FILM_mean,0.9999998280167851,642.0772888585433,-679.7410897494934
Cond1,p2_primary_USAGE_OF_BACKING_FILM_mean,p2_secondary_USAGE_OF_MEMBRANE_mean,0.9999998279771453,642.0772888585433,-679.355739324208
Cond1,p2_primary_USAGE_OF_BACKING_FILM_mean,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.9999998279690895,642.0772888585433,-553.7184502757832
Cond1,p2_primary_USAGE_OF_BACKING_FILM_std,p2_primary_USAGE_OF_MEMBRANE_std,0.9999198909881001,100.56829327781132,-31.070926396308913
Cond1,p2_primary_USAGE_OF_BACKING_FILM_std,p2_primary_USAGE_OF_PRESSURIZED_SHEET_std,0.9999079723208268,100.56829327781132,-70.34078315272612
Cond1,p2_primary_USAGE_OF_DRESSER_TABLE_mean,p2_secondary_USAGE_OF_DRESSER_TABLE_mean,0.999924988791354,-379.3656070669564,379.08139427609564
Cond1,p2_primary_USAGE_OF_MEMBRANE_decreasing,p2_primary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.999960919078715,-0.29383691422324,-65.38864251770958
Cond1,p2_primary_USAGE_OF_MEMBRANE_mean,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,0.9999999999999758,636.9148493504008,633.850054720737
Cond1,p2_primary_USAGE_OF_MEMBRANE_mean,p2_secondary_USAGE_OF_BACKING_FILM_mean,0.9999998280182013,636.9148493504008,-679.7410897494934
Cond1,p2_primary_USAGE_OF_MEMBRANE_mean,p2_secondary_USAGE_OF_MEMBRANE_mean,0.9999998279785672,636.9148493504008,-679.355739324208
Cond1,p2_primary_USAGE_OF_MEMBRANE_mean,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.9999998279705072,636.9148493504008,-553.7184502757832
Cond1,p2_primary_USAGE_OF_MEMBRANE_std,p2_primary_USAGE_OF_PRESSURIZED_SHEET_std,0.9999802058753215,-31.070926396308913,-70.34078315272612
Cond1,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,p2_secondary_USAGE_OF_BACKING_FILM_mean,0.9999998280189221,633.850054720737,-679.7410897494934
Cond1,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,p2_secondary_USAGE_OF_MEMBRANE_mean,0.9999998279792847,633.850054720737,-679.355739324208
Cond1,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.9999998279712243,633.850054720737,-553.7184502757832
Cond1,p2_secondary_USAGE_OF_BACKING_FILM_decreasing,p2_secondary_USAGE_OF_MEMBRANE_decreasing,0.9999988979566358,-1568.0585108211765,5353.7479056136635
Cond1,p2_secondary_USAGE_OF_BACKING_FILM_decreasing,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.9999986612442746,-1568.0585108211765,-3785.403447797066
Cond1,p2_secondary_USAGE_OF_BACKING_FILM_mean,p2_secondary_USAGE_OF_MEMBRANE_mean,0.9999999999998664,-679.7410897494934,-679.355739324208
Cond1,p2_secondary_USAGE_OF_BACKING_FILM_mean,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,0.9999999999998263,-679.7410897494934,-553.7184502757832
Cond1,p2_secondary_USAGE_OF_BACKING_FILM_std,p2_secondary_USAGE_OF_MEMBRANE_std,0.9999989732958976,-1621.5137446157903,5504.176349957736
Cond1,p2_secondary_USAGE_OF_BACKING_FILM_std,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_std,0.9999987594396507,-1621.5137446157903,-3882.398097249113
Cond1,p2_secondary_USAGE_OF_MEMBRANE_decreasing,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.999999828529238,5353.7479056136635,-3785.403447797066
