partition,sample_id,WAFER_ID,STAGE,condition,truth,P2_Persistent,P2_KNN,P2_LR,P2_SVR,P2_Bagging,P2_Ridge,original,no_lr,ridge10,error,squared_error,lr_removal_delta,original_lr_weighted_contribution,history_lag_count,history_neighbor_count,references_not_completed,nearest_usage_distance,input_outside_train_range_count,max_abs_standardized_input,sum_absolute_linear_contributions,truth_outside_non_lr_prediction_range,min_non_lr_prediction,max_non_lr_prediction,qc_primary_missing,qc_primary_episodes,qc_primary_fallback,qc_primary_ambiguous,qc_primary_span,qc_primary_max_gap,qc_primary_phase_duration,qc_secondary_missing,qc_secondary_episodes,qc_secondary_fallback,qc_secondary_ambiguous,qc_secondary_span,qc_secondary_max_gap,qc_secondary_phase_duration
validation,02e436eb18826107a8a1,-4230160594,A,Cond1,70.63515,74.21805,72.08148,73.17296254757889,75.59854206237236,73.76178298321645,72.9970367128757,74.1350914750409,74.13509199196004,74.03021581414406,3.499941475040899,12.249590328711463,5.169191439335918e-07,3.931332135016637e-05,11,10,2,8.614540517125082,0,1.997798809355748,39157.37969120575,True,72.08148,75.59854206237236,False,3,False,False,182.66600000858307,2.3330000042915344,70.0,False,0,True,True,155.33399999141693,5.333000004291534,155.33399999141693
validation,828c5c6d5d8c61cb58e1,-4230160432,A,Cond1,78.20145,79.18275,77.8299,77.74074184233058,77.76387103913876,77.84231427540587,77.82685765087948,77.91300240760769,77.91300250015745,77.90506392046201,-0.288447592392302,0.0832020135569156,9.254975452677172e-08,4.1767432390900105e-05,11,10,5,8.65516809626924,0,1.975439491810876,17575.46328715101,False,77.76387103913876,79.18275,False,3,False,False,184.66699999570847,3.0,70.0,False,3,False,False,159.33300000429153,3.0,68.33300000429153
validation,d7ab3019b08390a6cfca,-4230160404,A,Cond1,76.6458,75.2973,72.204555,77.57287471064555,73.93108170657779,74.71770337864537,74.90251394408705,74.19077243290425,74.19077061581582,74.25636050518847,-2.4550275670957404,6.027160355200031,-1.8170884317214586e-06,4.167724314254525e-05,11,10,2,8.284460163839395,0,2.259304596576426,8652.949133403235,True,72.204555,75.2973,False,2,False,False,174.66699999570847,5.333000004291534,73.0,False,2,False,False,160.0,7.333999991416931,70.0
validation,e43846f3cc235cde6504,-4228160698,A,Cond1,61.86225,69.8253,62.848440000000004,63.275299362821784,62.943762005866205,64.88240806905385,63.24128314288522,64.38000253331954,64.38000312683897,64.2750656939088,2.5177525333195376,6.33907781903695,5.935194309358849e-07,3.399564662645871e-05,11,10,9,8.996591807800236,0,2.25588761401643,20123.765049662677,True,62.848440000000004,69.8253,False,3,False,False,187.66600000858307,2.6669999957084656,71.0,False,3,False,False,159.0,5.666999995708466,70.33399999141693
validation,d11f8b621634b39d02a1,-4228160694,A,Cond1,66.97635,68.5827,69.45220500000002,68.42610225419742,68.25204581604237,68.23629835581502,68.27619382952453,68.42495777269012,68.42495777207523,68.41124860172272,1.4486077726901243,2.0984644790982427,-6.148894726720755e-10,3.6762996235248286e-05,11,10,8,8.914115277220954,0,1.5605055671604557,39208.51426337581,True,68.23629835581502,69.45220500000002,False,3,False,False,188.33399999141693,3.0,69.66600000858307,False,0,True,True,157.0,5.0,157.0
validation,6e95618ca6713de474ae,-4228160608,A,Cond1,58.9665,60.6567,61.575480000000006,62.29169688498757,64.03745783707521,61.50293711444046,61.051522381033315,62.224758914579304,62.22475887861582,62.116640615995344,3.258258914579301,10.616251154435483,-3.596348108203529e-08,3.346719077411062e-05,11,10,5,9.118204882669403,1,4.260654080489879,11573.41254107153,True,60.6567,64.03745783707521,False,1,False,True,177.0,5.0,18.0,False,3,False,True,159.33300000429153,5.333999991416931,36.0
validation,ba895590c5a78614f6a7,-4226160408,A,Cond1,61.63875,60.3432,60.301424999999995,59.57728296567825,60.830175589552944,61.24224371002723,60.23014351040298,60.928986958957225,60.928987685181795,60.86458650249167,-0.7097630410427769,0.5037635744302906,7.262245702577275e-07,3.200882933879515e-05,11,10,10,8.597663315822986,0,2.2235580551715763,24266.244349765846,True,60.301424999999995,61.24224371002723,False,3,False,False,188.33399999141693,3.0,72.0,False,3,False,False,156.66600000858307,3.333999991416931,69.66600000858307
validation,53eaf315e45adf6673c7,-4224160702,A,Cond1,62.80485,58.27905,59.152665,57.3174682932646,60.01908094592054,57.38104787488454,58.51117870611999,58.481835315356804,58.48183594093159,58.48453998977356,-4.323014684643198,18.688455963640727,6.255747848626925e-07,3.0794708476179365e-05,4,10,6,59.36912057340765,0,2.6137641120312227,21944.37404151981,True,57.38104787488454,60.01908094592054,False,3,False,False,191.0,5.666000008583069,68.0,False,3,False,False,157.66600000858307,3.666000008583069,71.66600000858307
validation,a746eb4532a8496fa3fc,-4220160584,A,Cond1,63.2103,56.5359,68.67761999999999,65.96147859366226,66.79081116143453,64.54517039222893,66.3947074428342,65.19544809934219,65.19544768778009,65.3059640938195,1.9851480993421902,3.94081297632191,-4.1156209817927447e-07,3.5438838532724764e-05,11,10,10,9.059473653400088,2,2.955532897263189,18365.84348907065,False,56.5359,68.67761999999999,False,3,False,False,192.66699999570847,6.0,70.33300000429153,False,3,False,False,159.0,3.6669999957084656,71.33300000429153
validation,4dabe82281322dd9ae8d,-4216160654,A,Cond1,57.2316,59.3889,62.929619999999986,61.0363937494368,61.75466453278149,59.352951124046776,61.34857562602597,60.555782646781005,60.55578238856502,60.62884133927799,3.3241826467810043,11.050190269159962,-2.5821598370612264e-07,3.2792759483622816e-05,11,10,2,9.26868281817579,0,2.631036819957284,37595.76276963213,True,59.352951124046776,62.929619999999986,False,3,False,True,178.0,3.0,31.333000004291534,False,0,True,True,156.33399999141693,5.333000004291534,156.33399999141693
validation,92bdd2e8a69face6d0b7,-4216160646,A,Cond1,62.03355,65.35665,63.25387500000001,65.39122859538418,63.234593163249095,64.66461559622284,65.31973084620788,64.09364765206149,64.09364695491543,64.20663530843717,2.0600976520614935,4.244002336029278,-6.971460635440963e-07,3.5132462780647464e-05,11,10,4,20.511948453868335,0,2.555869120454089,37678.53930930782,True,63.234593163249095,65.35665,False,2,False,True,178.33300000429153,2.3330000042915344,29.333000004291534,False,0,True,True,156.0,3.3330000042915344,156.0
validation,e2982b1b4c3f002e6329,-4141512100,A,Cond1,76.36305,80.2428,78.52401,79.22502207752427,77.85408679551578,77.83886294176128,78.56909619341765,78.10568779752823,78.10568719614804,78.14839212032209,1.7426377975282321,3.0367864933740476,-6.013801936433083e-07,4.2564885218123386e-05,11,10,0,52.5056028400432,0,3.9269991770196055,23912.792687665227,True,77.83886294176128,80.2428,False,3,False,False,182.0,6.333999991416931,70.0,False,2,False,True,159.0,6.0,24.0
validation,7f6a8a463044f8bedd3d,-4113511822,A,Cond1,60.8172,58.27905,59.152665,57.10732910552258,58.5158569377098,56.399993327921635,56.359722826571115,57.54022006900166,57.540220301579254,57.431432911919345,-3.276979930998337,10.738597468165866,2.3257759096395603e-07,3.0681807902957485e-05,4,10,6,53.14110058573387,1,3.1678183543220664,23300.681144187103,True,56.399993327921635,59.152665,False,3,False,False,200.0,2.666000008583069,71.66600000858307,False,3,False,False,161.0,5.333000004291534,71.0
