partition,sample_id,WAFER_ID,STAGE,condition,truth,P2_Persistent,P2_KNN,P2_LR,P2_SVR,P2_Bagging,P2_Ridge,original,no_lr,ridge10,error,squared_error,lr_removal_delta,original_lr_weighted_contribution,history_lag_count,history_neighbor_count,references_not_completed,nearest_usage_distance,input_outside_train_range_count,max_abs_standardized_input,sum_absolute_linear_contributions,truth_outside_non_lr_prediction_range,min_non_lr_prediction,max_non_lr_prediction,qc_primary_missing,qc_primary_episodes,qc_primary_fallback,qc_primary_ambiguous,qc_primary_span,qc_primary_max_gap,qc_primary_phase_duration,qc_secondary_missing,qc_secondary_episodes,qc_secondary_fallback,qc_secondary_ambiguous,qc_secondary_span,qc_secondary_max_gap,qc_secondary_phase_duration
test,7d28fc108c3d1fcb0fdc,4217773710,A,Cond1,56.61465,70.0587,68.577735,70.33113527791909,69.42161225957152,68.93341656993108,70.6515998048771,69.11661371323505,69.11661306071397,69.25806800203767,12.501963713235057,156.29909668704607,-6.525210807240001e-07,3.7786505094761135e-05,11,10,7,182.93311295935638,0,2.8801213223419664,39457.77132625546,True,68.577735,70.0587,False,2,False,True,174.0,4.0,32.33399999141693,False,0,True,True,157.66600000858307,4.0,157.66600000858307
test,f87bd15cfe0b9c9d8415,-4220160674,B,Cond2,97.10985,79.9785,81.16962,102.48026708148754,81.93375703546346,86.36574552158442,91.35646096205788,84.77656697466897,84.7765667785502,84.7765670036828,-12.333283025331028,152.10987018291846,-1.9611876211911294e-07,1.1352600573689822e-06,11,10,3,33.45890737914974,0,10.37638797408881,12885.587693106394,True,79.9785,86.36574552158442,False,1,False,False,131.66600000858307,3.0,66.0,False,0,True,True,157.33399999141693,2.666000008583069,157.33399999141693
test,98cba2b96f73f2b35fd6,-4033511552,A,Cond1,62.7504,74.54235,73.69046999999999,75.33803600308698,74.69986542145972,73.93139643063033,75.63468632292543,74.1781617178116,74.17816109465063,74.31238550504737,11.427761717811606,130.59373787908046,-6.231609717133324e-07,4.047654100862642e-05,11,10,8,260.89988205585155,0,5.0942222565436595,36318.32366513708,True,73.69046999999999,74.69986542145972,False,2,False,False,167.66600000858307,3.0,70.66600000858307,False,0,True,True,156.33399999141693,5.0,156.33399999141693
test,ab96c5ed8e6752b4b9c8,1840207032,A,Cond3,163.79715,153.1476,151.78516499999998,152.9358604035709,153.0279919959587,152.66930033519492,152.9582901525437,152.59537565680355,152.58899688730287,152.63804282560682,-11.201774343196433,125.47974843589388,-0.006378769500685166,2.812468178820779,11,10,2,221.46311890264738,0,1.0910967096962922,53271.878200930594,True,151.78516499999998,153.1476,False,0,True,True,127.66699999570847,2.6669999957084656,127.66699999570847,False,0,True,True,127.66699999570847,3.0,127.66699999570847
test,d2ba0a012398f74e2ef8,1296253542,B,Cond2,72.94125,84.9201,80.77386,79.49035591294535,82.239003799893,81.31413520406723,79.30378075787428,81.74033493557239,81.74033496049731,81.74033487713005,8.799084935572395,77.42389570341706,2.4924915464907826e-08,8.805814873828806e-07,11,10,7,8.371201376347537,0,4.917703556820101,4209.72916541287,True,80.77386,84.9201,False,0,True,True,176.0,5.333999991416931,176.0,False,3,False,False,157.0,4.0,70.66600000858307
test,a46bebf8e9f512a996be,-1183530650,A,Cond3,154.6929,146.95845,147.03762,145.8300543629859,145.39004966879352,146.9637533147657,145.4754015701238,146.40649424260644,146.41729348444616,146.29220056489697,-8.286405757393567,68.66452037616526,0.010799241839720253,2.6817934415728812,11,10,0,1.1952141168903831,0,2.012001050141476,88295.26321371945,True,145.39004966879352,147.03762,False,0,True,True,152.0,5.666999995708466,152.0,False,1,False,False,132.0,3.333999991416931,50.0
test,2bee269ffc1783adc8f9,-1720100456,B,Cond2,78.12615,86.41125,86.20223999999999,84.38729868981645,87.20847027628187,85.79471636417752,85.79732820717352,86.14661793826397,86.14661795775345,86.14661794580242,8.020467938263977,64.3279059487204,1.9489476699163788e-08,9.348290386054277e-07,11,10,7,54.81190981434094,0,1.5974014922514437,4705.968514798691,True,85.79471636417752,87.20847027628187,False,3,False,False,186.66699999570847,5.666000008583069,70.0,False,0,True,True,156.0,3.3330000042915344,156.0
test,566de29f17b444f9d704,3625681344,B,Cond2,93.8781,88.63455,84.144975,89.03753560295092,81.49794129040667,87.24721780682296,86.70733012393161,86.03484680801543,86.03484677475213,86.0348467977613,-7.843253191984573,61.516620633576196,-3.3263304999309184e-08,9.863436216088718e-07,11,10,6,29.373734811014895,3,4.29431264588914,4834.372444917177,True,81.49794129040667,88.63455,False,2,False,True,170.0,2.6669999957084656,32.666999995708466,False,3,False,False,156.66600000858307,4.0,68.66600000858307
test,921e4c621638d9799d22,1854206904,A,Cond3,162.2781,155.33235,154.18768500000002,156.04015371702312,154.1253586418336,155.3094374546828,155.97441847173047,154.59182684536802,154.56469334419475,154.7519193191541,-7.6862731546319765,59.07879500761619,-0.027133501173267405,2.8695556803313576,11,10,7,182.1707078631116,0,2.7218408663452047,55796.20897039371,True,154.1253586418336,155.33235,False,0,True,True,139.0,3.333999991416931,139.0,False,0,True,True,130.33399999141693,7.333000004291534,130.33399999141693
test,e441cea6e33ad005e714,4229773718,B,Cond2,73.46535,64.75125,68.87019000000001,65.42165025974813,69.5980960683727,65.81907942428846,67.66375889060745,66.6476119282926,66.64761194187362,66.64761197664131,-6.817738071707396,46.48155241440848,1.3581015423369536e-08,7.247306095328444e-07,11,10,4,49.982880731944455,0,2.5010132921901316,9309.969630847067,True,64.75125,69.5980960683727,False,3,False,False,210.0,5.666999995708466,67.0,False,0,True,True,161.0,3.6669999957084656,161.0
