v4_model,paper,paper_benchmark,metric,paper_value,v4_value,numerical_change_pct,interpretation
full125_rf,P1,RF Stage A,A_rmse,5.395,2.995698870598479,-44.47268080447675,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_rf,P1,RF Stage B,B_rmse,4.598,3.086190261638878,-32.87972462725364,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_rf,P1,ELM Stage A,A_rmse,4.795,2.995698870598479,-37.52452824612139,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_rf,P1,ELM Stage B,B_rmse,4.485,3.086190261638878,-31.188622928899047,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_rf,P2,Bagging,all_mse,7.22,9.215642621978853,27.640479528792984,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_rf,P2,Integrated,all_mse,7.07,9.215642621978853,30.348551937466084,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_rf,P3,RF,all_mse,7.6,9.215642621978853,21.25845555235333,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_rf,P3,RF+CPP,all_mse,7.4,9.215642621978853,24.535711107822333,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_bag,P1,RF Stage A,A_rmse,5.395,3.0093303795330293,-44.22001150077796,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_bag,P1,RF Stage B,B_rmse,4.598,3.0945970818601274,-32.696888171811054,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_bag,P1,ELM Stage A,A_rmse,4.795,3.0093303795330293,-37.24024234550512,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_bag,P1,ELM Stage B,B_rmse,4.485,3.0945970818601274,-31.001179891635967,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_bag,P2,Bagging,all_mse,7.22,9.284385107833913,28.592591521245335,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_bag,P2,Integrated,all_mse,7.07,9.284385107833913,31.320864325797903,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_bag,P3,RF,all_mse,7.6,9.284385107833913,22.162961945183078,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
full125_bag,P3,RF+CPP,all_mse,7.4,9.284385107833913,25.464663619377205,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_rf,P1,RF Stage A,A_rmse,5.395,2.9857341822839976,-44.65738309019467,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_rf,P1,RF Stage B,B_rmse,4.598,3.0505688675885634,-33.65443959137531,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_rf,P1,ELM Stage A,A_rmse,4.795,2.9857341822839976,-37.73234239240881,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_rf,P1,ELM Stage B,B_rmse,4.485,3.0505688675885634,-31.982856909953995,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_rf,P2,Bagging,all_mse,7.22,9.086290910106534,25.848904572112662,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_rf,P2,Integrated,all_mse,7.07,9.086290910106534,28.518966196697782,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_rf,P3,RF,all_mse,7.6,9.086290910106534,19.556459343507026,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_rf,P3,RF+CPP,all_mse,7.4,9.086290910106534,22.787715001439636,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_bag,P1,RF Stage A,A_rmse,5.395,2.9955341498388353,-44.475734015962274,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
