paper,paper_feature_id,implementation_column,definition
P1,F1,p1_F01_moment3_x7,moment3(USAGE_OF_BACKING_FILM)
P1,F2,p1_F02_moment3_x9,moment3(USAGE_OF_POLISHING_TABLE)
P1,F3,p1_F03_moment3_x10,moment3(USAGE_OF_DRESSER_TABLE)
P1,F4,p1_F04_moment3_x15,moment3(RIPPLE_AIR_BAG_PRESSURE)
P1,F5,p1_F05_moment3_x17,moment3(USAGE_OF_PRESSURIZED_SHEET)
P1,F6,p1_F06_moment3_x18,moment3(SLURRY_FLOW_LINE_A)
P1,F7,p1_F07_moment3_x23,moment3(HEAD_ROTATION)
P1,F8,p1_F08_moment3_x25,moment3(EDGE_AIR_BAG_PRESSURE)
P1,F9,p1_F09_skew_x7,skew(USAGE_OF_BACKING_FILM)
P1,F10,p1_F10_skew_x8,skew(USAGE_OF_DRESSER)
P1,F11,p1_F11_skew_x10,skew(USAGE_OF_DRESSER_TABLE)
P1,F12,p1_F12_skew_x12,skew(MAIN_OUTER_AIR_BAG_PRESSURE)
P1,F13,p1_F13_skew_x14,skew(RETAINER_RING_PRESSURE)
P1,F14,p1_F14_skew_x15,skew(RIPPLE_AIR_BAG_PRESSURE)
P1,F15,p1_F15_skew_x16,skew(USAGE_OF_MEMBRANE)
P1,F16,p1_F16_skew_x19,skew(SLURRY_FLOW_LINE_B)
P1,F17,p1_F17_skew_x20,skew(SLURRY_FLOW_LINE_C)
P1,F18,p1_F18_skew_x25,skew(EDGE_AIR_BAG_PRESSURE)
P1,F19,p1_F19_std_x7,std(USAGE_OF_BACKING_FILM)
P1,F20,p1_F20_std_x8,std(USAGE_OF_DRESSER)
P1,F21,p1_F21_std_x9,std(USAGE_OF_POLISHING_TABLE)
P1,F22,p1_F22_std_x10,std(USAGE_OF_DRESSER_TABLE)
P1,F23,p1_F23_std_x11,std(PRESSURIZED_CHAMBER_PRESSURE)
P1,F24,p1_F24_std_x12,std(MAIN_OUTER_AIR_BAG_PRESSURE)
P1,F25,p1_F25_std_x14,std(RETAINER_RING_PRESSURE)
P1,F26,p1_F26_std_x16,std(USAGE_OF_MEMBRANE)
P1,F27,p1_F27_std_x19,std(SLURRY_FLOW_LINE_B)
P1,F28,p1_F28_std_x21,std(WAFER_ROTATION)
P1,F29,p1_F29_std_x25,std(EDGE_AIR_BAG_PRESSURE)
P1,F30,p1_F30_kurtosis_x7,kurtosis(USAGE_OF_BACKING_FILM)
P1,F31,p1_F31_kurtosis_x12,kurtosis(MAIN_OUTER_AIR_BAG_PRESSURE)
P1,F32,p1_F32_kurtosis_x22,kurtosis(STAGE_ROTATION)
P1,F33,p1_F33_kurtosis_x23,kurtosis(HEAD_ROTATION)
P1,F34,p1_F34_kurtosis_x24,kurtosis(DRESSING_WATER_STATUS)
P1,F35,p1_F35_kurtosis_x25,kurtosis(EDGE_AIR_BAG_PRESSURE)
P2,1,lag_1,lag_1
P2,2,lag_2,lag_2
P2,3,lag_3,lag_3
P2,4,lag_4,lag_4
P2,5,lag_5,lag_5
P2,6,lag_6,lag_6
P2,7,lag_7,lag_7
P2,8,lag_8,lag_8
P2,9,lag_9,lag_9
P2,10,lag_10,lag_10
P2,11,lag_11,lag_11
P2,12,neighbor_1,neighbor_1
P2,13,neighbor_2,neighbor_2
P2,14,neighbor_3,neighbor_3
P2,15,neighbor_4,neighbor_4
P2,16,neighbor_5,neighbor_5
P2,17,neighbor_6,neighbor_6
P2,18,neighbor_7,neighbor_7
P2,19,neighbor_8,neighbor_8
P2,20,neighbor_9,neighbor_9
P2,21,neighbor_10,neighbor_10
P2,22,p2_primary_duration,p2_primary_duration
P2,23,p2_secondary_duration,p2_secondary_duration
P2,24,p2_primary_USAGE_OF_BACKING_FILM_mean,p2_primary_USAGE_OF_BACKING_FILM_mean
P2,25,p2_primary_USAGE_OF_DRESSER_mean,p2_primary_USAGE_OF_DRESSER_mean
P2,26,p2_primary_USAGE_OF_POLISHING_TABLE_mean,p2_primary_USAGE_OF_POLISHING_TABLE_mean
P2,27,p2_primary_USAGE_OF_DRESSER_TABLE_mean,p2_primary_USAGE_OF_DRESSER_TABLE_mean
P2,28,p2_primary_USAGE_OF_MEMBRANE_mean,p2_primary_USAGE_OF_MEMBRANE_mean
P2,29,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean
P2,30,p2_secondary_USAGE_OF_BACKING_FILM_mean,p2_secondary_USAGE_OF_BACKING_FILM_mean
P2,31,p2_secondary_USAGE_OF_DRESSER_mean,p2_secondary_USAGE_OF_DRESSER_mean
P2,32,p2_secondary_USAGE_OF_POLISHING_TABLE_mean,p2_secondary_USAGE_OF_POLISHING_TABLE_mean
P2,33,p2_secondary_USAGE_OF_DRESSER_TABLE_mean,p2_secondary_USAGE_OF_DRESSER_TABLE_mean
P2,34,p2_secondary_USAGE_OF_MEMBRANE_mean,p2_secondary_USAGE_OF_MEMBRANE_mean
