fold,model,mse,train_n,validation_n
0,P2_Persistent,9.988195306814836,188,28
0,P2_KNN,7.0144034037509195,188,28
0,P2_LR,18.620683337772988,188,28
0,P2_SVR,7.493121511860039,188,28
0,P2_Bagging,8.794689085592024,188,28
1,P2_Persistent,12.842313805263135,159,57
1,P2_KNN,11.447756829094711,159,57
1,P2_LR,32.702192465760334,159,57
1,P2_SVR,11.77563774383619,159,57
1,P2_Bagging,9.18359969490207,159,57
2,P2_Persistent,10.063217885062498,176,40
2,P2_KNN,16.542526013707477,176,40
2,P2_LR,67.47026683722888,176,40
2,P2_SVR,11.495738202085075,176,40
2,P2_Bagging,10.742673754077694,176,40
3,P2_Persistent,13.968265312058806,199,17
3,P2_KNN,22.023527759404374,199,17
3,P2_LR,16.83176569356282,199,17
3,P2_SVR,15.419933867160026,199,17
3,P2_Bagging,12.030014449562179,199,17
4,P2_Persistent,9.077652891195658,193,23
4,P2_KNN,16.340101911459747,193,23
4,P2_LR,13.817912505332199,193,23
4,P2_SVR,8.596849399479526,193,23
4,P2_Bagging,9.407158182700618,193,23
5,P2_Persistent,5.526654921477269,150,66
5,P2_KNN,14.999267755796597,150,66
5,P2_LR,528.6842658925227,150,66
5,P2_SVR,7.302619541464955,150,66
5,P2_Bagging,8.744713338250616,150,66
6,P2_Persistent,10.094021369021755,193,23
6,P2_KNN,7.711928057758675,193,23
6,P2_LR,10.909332853670962,193,23
6,P2_SVR,11.511450015061499,193,23
6,P2_Bagging,8.041864796032165,193,23
7,P2_Persistent,13.19792566842391,170,46
7,P2_KNN,12.775774657817943,170,46
7,P2_LR,13.108548649857534,170,46
7,P2_SVR,13.336899315776677,170,46
7,P2_Bagging,12.159521265133183,170,46
8,P2_Persistent,12.226852707256088,134,82
8,P2_KNN,12.952671607237487,134,82
8,P2_LR,305.8715834019379,134,82
8,P2_SVR,11.874913335344424,134,82
8,P2_Bagging,10.242864263167343,134,82
9,P2_Persistent,9.697404419476747,173,43
9,P2_KNN,12.581857311776178,173,43
9,P2_LR,17.060133632936086,173,43
9,P2_SVR,13.441529612970527,173,43
9,P2_Bagging,10.593727376691477,173,43
10,P2_Persistent,25.788047587159056,194,22
10,P2_KNN,9.000540318098887,194,22
10,P2_LR,18.87552927181312,194,22
10,P2_SVR,14.411060125533426,194,22
10,P2_Bagging,13.427281243373914,194,22
11,P2_Persistent,14.81284871539769,172,44
11,P2_KNN,20.13513590335394,172,44
11,P2_LR,10.180004995824255,172,44
11,P2_SVR,10.772321395377876,172,44
11,P2_Bagging,10.079441326331926,172,44
12,P2_Persistent,19.075586867704942,155,61
12,P2_KNN,15.319491564408214,155,61
12,P2_LR,230.7100125756349,155,61
12,P2_SVR,17.566725670592636,155,61
12,P2_Bagging,18.38968601484862,155,61
13,P2_Persistent,19.51580725532609,147,69
13,P2_KNN,15.291799540020655,147,69
13,P2_LR,2159.6403198988287,147,69
13,P2_SVR,18.520320940525025,147,69
13,P2_Bagging,16.568166090135737,147,69
14,P2_Persistent,7.290220528770491,155,61
14,P2_KNN,17.834397489413117,155,61
14,P2_LR,511.7506971397978,155,61
14,P2_SVR,10.06785882362231,155,61
14,P2_Bagging,7.829888627929124,155,61
15,P2_Persistent,6.3153631641477315,128,88
15,P2_KNN,15.601648316282411,128,88
15,P2_LR,9036.732910335033,128,88
15,P2_SVR,11.370537307469222,128,88
15,P2_Bagging,12.241828912027954,128,88
16,P2_Persistent,10.357205719736855,197,19
16,P2_KNN,13.91248345947629,197,19
16,P2_LR,11.025077412116643,197,19
16,P2_SVR,9.884324923334635,197,19
16,P2_Bagging,11.936766397328514,197,19
17,P2_Persistent,9.047545610454547,183,33
17,P2_KNN,9.89640432322502,183,33
17,P2_LR,12.913305908842489,183,33
17,P2_SVR,9.784636629488926,183,33
17,P2_Bagging,9.033671891208723,183,33
18,P2_Persistent,8.579618671683676,167,49
18,P2_KNN,11.196951687050536,167,49
18,P2_LR,15.607174906801399,167,49
18,P2_SVR,10.9265849904631,167,49
18,P2_Bagging,9.596172306789425,167,49
19,P2_Persistent,13.801029226153874,138,78
19,P2_KNN,11.456977719167307,138,78
19,P2_LR,5055.252416589733,138,78
19,P2_SVR,12.98002065383893,138,78
19,P2_Bagging,12.631835130000571,138,78
