fold,model,mse,train_n,validation_n
0,P2_Persistent,22.971820090996935,652,163
0,P2_KNN,23.988643227933135,652,163
0,P2_LR,10.16429012524194,652,163
0,P2_SVR,13.062989084683625,652,163
0,P2_Bagging,10.05388252447327,652,163
1,P2_Persistent,18.39172039932726,652,163
1,P2_KNN,20.538597229015036,652,163
1,P2_LR,9.789573965212371,652,163
1,P2_SVR,12.581028106568626,652,163
1,P2_Bagging,9.770009070894949,652,163
2,P2_Persistent,20.421411119447857,652,163
2,P2_KNN,19.67460917222899,652,163
2,P2_LR,15.873599963800052,652,163
2,P2_SVR,12.83212556251561,652,163
2,P2_Bagging,10.786254296752876,652,163
3,P2_Persistent,22.940388656759577,652,163
3,P2_KNN,26.60407553420199,652,163
3,P2_LR,14.669679460514295,652,163
3,P2_SVR,10.916584563023509,652,163
3,P2_Bagging,9.967553366914611,652,163
4,P2_Persistent,25.456230410107356,652,163
4,P2_KNN,28.01027970269586,652,163
4,P2_LR,924.5996812996407,652,163
4,P2_SVR,18.42199204880854,652,163
4,P2_Bagging,12.161782066664967,652,163
5,P2_Persistent,18.307479083900535,652,163
5,P2_KNN,23.70091274418726,652,163
5,P2_LR,35.71977377344788,652,163
5,P2_SVR,14.373868956752743,652,163
5,P2_Bagging,9.435919002942331,652,163
6,P2_Persistent,18.089887269202446,652,163
6,P2_KNN,20.29622199256518,652,163
6,P2_LR,11.714061290979233,652,163
6,P2_SVR,9.990797369625621,652,163
6,P2_Bagging,7.718932349059042,652,163
7,P2_Persistent,23.461018650552138,652,163
7,P2_KNN,25.382407632755523,652,163
7,P2_LR,53.43727042273183,652,163
7,P2_SVR,15.212241577817684,652,163
7,P2_Bagging,10.676282121212862,652,163
8,P2_Persistent,20.06980847682515,652,163
8,P2_KNN,22.777586415013793,652,163
8,P2_LR,15.227289550701546,652,163
8,P2_SVR,15.124854250856226,652,163
8,P2_Bagging,9.847811526386506,652,163
9,P2_Persistent,25.651524760528613,652,163
9,P2_KNN,29.888240970780842,652,163
9,P2_LR,1033.3652684645483,652,163
9,P2_SVR,12.22363371245562,652,163
9,P2_Bagging,11.339353396609397,652,163
10,P2_Persistent,24.17053921435536,652,163
10,P2_KNN,28.613563709039724,652,163
10,P2_LR,3214.154712917815,652,163
10,P2_SVR,13.457041204893848,652,163
10,P2_Bagging,11.63945999933906,652,163
11,P2_Persistent,21.086837916429673,652,163
11,P2_KNN,23.171123232882056,652,163
11,P2_LR,222.97242052184117,652,163
11,P2_SVR,11.122263366003404,652,163
11,P2_Bagging,10.392920443987578,652,163
12,P2_Persistent,19.044051815153367,652,163
12,P2_KNN,23.113311796793102,652,163
12,P2_LR,11.155746043182086,652,163
12,P2_SVR,11.979361393366656,652,163
12,P2_Bagging,8.415883003994237,652,163
13,P2_Persistent,19.2846383627569,652,163
13,P2_KNN,23.50970180016764,652,163
13,P2_LR,9.846500654416596,652,163
13,P2_SVR,13.332453704350927,652,163
13,P2_Bagging,9.505307695394482,652,163
14,P2_Persistent,21.608336925552152,652,163
14,P2_KNN,24.720581507092163,652,163
14,P2_LR,17855.483556142004,652,163
14,P2_SVR,13.400976012495688,652,163
14,P2_Bagging,10.480991183539773,652,163
15,P2_Persistent,18.78933089063052,652,163
15,P2_KNN,20.734625833071636,652,163
15,P2_LR,11.029345480164363,652,163
15,P2_SVR,12.33988349146488,652,163
15,P2_Bagging,8.334082619530431,652,163
16,P2_Persistent,22.20119255263804,652,163
16,P2_KNN,25.797111289558902,652,163
16,P2_LR,13.851329469056202,652,163
16,P2_SVR,19.01958078144334,652,163
16,P2_Bagging,12.77441671369085,652,163
17,P2_Persistent,21.254240980214732,652,163
17,P2_KNN,30.065851883490204,652,163
17,P2_LR,14068.352758262688,652,163
17,P2_SVR,10.457534964506603,652,163
17,P2_Bagging,11.148515414485393,652,163
18,P2_Persistent,21.397736879803812,652,163
18,P2_KNN,26.563756723956452,652,163
18,P2_LR,289.9671983074764,652,163
18,P2_SVR,16.679286692472733,652,163
18,P2_Bagging,10.5173166380358,652,163
19,P2_Persistent,22.02759373262671,652,163
19,P2_KNN,26.43820243800597,652,163
19,P2_LR,20.221581713708687,652,163
19,P2_SVR,18.24516000472923,652,163
19,P2_Bagging,13.02078346040054,652,163
