track,split,model,repeat,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean
grouped,test,P1_CART_Stack,0,296,40.81615578053621,6.388752286678222,4.94174045909749,0.9474692095111976,0.061376528416906086,6.137652841690609,1.673148935692489,0.673148935692489
grouped,test,P1_CART_Stack,1,296,39.58375275285009,6.291562028053931,4.757654022884491,0.9490553242250193,0.05970826656745943,5.970826656745943,1.742963793667912,0.7429637936679118
grouped,test,P1_CART_Stack,2,296,35.49526499839486,5.957790278148003,4.58626527027027,0.954317247831939,0.05738431140053599,5.738431140053598,1.6067361965874787,0.6067361965874786
grouped,test,P1_CART_Stack,3,296,34.03211305285659,5.8337049165051695,4.385788980252573,0.9562003386530744,0.05478115825675953,5.478115825675952,1.5778134127978525,0.5778134127978528
grouped,test,P1_CART_Stack,4,296,39.871793834196694,6.314411598414907,4.812219312057593,0.9486846125446311,0.060601025868052355,6.060102586805235,1.699304503233276,0.6993045032332761
grouped,test,P1_CART_Stack,5,296,31.685621095049925,5.628998231928122,4.2468458880308875,0.9592202966834673,0.05320535278053495,5.3205352780534945,1.548232117528849,0.5482321175288487
grouped,test,P1_CART_Stack,6,296,34.369246734798324,5.862529039143288,4.649038187138031,0.9557664443170172,0.05811122691713729,5.811122691713729,1.597762557712644,0.5977625577126442
grouped,test,P1_CART_Stack,7,296,43.9479183608621,6.629322617044829,4.996805548785392,0.9434386005324309,0.06109564664861225,6.109564664861225,1.6863791067919527,0.6863791067919526
grouped,test,P1_CART_Stack,8,296,42.89693300523402,6.549575024780922,4.935691452300515,0.944791228933306,0.06039669632631722,6.039669632631722,1.6825246907276035,0.6825246907276036
grouped,test,P1_CART_Stack,9,296,39.37543311646848,6.274984710456949,4.70996782315798,0.9493234336283718,0.05764354022736807,5.764354022736807,1.6417419674885103,0.6417419674885102
grouped,test,P1_CART_Stack,10,296,35.55122944986074,5.962485173974082,4.597087349983913,0.9542452210371919,0.05755261462514996,5.755261462514996,1.589590954739554,0.5895909547395537
grouped,test,P1_CART_Stack,11,296,32.68070581908141,5.716704104558973,4.4718484009009005,0.9579396129405453,0.05654487616702372,5.654487616702372,1.5772540592121178,0.5772540592121176
grouped,test,P1_CART_Stack,12,296,35.93698610515595,5.994746542194753,4.61974831684363,0.9537487484603051,0.0578215180577232,5.78215180577232,1.6095477759028594,0.6095477759028594
grouped,test,P1_CART_Stack,13,296,33.65806657244688,5.801557254086775,4.49423159869691,0.9566817401206973,0.056871109111058464,5.687110911105846,1.5892478806465216,0.5892478806465217
grouped,test,P1_CART_Stack,14,296,36.798495896142526,6.066176381885259,4.636524827260295,0.9526399769587041,0.05782238450683593,5.782238450683593,1.6094988599650106,0.6094988599650106
grouped,test,P1_CART_Stack,15,296,35.430763039560844,5.952374571510167,4.766191333051802,0.9544002624819186,0.059409230162183066,5.940923016218306,1.6019075548431025,0.6019075548431025
grouped,test,P1_CART_Stack,16,296,32.58098330133445,5.707975411766807,4.50773611667471,0.9580679567932822,0.05656092491289917,5.656092491289917,1.578192058455769,0.5781920584557687
grouped,test,P1_CART_Stack,17,296,33.74886372752005,5.8093772237237316,4.5984432782335904,0.956564883296753,0.05728639370931198,5.728639370931198,1.5827402656108085,0.5827402656108083
grouped,test,P1_CART_Stack,18,296,32.060558384800075,5.662204375046884,4.328002337516088,0.958737748735537,0.053771313307163005,5.377131330716301,1.5532042506248924,0.5532042506248924
grouped,test,P1_CART_Stack,19,296,38.21984575174951,6.182220131291793,4.701190757520915,0.9508106858349235,0.05908360421347881,5.908360421347881,1.641756272867323,0.641756272867323
grouped,test,P1_ELM_Stack,0,296,477.8832310173257,21.860540501490938,6.140133996224998,0.3849596218305763,0.07822902506452784,7.822902506452784,554468041.5533645,554468040.5533645
grouped,test,P1_ELM_Stack,1,296,583.4468756138376,24.154645011132697,6.867668121306715,0.24909818188139465,0.08355835502290891,8.35583550229089,48951354.481947854,48951353.481947854
grouped,test,P1_ELM_Stack,2,296,563.1493377811773,23.73076774529592,7.069103417835929,0.275221310993776,0.0899140531984485,8.99140531984485,2039760508.3489363,2039760507.3489363
grouped,test,P1_ELM_Stack,3,296,2045.3579266601553,45.22563351308808,8.292747797990492,-1.6323955959427296,0.10716772660595646,10.716772660595646,1.8222692340097574e+22,1.8222692340097574e+22
grouped,test,P1_ELM_Stack,4,296,1104.2972907333556,33.230968850356376,7.506714760208067,-0.4212413812015281,0.09052026820037759,9.052026820037758,6421457117372273.0,6421457117372272.0
grouped,test,P1_ELM_Stack,5,296,329.87961022131566,18.16258820271262,5.754985651238119,0.5754417249816739,0.07137546412954543,7.137546412954543,7704072191.27854,7704072190.27854
grouped,test,P1_ELM_Stack,6,296,66.1127587826932,8.130975266392907,4.811460714144679,0.9149122347796772,0.05917863828989297,5.917863828989297,8.650734390249914,7.650734390249913
grouped,test,P1_ELM_Stack,7,296,1680.2336711755997,40.99065346119283,7.953993631598577,-1.162477118799286,0.09522358203625711,9.52235820362571,7125706199747221.0,7125706199747220.0
grouped,test,P1_ELM_Stack,8,296,102.50858204641452,10.124652193849155,5.206364399754459,0.8680704553427772,0.06227850306917217,6.227850306917217,9.300483932596942,8.300483932596942
grouped,test,P1_ELM_Stack,9,296,80.20652913483718,8.955809797826056,4.659771568571966,0.8967734149077964,0.05832620507298819,5.832620507298819,27.0223179513038,26.0223179513038
grouped,test,P1_ELM_Stack,10,296,509.36647435619653,22.569148729099123,6.325698407746426,0.3444403806596362,0.07660174628495033,7.6601746284950325,206696687.31616288,206696686.31616288
grouped,test,P1_ELM_Stack,11,296,1628.3343996669014,40.35262568491549,8.6564299623116,-1.0956822502966284,0.10814917754926925,10.814917754926926,3.144988340929158e+19,3.144988340929158e+19
grouped,test,P1_ELM_Stack,12,296,681.5099456573595,26.105745453010137,7.407999105453276,0.12289005452018209,0.09318228215122178,9.318228215122177,37966205403.044266,37966205402.044266
grouped,test,P1_ELM_Stack,13,296,290.4202362212823,17.041720459545225,5.860951523292899,0.6262263240889594,0.07463359319908255,7.463359319908255,32960.90715878819,32959.90715878819
grouped,test,P1_ELM_Stack,14,296,340.68794502553715,18.4577340165454,6.275134243562817,0.5615312926963252,0.07920854139716982,7.920854139716981,31096880.88372747,31096879.88372747
grouped,test,P1_ELM_Stack,15,296,237.86123824122336,15.422750670396749,5.522509261445307,0.6938702669932658,0.06560864797062994,6.560864797062995,84742.95034677912,84741.95034677912
grouped,test,P1_ELM_Stack,16,296,93.22374771269945,9.65524457032029,5.029658437869327,0.8800201276668967,0.06130002262051463,6.1300022620514625,50.16116816393078,49.16116816393078
grouped,test,P1_ELM_Stack,17,296,77.19112189731715,8.785847818925454,4.639665354881001,0.9006542734257884,0.0589999456158816,5.89999456158816,198.24087632173823,197.24087632173823
grouped,test,P1_ELM_Stack,18,296,565.4160796834271,23.77847933917195,6.099528385041823,0.2723039920625292,0.07878559293681726,7.878559293681726,5592020372.068105,5592020371.068105
grouped,test,P1_ELM_Stack,19,296,222.1751035951075,14.905539359416267,5.839514894548371,0.7140584752386684,0.06957160762341066,6.957160762341067,70178.74545075442,70177.74545075442
grouped,test,P1_ERT,0,296,41.065952149780166,6.408272165707396,4.3985472972973,0.9471477191482106,0.0507668093805416,5.07668093805416,1.6378967511365294,0.6378967511365293
grouped,test,P1_ERT,1,296,41.71259920246914,6.4585291825979345,4.458072096283785,0.94631547808593,0.051919650819889904,5.19196508198899,1.6564717159194111,0.6564717159194108
grouped,test,P1_ERT,2,296,42.0571654083026,6.4851496056993625,4.426674972972975,0.9458720180191494,0.05134126216143515,5.134126216143515,1.653721229624299,0.6537212296242988
grouped,test,P1_ERT,3,296,41.792571639512175,6.464717444677081,4.397423847972974,0.9462125527796426,0.05072608895088905,5.072608895088905,1.6436839159052563,0.6436839159052563
grouped,test,P1_ERT,4,296,39.508816746247874,6.285603928521735,4.412098327702705,0.949151767596219,0.05144599298939527,5.144599298939527,1.6340434805182962,0.6340434805182962
grouped,test,P1_ERT,5,296,41.847696335959796,6.468979543634359,4.4206506410473,0.9461416067577924,0.05135721169273303,5.135721169273303,1.6550402103583828,0.6550402103583829
grouped,test,P1_ERT,6,296,39.55070464167988,6.288935095998358,4.4118675050675735,0.9490978574663482,0.05145131274535878,5.145131274535878,1.6298649052513736,0.6298649052513737
