paper,table,stage,model,metric,paper_value,reconstruction_value,difference,comparability
P1,7,A,P1_GBT,rmse,6.552,7.514332123250275,0.9623321232502757,partial; see PROTOCOL.md
P1,7,A,P1_GBT,r2,0.97,0.9594859150718931,-0.010514084928106904,partial; see PROTOCOL.md
P1,7,A,P1_GBT,relative_error,0.051,0.05000537113293155,-0.0009946288670684492,partial; see PROTOCOL.md
P1,7,A,P1_GBT,s_score_published_ambiguous,1.674,,,partial; see PROTOCOL.md
P1,7,A,P1_RF,rmse,5.395,7.892938914168521,2.4979389141685218,partial; see PROTOCOL.md
P1,7,A,P1_RF,r2,0.981,0.9553004918130152,-0.025699508186984743,partial; see PROTOCOL.md
P1,7,A,P1_RF,relative_error,0.046,0.058040035217897024,0.012040035217897024,partial; see PROTOCOL.md
P1,7,A,P1_RF,s_score_published_ambiguous,0.512,,,partial; see PROTOCOL.md
P1,7,A,P1_ERT,rmse,7.048,9.23454414933869,2.1865441493386903,partial; see PROTOCOL.md
P1,7,A,P1_ERT,r2,0.966,0.9388134191333544,-0.027186580866645604,partial; see PROTOCOL.md
P1,7,A,P1_ERT,relative_error,0.05,0.06361833745327389,0.013618337453273885,partial; see PROTOCOL.md
P1,7,A,P1_ERT,s_score_published_ambiguous,3.723,,,partial; see PROTOCOL.md
P1,7,A,P1_CART_Stack,rmse,5.065,9.674103091714684,4.609103091714684,partial; see PROTOCOL.md
P1,7,A,P1_CART_Stack,r2,0.983,0.9328498969252695,-0.050150103074730445,partial; see PROTOCOL.md
P1,7,A,P1_CART_Stack,relative_error,0.047,0.0671329536259246,0.0201329536259246,partial; see PROTOCOL.md
P1,7,A,P1_CART_Stack,s_score_published_ambiguous,0.479,,,partial; see PROTOCOL.md
P1,7,A,P1_ELM_Stack,rmse,4.795,8.119929068090823,3.324929068090823,partial; see PROTOCOL.md
P1,7,A,P1_ELM_Stack,r2,0.984,0.952692528943579,-0.031307471056420955,partial; see PROTOCOL.md
P1,7,A,P1_ELM_Stack,relative_error,0.043,0.054681608286054756,0.01168160828605476,partial; see PROTOCOL.md
P1,7,A,P1_ELM_Stack,s_score_published_ambiguous,0.446,,,partial; see PROTOCOL.md
P1,8,B,P1_GBT,rmse,4.781,4.865307375428209,0.08430737542820932,partial; see PROTOCOL.md
P1,8,B,P1_GBT,r2,0.687,0.6747071333442394,-0.012292866655760681,partial; see PROTOCOL.md
P1,8,B,P1_GBT,relative_error,0.047,0.04694311526749797,-5.6884732502031354e-05,partial; see PROTOCOL.md
P1,8,B,P1_GBT,s_score_published_ambiguous,0.44,,,partial; see PROTOCOL.md
P1,8,B,P1_RF,rmse,4.598,4.654825844526147,0.056825844526146696,partial; see PROTOCOL.md
P1,8,B,P1_RF,r2,0.722,0.7022437763046321,-0.01975622369536789,partial; see PROTOCOL.md
P1,8,B,P1_RF,relative_error,0.045,0.04480144200856179,-0.0001985579914382113,partial; see PROTOCOL.md
P1,8,B,P1_RF,s_score_published_ambiguous,0.419,,,partial; see PROTOCOL.md
P1,8,B,P1_ERT,rmse,4.792,4.666377973149641,-0.12562202685035917,partial; see PROTOCOL.md
P1,8,B,P1_ERT,r2,0.701,0.7007640275126004,-0.00023597248739959387,partial; see PROTOCOL.md
P1,8,B,P1_ERT,relative_error,0.048,0.04614225210850719,-0.00185774789149281,partial; see PROTOCOL.md
P1,8,B,P1_ERT,s_score_published_ambiguous,0.444,,,partial; see PROTOCOL.md
P1,8,B,P1_CART_Stack,rmse,4.5,5.808790691839126,1.3087906918391257,partial; see PROTOCOL.md
P1,8,B,P1_CART_Stack,r2,0.725,0.5363124560107058,-0.18868754398929422,partial; see PROTOCOL.md
P1,8,B,P1_CART_Stack,relative_error,0.044,0.05626782383881204,0.012267823838812045,partial; see PROTOCOL.md
P1,8,B,P1_CART_Stack,s_score_published_ambiguous,0.404,,,partial; see PROTOCOL.md
P1,8,B,P1_ELM_Stack,rmse,4.485,4.709153818244805,0.22415381824480463,partial; see PROTOCOL.md
P1,8,B,P1_ELM_Stack,r2,0.727,0.6952527981806894,-0.031747201819310567,partial; see PROTOCOL.md
P1,8,B,P1_ELM_Stack,relative_error,0.044,0.045352776228596396,0.0013527762285963987,partial; see PROTOCOL.md
P1,8,B,P1_ELM_Stack,s_score_published_ambiguous,0.404,,,partial; see PROTOCOL.md
P2,5,all,P2_Integrated,mse,7.07,8.00582199024939,0.935821990249389,partial; see PROTOCOL.md
P2,5,all,P2_Persistent,mse,8.23,15.90132945168043,7.67132945168043,partial; see PROTOCOL.md
P2,5,all,P2_KNN,mse,9.6,16.49239315816468,6.892393158164682,partial; see PROTOCOL.md
P2,5,all,P2_SVR,mse,7.44,10.770076841268065,3.330076841268064,partial; see PROTOCOL.md
P2,5,all,P2_LR,mse,7.32,512.774705894672,505.45470589467203,partial; see PROTOCOL.md
P2,5,all,P2_Bagging,mse,7.22,8.042517494755117,0.8225174947551173,partial; see PROTOCOL.md
P3,II,all,P3_RF,mse,7.6,9.477434967180153,1.8774349671801538,partial; see PROTOCOL.md
P3,II,all,P3_RF_CPP,mse,7.4,8.685100884166744,1.2851008841667433,partial; see PROTOCOL.md
