sample_id,WAFER_ID,STAGE,cohort,condition,route,excluded_extreme,native_phase_fallback,p3_cpp,native_cpp_primary_end,native_cpp_start
6e12493812a5f565ce96,-4230160598,A,training,Cond1,456,False,False,298,306,311
2be9803bbdbf02137071,-4230160594,B,training,Cond2,456,False,False,304,790,819
0d912928e6272614a0c1,-4230160436,B,training,Cond2,456,False,False,336,814,845
768ed3716ed800b36423,-4230160428,A,training,Cond1,456,False,False,381,359,366
116b8abb85ea208280a5,-4230160424,A,training,Cond1,456,False,False,360,343,349
0e3a81eb0cb986226385,-4230160424,B,training,Cond2,456,False,False,371,835,866
04afdd1c439211c8389d,-4230160416,B,training,Cond2,456,False,False,340,818,849
4da37b8285072d5fce8e,-4230160408,A,training,Cond1,456,False,False,362,345,351
733faafbe969be847e96,-4230160408,B,training,Cond2,456,False,False,372,836,867
bccda63c87bec0a47d9c,-4228160702,A,training,Cond1,456,False,False,294,300,305
faf9b118b6bb6efefe7e,-4228160702,B,training,Cond2,456,False,False,307,794,823
cffaf60b05aca089e80d,-4228160698,B,training,Cond2,456,False,False,318,798,827
6d54594b80801a7f0163,-4228160694,B,training,Cond2,456,False,False,304,790,819
3abcf2a307208ba996a4,-4228160690,A,training,Cond1,456,False,False,291,298,303
35ebfd06335c31593335,-4228160690,B,training,Cond2,456,False,False,294,788,815
aabfebf8e14b506d8151,-4228160686,A,training,Cond1,456,False,False,300,308,313
a977f34f9236cdacff16,-4228160686,B,training,Cond2,456,False,False,304,790,819
351473c7e4037343d255,-4228160682,A,training,Cond1,456,False,False,294,301,306
eaa7a669dfe8f22214a4,-4228160678,A,training,Cond1,456,False,False,294,301,306
d0e1b9e587a5a312fad4,-4228160670,A,training,Cond1,456,False,False,301,309,314
d2d996299d0391e7d6fc,-4228160670,B,training,Cond2,456,False,False,306,792,821
69608816b1a4f857c209,-4228160662,A,training,Cond1,456,False,False,300,308,313
e987ea7f07fb8a25b0dd,-4228160662,B,training,Cond2,456,False,False,327,807,838
8a0ffc2f2fee8840281a,-4228160658,A,training,Cond1,456,False,False,310,313,318
abd2d498ddc961fb5dc1,-4228160658,B,training,Cond2,456,False,False,319,800,829
36c33a438518ee36f0ea,-4228160642,A,training,Cond1,456,False,False,301,309,314
3e8fc3c783193cad51dd,-4228160642,B,training,Cond2,456,False,False,304,790,819
