split,model,repeat,stage,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
test,P1_CART_Stack,0,all,424,58.24470496390916,7.631821864005288,4.246005606033204,0.9333473375489337,0.05459107114654728,5.459107114654728,21.048879582388288,20.048879582388288,False
test,P1_CART_Stack,0,A,238,84.12673493253966,9.17206274141971,4.549875894615082,0.939638601246868,0.05929583888904081,5.929583888904081,36.34806716304348,35.348067163043474,False
test,P1_CART_Stack,0,B,186,25.126838659962587,5.012667818633366,3.8571823335467164,0.6547037791832664,0.04857099199217382,4.857099199217382,1.4724997748832604,0.4724997748832602,False
test,P1_ELM_Stack,0,all,424,53.98466595228067,7.347425804476059,4.400343838511236,0.9382223376445886,0.053326286697853824,5.332628669785382,5.708893483030396,4.708893483030396,False
test,P1_ELM_Stack,0,A,238,80.32406004403722,8.962369108892872,5.113240622304353,0.9423670415632249,0.06052445412274603,6.0524454122746025,9.066310087416486,8.066310087416486,False
test,P1_ELM_Stack,0,B,186,20.28157028648461,4.503506443482079,3.4881425775286448,0.721288074997234,0.044115728379981026,4.4115728379981025,1.412844279568622,0.4128442795686218,False
test,P1_ERT,0,all,424,57.41991805186652,7.577593156924335,4.614781875000003,0.9342911871860209,0.05595194152373,5.595194152373,5.461348477307715,4.461348477307716,False
test,P1_ERT,0,A,238,85.2768056460854,9.234544149338689,5.356358048319331,0.9388134191333544,0.06361833745327386,6.361833745327386,8.61530612566299,7.615306125662991,False
test,P1_ERT,0,B,186,21.775083388296153,4.6663779731496415,3.6658833306451637,0.7007640275126004,0.04614225210850719,4.614225210850719,1.4256392283369879,0.4256392283369877,False
test,P1_GBT,0,all,424,42.079152634437015,6.486844582263168,3.975123475200813,0.951846480147716,0.04866202304101965,4.866202304101965,5.092913641205355,4.092913641205354,False
test,P1_GBT,0,A,238,56.46518725851099,7.514332123250275,4.166050338814708,0.9594859150718931,0.05000537113293155,5.000537113293155,7.941759060597181,6.941759060597181,False
test,P1_GBT,0,B,186,23.671215857396124,4.865307375428209,3.730819208856151,0.6747071333442394,0.04694311526749797,4.694311526749797,1.447616814241622,0.4476168142416217,False
test,P1_RF,0,all,424,44.47447272839373,6.668918407687541,4.208447143688811,0.9491053818490177,0.05223253914021696,5.223253914021695,3.02379074116253,2.0237907411625304,False
test,P1_RF,0,A,238,62.2984847027958,7.892938914168524,4.728559574188244,0.9553004918130152,0.05804003521789704,5.804003521789704,4.272895933792795,3.2728959337927948,False
test,P1_RF,0,B,186,21.667403642868546,4.654825844526146,3.542926936920718,0.7022437763046322,0.04480144200856177,4.480144200856177,1.4254733441410101,0.42547334414100996,False
test,P2_Bagging,0,all,424,7.1702106761961035,2.6777249067438023,1.9463973862235158,0.9917947282555614,0.022922408162980457,2.2922408162980457,1.2034739237301864,0.20347392373018638,False
test,P2_Bagging,0,A,238,7.383692157013838,2.717295007358207,1.9681724388550972,0.994702159938606,0.022358161769544794,2.2358161769544793,1.2095379590281752,0.20953795902817504,False
test,P2_Bagging,0,B,186,6.8970462007411495,2.6262228010473807,1.918534684469127,0.9052199116592777,0.023644400859957285,2.3644400859957284,1.1957145667359856,0.19571456673598583,False
test,P2_Integrated,0,all,424,7.074313480095851,2.6597581619568067,1.950217532266137,0.9919044687623703,0.02295826964799789,2.2958269647997893,1.204633287759891,0.204633287759891,False
test,P2_Integrated,0,A,238,7.2977864523221285,2.701441550787677,1.9886745999716204,0.9947637977580248,0.022602637484776485,2.2602637484776484,1.2115744723262263,0.21157447232622645,False
test,P2_Integrated,0,B,186,6.7883641930536305,2.6054489427071164,1.9010090262773995,0.906713433667085,0.023413325856851092,2.3413325856851093,1.1957515569707091,0.19575155697070912,False
test,P2_KNN,0,all,424,11.471022391472408,3.386889781417814,2.5074572405660374,0.986873069682451,0.030172770725334284,3.0172770725334286,1.2787867940078625,0.2787867940078626,False
test,P2_KNN,0,A,238,9.205203589361664,3.034007842666473,2.276510609243697,0.993395215386562,0.026343739549781295,2.6343739549781295,1.245511808532288,0.24551180853228785,False
test,P2_KNN,0,B,186,14.370295912452821,3.790817314571202,2.802969596774193,0.8025215611984392,0.035072283734912835,3.5072283734912837,1.3213644635948882,0.32136446359488835,False
test,P2_LR,0,all,424,351.1078911688693,18.737873176240395,3.121983333619945,0.5982076693755187,0.03811903255412734,3.8119032554127337,50420947474804.266,50420947474803.29,False
test,P2_LR,0,A,238,620.3752029089095,24.907332312170837,4.0219488977224085,0.5548773522546908,0.04887696851183419,4.887696851183419,89825553484524.3,89825553484523.36,False
test,P2_LR,0,B,186,6.561546039140492,2.561551490628383,1.9704144935318475,0.9098303976599978,0.024353501597491684,2.4353501597491682,1.202769869638112,0.20276986963811197,False
test,P2_Persistent,0,all,424,12.98903367810142,3.6040301993880988,2.6704712264150947,0.985135924753186,0.03168388733749402,3.168388733749402,1.302320320761764,0.3023203207617639,False
test,P2_Persistent,0,A,238,11.958460363644962,3.4581006873202753,2.556518697478993,0.9914197383856354,0.02934040300784967,2.934040300784967,1.2849103667744157,0.28491036677441556,False
test,P2_Persistent,0,B,186,14.307724263266131,3.782555255811358,2.816281451612904,0.8033814287801442,0.034682539329189466,3.4682539329189463,1.324597573713317,0.32459757371331704,False
test,P2_SVR,0,all,424,9.080986326813624,3.0134674922443785,2.1866358291714643,0.9896081211718918,0.025873020761224042,2.587302076122404,1.2381137573007988,0.2381137573007986,False
test,P2_SVR,0,A,238,8.574611771551332,2.928243803297692,2.212069978897076,0.9938476685121448,0.025466807890205972,2.546680789020597,1.2389523384161054,0.23895233841610536,False
test,P2_SVR,0,B,186,9.728927962041721,3.119122947567428,2.1540910569419185,0.866303831399049,0.026392798520913828,2.639279852091383,1.2370407341532554,0.2370407341532555,False
test,P3_RF,0,all,424,9.477434967180155,3.0785442935225333,2.3207561384884596,0.9891544428946663,0.027489188197503723,2.7489188197503722,1.2464388182774568,0.24643881827745673,False
test,P3_RF,0,A,238,7.464080993022183,2.732047033457181,2.05426826982818,0.9946444805030557,0.023557137472824372,2.3557137472824374,1.2171542883601607,0.21715428836016054,False
