fold,model,mse,train_n,validation_n
0,P2_Persistent,17.16722712126562,638,160
0,P2_KNN,14.907154609181243,638,160
0,P2_LR,10.75358399192901,638,160
0,P2_SVR,10.431478640007132,638,160
0,P2_Bagging,9.265561857495872,638,160
1,P2_Persistent,17.81120231849785,638,160
1,P2_KNN,12.827532613349529,638,160
1,P2_LR,47.57744981328191,638,160
1,P2_SVR,8.841058384088154,638,160
1,P2_Bagging,7.193731651290548,638,160
2,P2_Persistent,12.912946690499997,638,160
2,P2_KNN,14.305056713611872,638,160
2,P2_LR,88.52511233234505,638,160
2,P2_SVR,6.783022557326862,638,160
2,P2_Bagging,6.974619528417682,638,160
3,P2_Persistent,13.580167327593747,638,160
3,P2_KNN,11.639999484049214,638,160
3,P2_LR,166.9178070964873,638,160
3,P2_SVR,8.360478234568907,638,160
3,P2_Bagging,8.342847124097512,638,160
4,P2_Persistent,17.563558423218748,638,160
4,P2_KNN,12.32922254052235,638,160
4,P2_LR,941.5982496542076,638,160
4,P2_SVR,9.068912605412786,638,160
4,P2_Bagging,8.000470473632333,638,160
5,P2_Persistent,15.263378772760593,638,160
5,P2_KNN,11.664747293051255,638,160
5,P2_LR,5.787128952808697,638,160
5,P2_SVR,7.789853674248642,638,160
5,P2_Bagging,5.330654245323673,638,160
6,P2_Persistent,14.49189949373438,638,160
6,P2_KNN,12.65408743800656,638,160
6,P2_LR,5.160749995425087,638,160
6,P2_SVR,7.039076474176878,638,160
6,P2_Bagging,5.789423417323617,638,160
7,P2_Persistent,13.759217678249996,638,160
7,P2_KNN,12.542911179894848,638,160
7,P2_LR,8.649313211796107,638,160
7,P2_SVR,9.74890036251143,638,160
7,P2_Bagging,7.358023877893231,638,160
8,P2_Persistent,15.679612214993636,638,160
8,P2_KNN,13.176191478689992,638,160
8,P2_LR,10.336676704325617,638,160
8,P2_SVR,8.702764225913489,638,160
8,P2_Bagging,8.62144999148194,638,160
9,P2_Persistent,14.38861777210683,638,160
9,P2_KNN,15.678144985969691,638,160
9,P2_LR,6.771881222343606,638,160
9,P2_SVR,9.83640951182901,638,160
9,P2_Bagging,7.363053919659959,638,160
10,P2_Persistent,13.12022186901562,638,160
10,P2_KNN,13.88184213335624,638,160
10,P2_LR,7.268695466941308,638,160
10,P2_SVR,9.3468401147073,638,160
10,P2_Bagging,6.762657096089862,638,160
11,P2_Persistent,17.691862157835438,638,160
11,P2_KNN,12.44876193931641,638,160
11,P2_LR,7.401951477173687,638,160
11,P2_SVR,8.289098689292821,638,160
11,P2_Bagging,6.431692520022987,638,160
12,P2_Persistent,16.770568000640623,638,160
12,P2_KNN,14.677640695525787,638,160
12,P2_LR,12.124131034227664,638,160
12,P2_SVR,10.423592117407601,638,160
12,P2_Bagging,7.293876733642582,638,160
13,P2_Persistent,11.791046857499998,638,160
13,P2_KNN,14.758162658888903,638,160
13,P2_LR,10.881670675630932,638,160
13,P2_SVR,10.549394458666853,638,160
13,P2_Bagging,8.842802900002726,638,160
14,P2_Persistent,15.611589945812781,638,160
14,P2_KNN,13.715428231172814,638,160
14,P2_LR,313.27427386087686,638,160
14,P2_SVR,8.497551139520896,638,160
14,P2_Bagging,6.221108188178226,638,160
15,P2_Persistent,13.44697906120312,638,160
15,P2_KNN,15.759375797241557,638,160
15,P2_LR,6.9422012964854884,638,160
15,P2_SVR,10.629047593576667,638,160
15,P2_Bagging,7.800820168492318,638,160
16,P2_Persistent,14.591663425125006,638,160
16,P2_KNN,12.256010876359682,638,160
16,P2_LR,9.952869497849042,638,160
16,P2_SVR,10.570075264499062,638,160
16,P2_Bagging,7.273125681555209,638,160
17,P2_Persistent,16.31670161087576,638,160
17,P2_KNN,13.886998410771564,638,160
17,P2_LR,6.836124513566178,638,160
17,P2_SVR,7.756781053573095,638,160
17,P2_Bagging,6.621866791911432,638,160
18,P2_Persistent,10.791160206524816,638,160
18,P2_KNN,11.240868940624688,638,160
18,P2_LR,122.04892635019205,638,160
18,P2_SVR,7.920944798941422,638,160
18,P2_Bagging,5.620018199678651,638,160
19,P2_Persistent,14.162200035749999,638,160
19,P2_KNN,11.295190738569378,638,160
19,P2_LR,9.029375418477082,638,160
19,P2_SVR,9.424598581815232,638,160
19,P2_Bagging,6.154517924767925,638,160
