fold,model,mse,train_n,validation_n
0,P2_Persistent,12.315449336019809,291,73
0,P2_KNN,10.907804393229457,291,73
0,P2_LR,10.674353048948538,291,73
0,P2_SVR,10.614963830163301,291,73
0,P2_Bagging,9.710331101982087,291,73
1,P2_Persistent,11.843776503493151,291,73
1,P2_KNN,6.213542249743146,291,73
1,P2_LR,7.4241383192202095,291,73
1,P2_SVR,8.982500303098215,291,73
1,P2_Bagging,6.563642309482412,291,73
2,P2_Persistent,9.478694404417809,291,73
2,P2_KNN,7.260178107140758,291,73
2,P2_LR,11.388862729637403,291,73
2,P2_SVR,6.332075411923716,291,73
2,P2_Bagging,6.097557211546759,291,73
3,P2_Persistent,10.916307048698645,291,73
3,P2_KNN,7.900053870738712,291,73
3,P2_LR,11.327001360043294,291,73
3,P2_SVR,9.947381170007443,291,73
3,P2_Bagging,7.45314629119924,291,73
4,P2_Persistent,9.775472131679487,291,73
4,P2_KNN,9.679029918253761,291,73
4,P2_LR,7.8283711247369085,291,73
4,P2_SVR,8.274140132486794,291,73
4,P2_Bagging,7.386907091382847,291,73
5,P2_Persistent,11.346941172945208,291,73
5,P2_KNN,8.399960268460275,291,73
5,P2_LR,12.158722063043783,291,73
5,P2_SVR,9.290196338303707,291,73
5,P2_Bagging,8.123204229190542,291,73
6,P2_Persistent,9.477713929907567,291,73
6,P2_KNN,6.667777531602758,291,73
6,P2_LR,11.248623952997969,291,73
6,P2_SVR,6.958379095520567,291,73
6,P2_Bagging,5.190059910486085,291,73
7,P2_Persistent,9.635565072228172,291,73
7,P2_KNN,8.437154278684918,291,73
7,P2_LR,10.105022724632692,291,73
7,P2_SVR,10.456561491154469,291,73
7,P2_Bagging,9.082161905250025,291,73
8,P2_Persistent,10.104527135360497,291,73
8,P2_KNN,6.794060307142812,291,73
8,P2_LR,8.169354470425503,291,73
8,P2_SVR,8.030815968492705,291,73
8,P2_Bagging,6.014519209062206,291,73
9,P2_Persistent,13.334091913664388,291,73
9,P2_KNN,9.288578370895893,291,73
9,P2_LR,9.989409414350767,291,73
9,P2_SVR,8.199624946159537,291,73
9,P2_Bagging,7.868601065675793,291,73
10,P2_Persistent,12.842618342363023,291,73
10,P2_KNN,8.238898338038023,291,73
10,P2_LR,9.1446875949342,291,73
10,P2_SVR,9.49206343250489,291,73
10,P2_Bagging,9.010680276895354,291,73
11,P2_Persistent,9.66392325863014,291,73
11,P2_KNN,7.4606877324832235,291,73
11,P2_LR,6.871143010059127,291,73
11,P2_SVR,7.40418073465149,291,73
11,P2_Bagging,6.262099522215945,291,73
12,P2_Persistent,9.254544679074986,291,73
12,P2_KNN,5.838075747175694,291,73
12,P2_LR,7.528600853039046,291,73
12,P2_SVR,6.487414598501484,291,73
12,P2_Bagging,4.7991374260015025,291,73
13,P2_Persistent,12.208614512671229,291,73
13,P2_KNN,8.90950738743802,291,73
13,P2_LR,8.049946241228092,291,73
13,P2_SVR,7.801585761160542,291,73
13,P2_Bagging,6.552421315808927,291,73
14,P2_Persistent,11.857102265944208,291,73
14,P2_KNN,9.083953821211646,291,73
14,P2_LR,9.589177799158943,291,73
14,P2_SVR,9.730543755199582,291,73
14,P2_Bagging,8.493951870859854,291,73
15,P2_Persistent,8.128071421952066,291,73
15,P2_KNN,6.843188169542478,291,73
15,P2_LR,7.848156929805987,291,73
15,P2_SVR,7.950396975920034,291,73
15,P2_Bagging,7.343890454889788,291,73
16,P2_Persistent,15.915916805856176,291,73
16,P2_KNN,11.46137298624249,291,73
16,P2_LR,12.815174484283023,291,73
16,P2_SVR,11.29737110950294,291,73
16,P2_Bagging,9.993403964167207,291,73
17,P2_Persistent,11.975450068513313,291,73
17,P2_KNN,8.608607369984622,291,73
17,P2_LR,9.714950560910653,291,73
17,P2_SVR,8.674651827014902,291,73
17,P2_Bagging,7.498274587595078,291,73
18,P2_Persistent,9.184963352527644,291,73
18,P2_KNN,7.2048382244661155,291,73
18,P2_LR,60.23013471436493,291,73
18,P2_SVR,7.611727146570861,291,73
18,P2_Bagging,5.9939805797437105,291,73
19,P2_Persistent,11.318551491883559,291,73
19,P2_KNN,6.843566697105819,291,73
19,P2_LR,7.698236888073188,291,73
19,P2_SVR,7.398728379908984,291,73
19,P2_Bagging,6.286175864649548,291,73
