fold,model,mse,train_n,validation_n
0,P2_Persistent,22.971820090996935,652,163
0,P2_KNN,15.531503089827144,652,163
0,P2_LR,92.09062716056141,652,163
0,P2_SVR,12.680305399968793,652,163
0,P2_Bagging,8.950195624139065,652,163
1,P2_Persistent,18.39172039932726,652,163
1,P2_KNN,18.53832765328206,652,163
1,P2_LR,9.558401930463232,652,163
1,P2_SVR,12.031339475804968,652,163
1,P2_Bagging,9.328962581425575,652,163
2,P2_Persistent,20.421411119447857,652,163
2,P2_KNN,15.794118823689116,652,163
2,P2_LR,10.535868556887394,652,163
2,P2_SVR,12.046004151018563,652,163
2,P2_Bagging,9.593966037316045,652,163
3,P2_Persistent,22.940388656759577,652,163
3,P2_KNN,21.429633895343564,652,163
3,P2_LR,21.50074852125823,652,163
3,P2_SVR,10.861686093608416,652,163
3,P2_Bagging,8.5199036323861,652,163
4,P2_Persistent,25.456230410107356,652,163
4,P2_KNN,18.72053269767194,652,163
4,P2_LR,1290.7353498276502,652,163
4,P2_SVR,15.521643087041674,652,163
4,P2_Bagging,11.174297326474562,652,163
5,P2_Persistent,18.307479083900535,652,163
5,P2_KNN,17.925020456850007,652,163
5,P2_LR,10.086730748256036,652,163
5,P2_SVR,13.171399892394275,652,163
5,P2_Bagging,8.824352011463034,652,163
6,P2_Persistent,18.089887269202446,652,163
6,P2_KNN,15.326413553299698,652,163
6,P2_LR,8.580320280758837,652,163
6,P2_SVR,10.686766190922569,652,163
6,P2_Bagging,7.702327020553131,652,163
7,P2_Persistent,23.461018650552138,652,163
7,P2_KNN,19.19310719604984,652,163
7,P2_LR,73.57974773322441,652,163
7,P2_SVR,12.952231797984245,652,163
7,P2_Bagging,9.565912924742786,652,163
8,P2_Persistent,20.06980847682515,652,163
8,P2_KNN,17.09233987447822,652,163
8,P2_LR,52.37148209115492,652,163
8,P2_SVR,11.613899980073601,652,163
8,P2_Bagging,8.867592142774845,652,163
9,P2_Persistent,25.651524760528613,652,163
9,P2_KNN,22.137391759921,652,163
9,P2_LR,10042.487774580426,652,163
9,P2_SVR,11.33449583978351,652,163
9,P2_Bagging,8.961769000057386,652,163
10,P2_Persistent,24.17053921435536,652,163
10,P2_KNN,24.059031794621777,652,163
10,P2_LR,12632.95550873453,652,163
10,P2_SVR,11.677478024171945,652,163
10,P2_Bagging,10.40329700087028,652,163
11,P2_Persistent,21.086837916429673,652,163
11,P2_KNN,18.207842221660588,652,163
11,P2_LR,7151.396595807476,652,163
11,P2_SVR,9.508042698084097,652,163
11,P2_Bagging,9.308933855924295,652,163
12,P2_Persistent,19.044051815153367,652,163
12,P2_KNN,16.788385672636203,652,163
12,P2_LR,8.869572648198057,652,163
12,P2_SVR,10.820370715466584,652,163
12,P2_Bagging,8.733244884290754,652,163
13,P2_Persistent,19.2846383627569,652,163
13,P2_KNN,20.267979512068713,652,163
13,P2_LR,9.294921430878574,652,163
13,P2_SVR,12.044175143970147,652,163
13,P2_Bagging,10.039913546860808,652,163
14,P2_Persistent,21.608336925552152,652,163
14,P2_KNN,25.003355213354894,652,163
14,P2_LR,723.1604968538295,652,163
14,P2_SVR,11.570267604376326,652,163
14,P2_Bagging,9.02549259113758,652,163
15,P2_Persistent,18.78933089063052,652,163
15,P2_KNN,21.395782652745105,652,163
15,P2_LR,8.200658782861806,652,163
15,P2_SVR,11.080046471808314,652,163
15,P2_Bagging,7.907123635618464,652,163
16,P2_Persistent,22.20119255263804,652,163
16,P2_KNN,18.2597720157994,652,163
16,P2_LR,45.14968610051768,652,163
16,P2_SVR,15.636128669931054,652,163
16,P2_Bagging,11.690558951765734,652,163
17,P2_Persistent,21.254240980214732,652,163
17,P2_KNN,26.151404723902008,652,163
17,P2_LR,78.44822391349234,652,163
17,P2_SVR,10.035518997790888,652,163
17,P2_Bagging,10.035210018108874,652,163
18,P2_Persistent,21.397736879803812,652,163
18,P2_KNN,25.55861172413325,652,163
18,P2_LR,355.84296897273043,652,163
18,P2_SVR,13.624257707480089,652,163
18,P2_Bagging,10.276196729126479,652,163
19,P2_Persistent,22.02759373262671,652,163
19,P2_KNN,25.846236969435274,652,163
19,P2_LR,21.3248615451783,652,163
19,P2_SVR,15.297561221907756,652,163
19,P2_Bagging,9.975501715656808,652,163
