fold,model,mse,train_n,validation_n
0,P2_Persistent,221613.58180619357,294,74
0,P2_KNN,147331.4238837414,294,74
0,P2_LR,259592.37330597985,294,74
0,P2_SVR,221855.16818073613,294,74
0,P2_Bagging,194166.3952766628,294,74
1,P2_Persistent,646799.4193109385,294,74
1,P2_KNN,67594.63373997332,294,74
1,P2_LR,10196124.83429181,294,74
1,P2_SVR,12.45544296317006,294,74
1,P2_Bagging,23976.37956767316,294,74
2,P2_Persistent,219691.84238464624,294,74
2,P2_KNN,184749.73045105525,294,74
2,P2_LR,72557197.62919454,294,74
2,P2_SVR,219662.8381293343,294,74
2,P2_Bagging,145889.9197963889,294,74
3,P2_Persistent,234699.6878653326,294,74
3,P2_KNN,274647.28906825284,294,74
3,P2_LR,988908.2399181431,294,74
3,P2_SVR,235597.6671946682,294,74
3,P2_Bagging,249887.92112920986,294,74
4,P2_Persistent,433167.5023547543,294,74
4,P2_KNN,352117.7701650542,294,74
4,P2_LR,32443941.48897805,294,74
4,P2_SVR,433520.08273867914,294,74
4,P2_Bagging,404202.90198287123,294,74
5,P2_Persistent,234700.3059623605,294,74
5,P2_KNN,263696.1838682962,294,74
5,P2_LR,353523.1847269309,294,74
5,P2_SVR,235280.47245811665,294,74
5,P2_Bagging,259974.06106158477,294,74
6,P2_Persistent,10.107293595506759,294,74
6,P2_KNN,32901.0728380773,294,74
6,P2_LR,364578.58346150024,294,74
6,P2_SVR,8.500604013133309,294,74
6,P2_Bagging,26133.76673245261,294,74
7,P2_Persistent,657404.8523565397,294,74
7,P2_KNN,66349.29938924106,294,74
7,P2_LR,249610.63026292593,294,74
7,P2_SVR,8.153789763812656,294,74
7,P2_Bagging,39272.53903086511,294,74
8,P2_Persistent,56.06749397054539,294,74
8,P2_KNN,13286.308581184385,294,74
8,P2_LR,140058.41215922526,294,74
8,P2_SVR,15.449289755084322,294,74
8,P2_Bagging,2126.3225551195897,294,74
9,P2_Persistent,219284.02263195717,294,74
9,P2_KNN,46054.24560752427,294,74
9,P2_LR,520380.37430111633,294,74
9,P2_SVR,11.61936625539318,294,74
9,P2_Bagging,52085.90786425566,294,74
10,P2_Persistent,12.670289703243236,294,74
10,P2_KNN,58636.38777275815,294,74
10,P2_LR,73278.83772945905,294,74
10,P2_SVR,10.631259714250223,294,74
10,P2_Bagging,21582.359276340998,294,74
11,P2_Persistent,448168.76918193215,294,74
11,P2_KNN,388615.15132105653,294,74
11,P2_LR,385874.82421088713,294,74
11,P2_SVR,449302.13521890965,294,74
11,P2_Bagging,361674.6649110952,294,74
12,P2_Persistent,219244.25740545883,294,74
12,P2_KNN,63239.51475835726,294,74
12,P2_LR,442918.1381307615,294,74
12,P2_SVR,12.47489674849499,294,74
12,P2_Bagging,54719.12285994315,294,74
13,P2_Persistent,440774.05291508604,294,74
13,P2_KNN,67906.7545767888,294,74
13,P2_LR,399851.3645337837,294,74
13,P2_SVR,10.283519745599316,294,74
13,P2_Bagging,56368.563318339104,294,74
14,P2_Persistent,9.725447191013501,294,74
14,P2_KNN,15650.593308224674,294,74
14,P2_LR,167685.99796457012,294,74
14,P2_SVR,11.156420946279772,294,74
14,P2_Bagging,7938.8244056540125,294,74
15,P2_Persistent,219690.94411510177,294,74
15,P2_KNN,156243.4452776797,294,74
15,P2_LR,2554791.7543290127,294,74
15,P2_SVR,219418.17581566403,294,74
15,P2_Bagging,142510.05047583982,294,74
16,P2_Persistent,440775.43336758786,294,74
16,P2_KNN,63519.19740558881,294,74
16,P2_LR,486126.4543729188,294,74
16,P2_SVR,12.653104227343071,294,74
16,P2_Bagging,72398.64592488109,294,74
17,P2_Persistent,213475.96464008462,294,74
17,P2_KNN,157893.4362946051,294,74
17,P2_LR,428241.33160011464,294,74
17,P2_SVR,213616.74201294847,294,74
17,P2_Bagging,158033.61265632688,294,74
18,P2_Persistent,657321.6333503599,294,74
18,P2_KNN,83587.33686472157,294,74
18,P2_LR,76207.88494148239,294,74
18,P2_SVR,9.547123447141841,294,74
18,P2_Bagging,48429.74466073777,294,74
19,P2_Persistent,441288.3380441974,294,74
19,P2_KNN,362808.26835179405,294,74
19,P2_LR,421823.67752147996,294,74
19,P2_SVR,441059.80849894846,294,74
19,P2_Bagging,339771.64881310484,294,74
