split,model,stage,rmse_mean_v2,rmse_std_v2,mse_mean_v2,mse_std_v2,mse_mean_v1,mse_std_v1,rmse_mean_v1,rmse_std_v1
test,P1_CART_Stack,all,7.401603360891842,0.1749876225903033,54.81282194662223,2.567385216871341,62.46647651438907,3.824440041260567,7.9000329850339615,0.2426939805044896
test,P1_ELM_Stack,all,7.134748568303264,0.2320812664141621,50.95580576141487,3.3460019218406463,52.56433647722613,8.110490402693596,7.229118441638024,0.5658556948227453
test,P1_ERT,all,7.629856104625524,0.1111276218904012,58.226436058221054,1.6955028087246968,58.226436058221054,1.695502808724694,7.629856104625526,0.1111276218904009
test,P1_GBT,all,6.405500102656805,0.1394665357789547,41.04890993400841,1.7925426349036302,41.048909934008414,1.7925426349036304,6.405500102656805,0.1394665357789546
test,P1_RF,all,6.5735602421677,0.1385022397199816,43.22991798429495,1.8152026259240703,43.22991798429495,1.8152026259240703,6.5735602421677,0.1385022397199818
validation,P1_CART_Stack,all,9.555208270313814,0.2247283986105386,91.34998279955846,4.30788192260315,102.0119905700352,7.878442405261117,10.093033907625154,0.3875117785158825
validation,P1_ELM_Stack,all,8.259554147986124,0.2868353529397867,68.29839551722607,4.779999826822695,149.3466777192112,125.38028896078058,11.72594209226322,3.5316553101314736
validation,P1_ERT,all,8.749532669566797,0.1421477528642722,76.57351762027884,2.4821573955562086,76.57351762027882,2.482157395556207,8.749532669566797,0.1421477528642717
validation,P1_GBT,all,8.695873043534329,0.2529288295705186,75.6789823324535,4.361735266118021,75.6789823324535,4.361735266118019,8.695873043534329,0.2529288295705179
validation,P1_RF,all,9.026226448187028,0.1477026392520816,81.49348916011095,2.671224989168875,81.49348916011095,2.671224989168873,9.026226448187028,0.1477026392520813
