partition,policy,condition,variant,component,n,component_range_fallback_n,quality_flag_n,feature_flag_n
outer_0,completed,Cond1,raw_guarded,ridge_1000,269,0,18,0
outer_0,completed,Cond1,raw_guarded,svr_10,269,0,18,0
outer_0,completed,Cond1,raw_guarded,bag_2,269,0,18,0
outer_0,completed,Cond1,gap_guarded,ridge_1000,269,0,18,0
outer_0,completed,Cond1,gap_guarded,svr_10,269,0,18,0
outer_0,completed,Cond1,gap_guarded,bag_2,269,0,18,0
outer_0,completed,Cond1,phase_guarded,ridge_1000,269,0,18,4
outer_0,completed,Cond1,phase_guarded,svr_100,269,0,18,4
outer_0,completed,Cond1,phase_guarded,bag_2,269,0,18,4
outer_0,completed,Cond2,raw_guarded,ridge_100,302,0,17,0
outer_0,completed,Cond2,raw_guarded,svr_10,302,0,17,0
outer_0,completed,Cond2,raw_guarded,bag_2,302,0,17,0
outer_0,completed,Cond2,gap_guarded,ridge_100,302,0,17,0
outer_0,completed,Cond2,gap_guarded,svr_10,302,0,17,0
outer_0,completed,Cond2,gap_guarded,bag_2,302,0,17,0
outer_0,completed,Cond2,phase_guarded,ridge_1000,302,0,17,7
outer_0,completed,Cond2,phase_guarded,svr_10,302,0,17,7
outer_0,completed,Cond2,phase_guarded,bag_2,302,0,17,7
outer_0,completed,Cond3,raw_guarded,ridge_100,99,0,80,1
outer_0,completed,Cond3,raw_guarded,svr_10,99,0,80,1
outer_0,completed,Cond3,raw_guarded,bag_2,99,0,80,1
outer_0,completed,Cond3,gap_guarded,ridge_100,99,0,80,1
outer_0,completed,Cond3,gap_guarded,svr_10,99,0,80,1
outer_0,completed,Cond3,gap_guarded,bag_2,99,0,80,1
outer_0,completed,Cond3,phase_guarded,ridge_100,99,0,80,0
outer_0,completed,Cond3,phase_guarded,svr_10,99,0,80,0
outer_0,completed,Cond3,phase_guarded,bag_10,99,0,80,0
outer_0,retrospective,Cond1,raw_guarded,ridge_1000,269,0,18,0
outer_0,retrospective,Cond1,raw_guarded,svr_10,269,0,18,0
outer_0,retrospective,Cond1,raw_guarded,bag_2,269,0,18,0
outer_0,retrospective,Cond1,gap_guarded,ridge_1000,269,0,18,0
outer_0,retrospective,Cond1,gap_guarded,svr_10,269,0,18,0
outer_0,retrospective,Cond1,gap_guarded,bag_2,269,0,18,0
outer_0,retrospective,Cond1,phase_guarded,ridge_1000,269,0,18,4
outer_0,retrospective,Cond1,phase_guarded,svr_10,269,0,18,4
outer_0,retrospective,Cond1,phase_guarded,bag_2,269,0,18,4
outer_0,retrospective,Cond2,raw_guarded,ridge_100,302,0,17,0
outer_0,retrospective,Cond2,raw_guarded,svr_10,302,0,17,0
outer_0,retrospective,Cond2,raw_guarded,bag_2,302,0,17,0
outer_0,retrospective,Cond2,gap_guarded,ridge_100,302,0,17,0
outer_0,retrospective,Cond2,gap_guarded,svr_10,302,0,17,0
outer_0,retrospective,Cond2,gap_guarded,bag_2,302,0,17,0
outer_0,retrospective,Cond2,phase_guarded,ridge_1000,302,0,17,7
outer_0,retrospective,Cond2,phase_guarded,svr_10,302,0,17,7
outer_0,retrospective,Cond2,phase_guarded,bag_2,302,0,17,7
outer_0,retrospective,Cond3,raw_guarded,ridge_100,99,0,80,1
outer_0,retrospective,Cond3,raw_guarded,svr_10,99,0,80,1
outer_0,retrospective,Cond3,raw_guarded,bag_2,99,0,80,1
outer_0,retrospective,Cond3,gap_guarded,ridge_100,99,0,80,1
outer_0,retrospective,Cond3,gap_guarded,svr_10,99,0,80,1
outer_0,retrospective,Cond3,gap_guarded,bag_2,99,0,80,1
outer_0,retrospective,Cond3,phase_guarded,ridge_100,99,0,80,0
outer_0,retrospective,Cond3,phase_guarded,svr_10,99,0,80,0
outer_0,retrospective,Cond3,phase_guarded,bag_10,99,0,80,0
outer_1,completed,Cond1,raw_guarded,ridge_1000,167,0,6,2
outer_1,completed,Cond1,raw_guarded,svr_10,167,0,6,2
outer_1,completed,Cond1,raw_guarded,bag_5,167,0,6,2
outer_1,completed,Cond1,gap_guarded,ridge_1000,167,0,6,2
outer_1,completed,Cond1,gap_guarded,svr_10,167,0,6,2
outer_1,completed,Cond1,gap_guarded,bag_5,167,0,6,2
outer_1,completed,Cond1,phase_guarded,ridge_1000,167,0,6,1
outer_1,completed,Cond1,phase_guarded,svr_10,167,0,6,1
outer_1,completed,Cond1,phase_guarded,bag_2,167,0,6,1
outer_1,completed,Cond2,raw_guarded,ridge_100,157,0,8,1
outer_1,completed,Cond2,raw_guarded,svr_10,157,0,8,1
outer_1,completed,Cond2,raw_guarded,bag_5,157,0,8,1
outer_1,completed,Cond2,gap_guarded,ridge_100,157,0,8,1
outer_1,completed,Cond2,gap_guarded,svr_10,157,0,8,1
outer_1,completed,Cond2,gap_guarded,bag_5,157,0,8,1
outer_1,completed,Cond2,phase_guarded,ridge_1000,157,0,8,2
outer_1,completed,Cond2,phase_guarded,svr_100,157,0,8,2
outer_1,completed,Cond2,phase_guarded,bag_2,157,0,8,2
outer_1,completed,Cond3,raw_guarded,ridge_1000,110,0,90,0
outer_1,completed,Cond3,raw_guarded,svr_10,110,0,90,0
outer_1,completed,Cond3,raw_guarded,bag_2,110,0,90,0
outer_1,completed,Cond3,gap_guarded,ridge_1000,110,0,90,0
outer_1,completed,Cond3,gap_guarded,svr_10,110,0,90,0
outer_1,completed,Cond3,gap_guarded,bag_2,110,0,90,0
outer_1,completed,Cond3,phase_guarded,ridge_1000,110,0,90,2
outer_1,completed,Cond3,phase_guarded,svr_10,110,0,90,2
outer_1,completed,Cond3,phase_guarded,bag_2,110,0,90,2
outer_1,retrospective,Cond1,raw_guarded,ridge_1000,167,0,6,2
outer_1,retrospective,Cond1,raw_guarded,svr_10,167,0,6,2
outer_1,retrospective,Cond1,raw_guarded,bag_2,167,0,6,2
outer_1,retrospective,Cond1,gap_guarded,ridge_1000,167,0,6,2
outer_1,retrospective,Cond1,gap_guarded,svr_10,167,0,6,2
outer_1,retrospective,Cond1,gap_guarded,bag_2,167,0,6,2
outer_1,retrospective,Cond1,phase_guarded,ridge_1000,167,0,6,1
outer_1,retrospective,Cond1,phase_guarded,svr_10,167,0,6,1
outer_1,retrospective,Cond1,phase_guarded,bag_2,167,0,6,1
outer_1,retrospective,Cond2,raw_guarded,ridge_1000,157,0,8,1
outer_1,retrospective,Cond2,raw_guarded,svr_10,157,0,8,1
outer_1,retrospective,Cond2,raw_guarded,bag_2,157,0,8,1
outer_1,retrospective,Cond2,gap_guarded,ridge_1000,157,0,8,1
outer_1,retrospective,Cond2,gap_guarded,svr_10,157,0,8,1
outer_1,retrospective,Cond2,gap_guarded,bag_2,157,0,8,1
outer_1,retrospective,Cond2,phase_guarded,ridge_1000,157,0,8,2
outer_1,retrospective,Cond2,phase_guarded,svr_10,157,0,8,2
outer_1,retrospective,Cond2,phase_guarded,bag_2,157,0,8,2
outer_1,retrospective,Cond3,raw_guarded,ridge_1000,110,0,90,0
outer_1,retrospective,Cond3,raw_guarded,svr_10,110,0,90,0
outer_1,retrospective,Cond3,raw_guarded,bag_2,110,0,90,0
outer_1,retrospective,Cond3,gap_guarded,ridge_1000,110,0,90,0
outer_1,retrospective,Cond3,gap_guarded,svr_10,110,0,90,0
outer_1,retrospective,Cond3,gap_guarded,bag_2,110,0,90,0
outer_1,retrospective,Cond3,phase_guarded,ridge_1000,110,0,90,2
outer_1,retrospective,Cond3,phase_guarded,svr_10,110,0,90,2
outer_1,retrospective,Cond3,phase_guarded,bag_2,110,0,90,2
outer_2,completed,Cond1,raw_guarded,ridge_1000,147,0,16,3
outer_2,completed,Cond1,raw_guarded,svr_1000,147,0,16,3
outer_2,completed,Cond1,raw_guarded,bag_2,147,0,16,3
outer_2,completed,Cond1,gap_guarded,ridge_1000,147,0,16,3
outer_2,completed,Cond1,gap_guarded,svr_1000,147,0,16,3
outer_2,completed,Cond1,gap_guarded,bag_2,147,0,16,3
outer_2,completed,Cond1,phase_guarded,ridge_1000,147,0,16,1
outer_2,completed,Cond1,phase_guarded,svr_100,147,0,16,1
outer_2,completed,Cond1,phase_guarded,bag_2,147,0,16,1
outer_2,completed,Cond2,raw_guarded,ridge_10,189,0,10,0
outer_2,completed,Cond2,raw_guarded,svr_100,189,0,10,0
outer_2,completed,Cond2,raw_guarded,bag_5,189,0,10,0
outer_2,completed,Cond2,gap_guarded,ridge_10,189,0,10,0
outer_2,completed,Cond2,gap_guarded,svr_100,189,0,10,0
outer_2,completed,Cond2,gap_guarded,bag_2,189,0,10,0
outer_2,completed,Cond2,phase_guarded,ridge_10,189,0,10,2
outer_2,completed,Cond2,phase_guarded,svr_100,189,0,10,2
outer_2,completed,Cond2,phase_guarded,bag_2,189,0,10,2
outer_2,completed,Cond3,raw_guarded,ridge_1000,90,0,75,0
outer_2,completed,Cond3,raw_guarded,svr_10,90,0,75,0
outer_2,completed,Cond3,raw_guarded,bag_2,90,0,75,0
outer_2,completed,Cond3,gap_guarded,ridge_1000,90,0,75,0
outer_2,completed,Cond3,gap_guarded,svr_10,90,0,75,0
outer_2,completed,Cond3,gap_guarded,bag_2,90,0,75,0
outer_2,completed,Cond3,phase_guarded,ridge_1000,90,0,75,2
outer_2,completed,Cond3,phase_guarded,svr_10,90,0,75,2
outer_2,completed,Cond3,phase_guarded,bag_5,90,0,75,2
outer_2,retrospective,Cond1,raw_guarded,ridge_1000,147,0,16,3
outer_2,retrospective,Cond1,raw_guarded,svr_100,147,0,16,3
outer_2,retrospective,Cond1,raw_guarded,bag_2,147,0,16,3
outer_2,retrospective,Cond1,gap_guarded,ridge_1000,147,0,16,3
outer_2,retrospective,Cond1,gap_guarded,svr_1000,147,0,16,3
outer_2,retrospective,Cond1,gap_guarded,bag_2,147,0,16,3
outer_2,retrospective,Cond1,phase_guarded,ridge_1000,147,0,16,1
outer_2,retrospective,Cond1,phase_guarded,svr_10,147,0,16,1
outer_2,retrospective,Cond1,phase_guarded,bag_2,147,0,16,1
outer_2,retrospective,Cond2,raw_guarded,ridge_1000,189,0,10,0
outer_2,retrospective,Cond2,raw_guarded,svr_10,189,0,10,0
outer_2,retrospective,Cond2,raw_guarded,bag_2,189,0,10,0
outer_2,retrospective,Cond2,gap_guarded,ridge_1000,189,0,10,0
outer_2,retrospective,Cond2,gap_guarded,svr_10,189,0,10,0
outer_2,retrospective,Cond2,gap_guarded,bag_2,189,0,10,0
outer_2,retrospective,Cond2,phase_guarded,ridge_1000,189,0,10,2
outer_2,retrospective,Cond2,phase_guarded,svr_10,189,0,10,2
outer_2,retrospective,Cond2,phase_guarded,bag_2,189,0,10,2
outer_2,retrospective,Cond3,raw_guarded,ridge_1000,90,0,75,0
outer_2,retrospective,Cond3,raw_guarded,svr_10,90,0,75,0
outer_2,retrospective,Cond3,raw_guarded,bag_2,90,0,75,0
outer_2,retrospective,Cond3,gap_guarded,ridge_1000,90,0,75,0
outer_2,retrospective,Cond3,gap_guarded,svr_10,90,0,75,0
outer_2,retrospective,Cond3,gap_guarded,bag_2,90,0,75,0
outer_2,retrospective,Cond3,phase_guarded,ridge_1000,90,0,75,2
outer_2,retrospective,Cond3,phase_guarded,svr_10,90,0,75,2
outer_2,retrospective,Cond3,phase_guarded,bag_10,90,0,75,2
outer_3,completed,Cond1,raw_guarded,ridge_1000,91,0,5,3
outer_3,completed,Cond1,raw_guarded,svr_10,91,0,5,3
outer_3,completed,Cond1,raw_guarded,bag_2,91,0,5,3
outer_3,completed,Cond1,gap_guarded,ridge_1000,91,0,5,1
outer_3,completed,Cond1,gap_guarded,svr_10,91,0,5,1
outer_3,completed,Cond1,gap_guarded,bag_2,91,0,5,1
outer_3,completed,Cond1,phase_guarded,ridge_1000,91,0,5,2
outer_3,completed,Cond1,phase_guarded,svr_10,91,0,5,2
outer_3,completed,Cond1,phase_guarded,bag_2,91,0,5,2
outer_3,completed,Cond2,raw_guarded,ridge_100,77,0,6,6
outer_3,completed,Cond2,raw_guarded,svr_10,77,0,6,6
outer_3,completed,Cond2,raw_guarded,bag_2,77,0,6,6
outer_3,completed,Cond2,gap_guarded,ridge_100,77,0,6,6
outer_3,completed,Cond2,gap_guarded,svr_10,77,0,6,6
outer_3,completed,Cond2,gap_guarded,bag_2,77,0,6,6
outer_3,completed,Cond2,phase_guarded,ridge_100,77,0,6,3
outer_3,completed,Cond2,phase_guarded,svr_10,77,0,6,3
outer_3,completed,Cond2,phase_guarded,bag_2,77,0,6,3
outer_3,completed,Cond3,raw_guarded,ridge_1000,20,0,17,0
outer_3,completed,Cond3,raw_guarded,svr_10,20,0,17,0
outer_3,completed,Cond3,raw_guarded,bag_10,20,0,17,0
outer_3,completed,Cond3,gap_guarded,ridge_1000,20,0,17,0
outer_3,completed,Cond3,gap_guarded,svr_10,20,0,17,0
outer_3,completed,Cond3,gap_guarded,bag_10,20,0,17,0
outer_3,completed,Cond3,phase_guarded,ridge_1000,20,0,17,0
outer_3,completed,Cond3,phase_guarded,svr_10,20,0,17,0
outer_3,completed,Cond3,phase_guarded,bag_10,20,0,17,0
outer_3,retrospective,Cond1,raw_guarded,ridge_1000,91,0,5,3
outer_3,retrospective,Cond1,raw_guarded,svr_10,91,0,5,3
outer_3,retrospective,Cond1,raw_guarded,bag_2,91,0,5,3
outer_3,retrospective,Cond1,gap_guarded,ridge_1000,91,0,5,1
outer_3,retrospective,Cond1,gap_guarded,svr_10,91,0,5,1
outer_3,retrospective,Cond1,gap_guarded,bag_2,91,0,5,1
outer_3,retrospective,Cond1,phase_guarded,ridge_1000,91,0,5,2
outer_3,retrospective,Cond1,phase_guarded,svr_10,91,0,5,2
outer_3,retrospective,Cond1,phase_guarded,bag_2,91,0,5,2
outer_3,retrospective,Cond2,raw_guarded,ridge_1000,77,0,6,6
outer_3,retrospective,Cond2,raw_guarded,svr_10,77,0,6,6
outer_3,retrospective,Cond2,raw_guarded,bag_2,77,0,6,6
outer_3,retrospective,Cond2,gap_guarded,ridge_1000,77,0,6,6
outer_3,retrospective,Cond2,gap_guarded,svr_10,77,0,6,6
outer_3,retrospective,Cond2,gap_guarded,bag_2,77,0,6,6
outer_3,retrospective,Cond2,phase_guarded,ridge_1000,77,0,6,3
outer_3,retrospective,Cond2,phase_guarded,svr_1000,77,0,6,3
outer_3,retrospective,Cond2,phase_guarded,bag_2,77,0,6,3
outer_3,retrospective,Cond3,raw_guarded,ridge_1000,20,0,17,0
outer_3,retrospective,Cond3,raw_guarded,svr_10,20,0,17,0
