evaluation,policy,variant,n,fallback_n,fallback_fraction
nested_oof,completed,gap_guarded,1977,400,0.20232675771370764
nested_oof,completed,phase_guarded,1977,403,0.20384420839656045
nested_oof,completed,raw_guarded,1977,402,0.20333839150227617
nested_oof,completed,raw_unprotected,1977,0,0.0
nested_oof,completed,selected,1977,403,0.20384420839656045
nested_oof,retrospective,gap_guarded,1977,400,0.20232675771370764
nested_oof,retrospective,phase_guarded,1977,403,0.20384420839656045
nested_oof,retrospective,raw_guarded,1977,402,0.20333839150227617
nested_oof,retrospective,raw_unprotected,1977,0,0.0
nested_oof,retrospective,selected,1977,401,0.2028325746079919
temporal,completed,gap_guarded,166,35,0.21084337349397592
temporal,completed,phase_guarded,166,36,0.21686746987951808
temporal,completed,raw_guarded,166,35,0.21084337349397592
temporal,completed,raw_unprotected,166,0,0.0
temporal,completed,selected,166,35,0.21084337349397592
temporal,retrospective,gap_guarded,166,35,0.21084337349397592
temporal,retrospective,phase_guarded,166,36,0.21686746987951808
temporal,retrospective,raw_guarded,166,35,0.21084337349397592
temporal,retrospective,raw_unprotected,166,0,0.0
temporal,retrospective,selected,166,35,0.21084337349397592
test,completed,gap_guarded,424,88,0.20754716981132076
test,completed,phase_guarded,424,87,0.20518867924528303
test,completed,raw_guarded,424,87,0.20518867924528303
test,completed,raw_unprotected,424,0,0.0
test,completed,selected,424,88,0.20754716981132076
test,retrospective,gap_guarded,424,88,0.20754716981132076
test,retrospective,phase_guarded,424,87,0.20518867924528303
test,retrospective,raw_guarded,424,87,0.20518867924528303
test,retrospective,raw_unprotected,424,0,0.0
test,retrospective,selected,424,88,0.20754716981132076
validation,completed,gap_guarded,424,91,0.21462264150943397
validation,completed,phase_guarded,424,92,0.2169811320754717
validation,completed,raw_guarded,424,91,0.21462264150943397
validation,completed,raw_unprotected,424,0,0.0
validation,completed,selected,424,91,0.21462264150943397
validation,retrospective,gap_guarded,424,91,0.21462264150943397
validation,retrospective,phase_guarded,424,92,0.2169811320754717
validation,retrospective,raw_guarded,424,91,0.21462264150943397
validation,retrospective,raw_unprotected,424,0,0.0
validation,retrospective,selected,424,91,0.21462264150943397
