partition,policy,model,n,mse,rmse,mae,r2
outer_0,completed,gap_guarded,670,22.971193763808532,4.79282732463924,3.7114865477337395,0.971227511606206
outer_0,completed,phase_guarded,670,42.2870848847562,6.50285205773253,4.9756260084366675,0.9470334597511878
outer_0,completed,previous_control,670,22.089256853182448,4.699920941162994,3.5994588423496436,0.9723321785985253
outer_0,completed,previous_proposed,670,21.996991245630568,4.690095014563198,3.618983396898874,0.9724477455625119
outer_0,completed,raw_guarded,670,23.154462351751338,4.811908389792073,3.7298582665550732,0.9709979591774665
outer_0,completed,raw_unprotected,670,21.93179389069563,4.683139320017677,3.6082943344969145,0.9725294082813701
outer_0,completed,selected,670,23.081880185421884,4.804360538658801,3.7199371809439765,0.9710888717160041
outer_0,retrospective,gap_guarded,670,24.14695062282452,4.913954682618117,3.822728750126376,0.9697548214653366
outer_0,retrospective,paper_v2,670,34.07304616810765,5.83721219145815,4.400631726579464,0.9573219252123647
outer_0,retrospective,phase_guarded,670,37.16264746538484,6.096117409087922,4.652179838000031,0.9534520559151314
outer_0,retrospective,previous_control,670,30.258986258305047,5.500816871911393,4.247695660262869,0.9620992126105027
outer_0,retrospective,previous_proposed,670,26.63596188634941,5.16100396108639,3.9792378397477104,0.966637219113968
outer_0,retrospective,raw_guarded,670,24.245338771980336,4.923955602153653,3.8257388060006994,0.9696315857332811
outer_0,retrospective,raw_unprotected,670,26.83143020959057,5.179906390041288,3.9896395520258485,0.9663923859494561
outer_0,retrospective,selected,670,24.19697520590338,4.919042102473141,3.823535364292136,0.9696921633487912
outer_1,completed,gap_guarded,434,20.322021770283676,4.507995316133733,3.5385389936553184,0.9836858713488585
outer_1,completed,phase_guarded,434,27.61370012984777,5.254873940433564,4.1354251842935135,0.9778322520492956
outer_1,completed,previous_control,434,25.824217922787696,5.081753429947944,4.0552417494943285,0.9792688139856476
outer_1,completed,previous_proposed,434,21.393806459539142,4.625343928784014,3.618612489531564,0.982825463191418
outer_1,completed,raw_guarded,434,20.70316089711157,4.550072625476606,3.569709501863686,0.9833799001802741
outer_1,completed,raw_unprotected,434,24.34798691808753,4.934367935013311,3.8840296602640665,0.9804539038749173
outer_1,completed,selected,434,20.61512256687787,4.540387931320172,3.555765574147764,0.9834505756603961
outer_1,retrospective,gap_guarded,434,29.327425976330588,5.415480216594886,4.200683168849233,0.9764565058637862
outer_1,retrospective,paper_v2,434,31.430537374020133,5.606294442322855,4.4560513342637265,0.9747681684386309
outer_1,retrospective,phase_guarded,434,48.268925116826516,6.9475841208888225,5.454050118500492,0.9612506342572811
outer_1,retrospective,previous_control,434,30.479417030717155,5.520816699612219,4.3603617868567035,0.9755317095773405
outer_1,retrospective,previous_proposed,434,32.731745722602795,5.721166465206444,4.455394145001268,0.9737235833751626
outer_1,retrospective,raw_guarded,434,29.494518570916423,5.430885615709138,4.204330970433764,0.9763223671390303
outer_1,retrospective,raw_unprotected,434,31.891850143320713,5.647286971929151,4.3427870463856255,0.9743978354101628
outer_1,retrospective,selected,434,29.327425976330606,5.415480216594887,4.200683168849235,0.9764565058637862
outer_2,completed,gap_guarded,426,21.696085204240344,4.657905667168491,3.718748475664439,0.9757872647904678
outer_2,completed,phase_guarded,426,29.455319048160632,5.427275471925175,4.20851383916483,0.967127994109923
outer_2,completed,previous_control,426,21.381789477273053,4.6240447096965935,3.7095553243732122,0.9761380174328413
outer_2,completed,previous_proposed,426,22.006487865225665,4.691107317598443,3.8025400867054095,0.9754408567925262
outer_2,completed,raw_guarded,426,21.87286820435466,4.676843829374107,3.7459830036649393,0.9755899757435721
outer_2,completed,raw_unprotected,426,21.58098416774943,4.6455337871712254,3.699014048788282,0.9759157170385422
outer_2,completed,selected,426,21.872868204354663,4.676843829374107,3.74598300366494,0.9755899757435721
outer_2,retrospective,gap_guarded,426,21.143993713960768,4.598259857159094,3.610961722010376,0.9764033964538411
outer_2,retrospective,paper_v2,426,24.589279448395587,4.958757853373724,3.8856603633399676,0.9725584727994694
outer_2,retrospective,phase_guarded,426,27.613954837970827,5.254898175794734,4.0896292589439,0.9691829484312179
outer_2,retrospective,previous_control,426,21.923346803304756,4.682237371524938,3.7404351543376215,0.9755336418502166
outer_2,retrospective,previous_proposed,426,20.119140057592837,4.485436440034887,3.5420510090256916,0.9775471286053589
outer_2,retrospective,raw_guarded,426,21.042181833788735,4.587175801491451,3.598876930670723,0.9765170180621905
outer_2,retrospective,raw_unprotected,426,23.763530187436185,4.874785142694618,3.7870210304219505,0.9734800053255847
outer_2,retrospective,selected,426,21.06452228930548,4.589610254619174,3.606697131214462,0.9764920862125597
outer_3,completed,gap_guarded,188,24.283407010205675,4.927819701470994,3.9381508895938095,0.9564038013886829
outer_3,completed,phase_guarded,188,42.41046380863468,6.512331672191972,5.299031657700377,0.9238601485111931
outer_3,completed,previous_control,188,22.86073774212408,4.781290384626736,3.7914907954038894,0.9589579311260561
outer_3,completed,previous_proposed,188,412.3454329344794,20.306290476955148,5.333895065756535,0.2597128820051502
outer_3,completed,raw_guarded,188,24.050017757575056,4.904081744585326,3.9326145948579416,0.956822807016977
outer_3,completed,raw_unprotected,188,23.081673602482848,4.8043390390856935,3.8669168890789063,0.9585612831744521
outer_3,completed,selected,188,24.366058460820845,4.93619878659894,3.957775884199912,0.956255416565457
outer_3,retrospective,gap_guarded,188,37.33357763268722,6.110120918008679,4.6726312295220644,0.9329747236595911
outer_3,retrospective,paper_v2,188,59.383203392702605,7.706049791735231,5.907947793483132,0.8933888507409005
outer_3,retrospective,phase_guarded,188,44.87163418786191,6.698629276789537,5.132671760468571,0.9194415892610851
outer_3,retrospective,previous_control,188,39.87547140494561,6.314702796248261,4.839945676805419,0.9284112410437592
outer_3,retrospective,previous_proposed,188,38.7277368709376,6.223161324514864,4.741284033481066,0.9304717782112436
outer_3,retrospective,raw_guarded,188,37.91941252557851,6.157874026446019,4.721433654024441,0.9319229694995099
outer_3,retrospective,raw_unprotected,188,37.472189345869786,6.1214532053973745,4.68229557836166,0.9327258729206803
outer_3,retrospective,selected,188,37.33357763268722,6.110120918008679,4.6726312295220644,0.9329747236595911
outer_4,completed,gap_guarded,259,18.29874013768754,4.277702670556655,3.3401788672755037,0.9764820022400605
outer_4,completed,phase_guarded,259,28.127320749399743,5.303519656737377,4.04001335933863,0.9638500650099359
outer_4,completed,previous_control,259,19.026534935353578,4.3619416474035475,3.3767539120825254,0.9755466221924498
outer_4,completed,previous_proposed,259,18.023249057192434,4.245379730623921,3.3119240801600816,0.9768360702559576
outer_4,completed,raw_guarded,259,18.772794086313148,4.332758253850906,3.3824735643466823,0.9758727362677597
outer_4,completed,raw_unprotected,259,18.778363607497084,4.3334009285429715,3.362820882203564,0.9758655781800585
outer_4,completed,selected,259,18.25353448405265,4.272415532699582,3.3154974075468657,0.9765401016749354
outer_4,retrospective,gap_guarded,259,29.28611034698536,5.411664286241836,4.353872766078536,0.9623607596831647
outer_4,retrospective,paper_v2,259,53.537086872577184,7.316904186373987,5.795087090074129,0.9311927990851249
outer_4,retrospective,phase_guarded,259,39.51730108662904,6.286278794853839,4.990943948797854,0.9492113778631077
outer_4,retrospective,previous_control,259,43.132788739130426,6.5675557659703525,5.1689750028339505,0.9445646628503352
outer_4,retrospective,previous_proposed,259,35.71562438666444,5.976255046989246,4.761040512128372,0.9540973876889777
outer_4,retrospective,raw_guarded,259,29.279550703388047,5.411058187026642,4.353783559312066,0.9623691903009157
outer_4,retrospective,raw_unprotected,259,34.89968633336569,5.907595647415765,4.720103115832438,0.955146051649739
outer_4,retrospective,selected,259,29.286110346985364,5.4116642862418365,4.353872766078535,0.9623607596831647
