sample_id,WAFER_ID,STAGE,condition,group_id,start,end
6e12493812a5f565ce96,-4230160598,A,Cond1,CMP-training-000.csv,481805836.333,481806198.0
2be9803bbdbf02137071,-4230160594,B,Cond2,CMP-training-000.csv,481859080.667,481859449.0
0d912928e6272614a0c1,-4230160436,B,Cond2,CMP-training-014.csv,482141791.0,482142175.667
768ed3716ed800b36423,-4230160428,A,Cond1,CMP-training-020.csv,482430691.333,482431049.667
116b8abb85ea208280a5,-4230160424,A,Cond1,CMP-training-020.csv,482345133.333,482345495.333
0e3a81eb0cb986226385,-4230160424,B,Cond2,CMP-training-020.csv,482381855.333,482382217.333
04afdd1c439211c8389d,-4230160416,B,Cond2,CMP-training-014.csv,482164854.333,482165236.667
4da37b8285072d5fce8e,-4230160408,A,Cond1,CMP-training-020.csv,482350570.0,482350934.667
733faafbe969be847e96,-4230160408,B,Cond2,CMP-training-020.csv,482383129.333,482383497.333
bccda63c87bec0a47d9c,-4228160702,A,Cond1,CMP-training-000.csv,481793143.0,481793503.0
faf9b118b6bb6efefe7e,-4228160702,B,Cond2,CMP-training-000.csv,481871532.667,481871905.667
cffaf60b05aca089e80d,-4228160698,B,Cond2,CMP-training-000.csv,481943405.0,481943779.333
6d54594b80801a7f0163,-4228160694,B,Cond2,CMP-training-000.csv,481858881.667,481859250.667
3abcf2a307208ba996a4,-4228160690,A,Cond1,CMP-training-000.csv,481768159.0,481768613.0
35ebfd06335c31593335,-4228160690,B,Cond2,CMP-training-000.csv,481795242.333,481795615.333
aabfebf8e14b506d8151,-4228160686,A,Cond1,CMP-training-000.csv,481809026.333,481809394.0
a977f34f9236cdacff16,-4228160686,B,Cond2,CMP-training-000.csv,481859461.667,481859832.667
351473c7e4037343d255,-4228160682,A,Cond1,CMP-training-000.csv,481793863.0,481794234.0
eaa7a669dfe8f22214a4,-4228160678,A,Cond1,CMP-training-000.csv,481794851.0,481795217.333
d0e1b9e587a5a312fad4,-4228160670,A,Cond1,CMP-training-000.csv,481813433.333,481813791.333
d2d996299d0391e7d6fc,-4228160670,B,Cond2,CMP-training-000.csv,481868673.333,481869045.333
69608816b1a4f857c209,-4228160662,A,Cond1,CMP-training-000.csv,481809224.0,481809586.0
e987ea7f07fb8a25b0dd,-4228160662,B,Cond2,CMP-training-000.csv,482001539.333,482001907.333
8a0ffc2f2fee8840281a,-4228160658,A,Cond1,CMP-training-000.csv,481907439.333,481907792.333
abd2d498ddc961fb5dc1,-4228160658,B,Cond2,CMP-training-000.csv,481948238.667,481948607.667
36c33a438518ee36f0ea,-4228160642,A,Cond1,CMP-training-000.csv,481813238.333,481813602.333
3e8fc3c783193cad51dd,-4228160642,B,Cond2,CMP-training-000.csv,481859661.667,481860040.0
8b02b17c76920c23a405,-4228160608,B,Cond2,CMP-training-000.csv,481777785.333,481778151.667
b886a352d8b662dc1118,-4228160604,A,Cond1,CMP-training-000.csv,481750382.0,481750755.333
e1d70ef84f51e97ba0b7,-4228160600,A,Cond1,CMP-training-000.csv,481732741.667,481733100.333
d8d132b69ad481892b4a,-4228160600,B,Cond2,CMP-training-000.csv,481757343.333,481757709.333
06c4e2ce0edf6cb6963e,-4228160596,A,Cond1,CMP-training-000.csv,481732545.333,481732909.333
8a0e21deec15547d6452,-4228160596,B,Cond2,CMP-training-000.csv,481767958.0,481768519.0
1202e8a96e82096f8f00,-4228160580,A,Cond1,CMP-training-000.csv,481734905.333,481735276.333
5967fa72261c0fd8db68,-4228160580,B,Cond2,CMP-training-000.csv,481767353.667,481767728.0
d7436ce2f1d8c85543ee,-4226160424,A,Cond1,CMP-training-000.csv,481698999.667,481699360.667
1d00227e7a238234e187,-4226160424,B,Cond2,CMP-training-000.csv,481741434.333,481741820.333
7961971dc74deb9a0ca0,-4226160416,A,Cond1,CMP-training-000.csv,481734523.333,481734877.333
5fe6dba94c362366a1f5,-4226160416,B,Cond2,CMP-training-000.csv,481767557.0,481767928.0
3b03297e1603ab9b5488,-4226160408,B,Cond2,CMP-training-000.csv,481770924.667,481771740.333
5b1b682b0465237b3156,-4226160404,B,Cond2,CMP-training-000.csv,481747927.0,481748298.0
992be32d31162a019ccb,-4226160396,A,Cond1,CMP-training-000.csv,481731974.0,481732335.0
9b4c85f86c219eb6cf56,-4226160396,B,Cond2,CMP-training-000.csv,481757157.667,481757512.0
68495d6c21e8fa63fb20,-4224160702,B,Cond2,CMP-training-000.csv,481707945.0,481708309.333
6242717d11439aa52fa0,-4224160694,A,Cond1,CMP-training-000.csv,481663515.667,481663885.667
f762b66e2365dad1ec3b,-4224160694,B,Cond2,CMP-training-000.csv,481701519.667,481701886.0
7f904efd7bcecf749eaa,-4224160690,A,Cond1,CMP-training-000.csv,481664113.667,481664483.667
8d5b52254a54ef95fcae,-4224160690,B,Cond2,CMP-training-000.csv,481700906.0,481701288.667
0dcde823a8ec97462306,-4224160662,A,Cond1,CMP-training-000.csv,481716938.333,481717297.667
aacc07fb34b57f2be4b7,-4224160662,B,Cond2,CMP-training-000.csv,481771127.0,481771836.0
54ea818ed17d5c548e38,-4224160654,A,Cond1,CMP-training-000.csv,481732164.0,481732522.0
fd8805cdd710fc87a674,-4224160650,A,Cond1,CMP-training-000.csv,481701322.0,481701692.333
aa833edfcfe52111805a,-4224160650,B,Cond2,CMP-training-000.csv,481749482.0,481749862.0
a9bcbd71b5af4b4cbfaf,-4224160646,A,Cond1,CMP-training-000.csv,481692872.667,481693234.0
dde928a156646f905507,-4224160600,A,Cond1,CMP-training-000.csv,481637828.333,481638184.667
d526e090eb99bb64a8e6,-4224160600,B,Cond2,CMP-training-000.csv,481673940.667,481674317.667
a5e6e66b9b2c6cb855ef,-4224160592,B,Cond2,CMP-training-000.csv,481674149.333,481674521.667
44e52ff08d7fb0d81b3c,-4224160584,B,Cond2,CMP-training-000.csv,481635534.333,481635901.667
92ab94f2d7cb1cf50313,-4224160580,B,Cond2,CMP-training-000.csv,481635733.333,481636100.333
b138af2c252c3f59740c,-4222160606,B,Cond2,CMP-training-014.csv,482153871.0,482154262.333
7ecd59b97bf6a9ca99f7,-4222160590,B,Cond2,CMP-training-029.csv,482540251.333,482540623.333
81bbf59aff29dd99a51d,-4222160582,B,Cond2,CMP-training-014.csv,482132840.667,482133218.0
0a2c26346b639a082c05,-4222160578,B,Cond2,CMP-training-014.csv,482191507.0,482191873.0
14da02e0a2f258f43603,-4222160448,A,Cond1,CMP-training-014.csv,482154670.333,482155040.0
3841eeb50e1c679c03fa,-4222160432,B,Cond2,CMP-training-014.csv,482178962.0,482179333.0
77daff006f1cea9002a0,-4222160428,A,Cond1,CMP-training-014.csv,482121956.333,482122326.333
d4f5c7dae132fc849ba7,-4222160428,B,Cond2,CMP-training-014.csv,482165258.333,482165625.667
1857a1493ada7d76bed0,-4222160420,A,Cond1,CMP-training-014.csv,482121754.0,482122125.333
92d8fe506f357432916d,-4222160392,A,Cond1,CMP-training-014.csv,482122156.0,482122525.333
e846bea1cb1c675637b1,-4220160702,A,Cond1,CMP-training-020.csv,482321106.0,482321462.333
da664178fb95e3ac7ac5,-4220160702,B,Cond2,CMP-training-020.csv,482362507.333,482362873.0
ba50cafcb4b9a7822c89,-4220160694,A,Cond1,CMP-training-020.csv,482347092.0,482347451.0
a27f65a9d51515d62208,-4220160686,B,Cond2,CMP-training-020.csv,482314482.0,482314846.0
2d9caeef18825482c0b3,-4220160682,B,Cond2,CMP-training-014.csv,482157722.333,482158099.333
85614a746352d5cd2a3e,-4220160678,B,Cond2,CMP-training-014.csv,482165655.333,482166024.667
8d15b2de5138dd86be60,-4220160674,A,Cond1,CMP-training-014.csv,482123177.0,482123543.0
f134708f5da7f0cd73a9,-4220160650,A,Cond1,CMP-training-059.csv,483462545.667,483462914.0
453e03f583f92e4e3248,-4220160646,A,Cond1,CMP-training-020.csv,482463961.667,482464322.0
186c9d4e7c876c1ae049,-4220160646,B,Cond2,CMP-training-020.csv,482644025.667,482644387.667
74051d2f391a63f8431a,-4220160604,A,Cond1,CMP-training-014.csv,482154872.0,482155239.667
28b351aaa3c696b0d7d9,-4220160604,B,Cond2,CMP-training-014.csv,482191113.333,482191482.0
ef0ce55340eae7563b1c,-4216160702,A,Cond1,CMP-training-013.csv,482011960.667,482012330.333
3c31cc18b1eeb62ef763,-4216160694,A,Cond1,CMP-training-013.csv,482012162.333,482012532.333
7540e22cad3ceb061079,-4216160690,B,Cond2,CMP-training-014.csv,482126742.333,482127124.333
8c13374f71f9648f9867,-4216160670,A,Cond1,CMP-training-000.csv,481938760.333,481939129.0
5e5d579570007a23d7eb,-4216160670,B,Cond2,CMP-training-000.csv,481985637.0,481986010.0
d7d7474c81d8e5810c15,-4216160666,A,Cond1,CMP-training-000.csv,481906464.0,481906824.333
4907a2a11e59261d4b86,-4216160662,A,Cond1,CMP-training-000.csv,481925572.0,481925944.0
eb66e937c4abfef983d0,-4216160658,A,Cond1,CMP-training-000.csv,481951771.667,481952143.667
e559fce816f947034c61,-4216160650,A,Cond1,CMP-training-000.csv,481952369.0,481952733.667
126cd89115fe38621500,-4216160646,B,Cond2,CMP-training-000.csv,481987307.0,481987679.667
3e5745badbe990ad0b06,-4216160642,A,Cond1,CMP-training-013.csv,482011756.333,482012130.333
041d6559d0ccd87a01af,-4216160640,A,Cond1,CMP-training-020.csv,482357475.0,482357832.0
07c601a6147558842993,-4216160640,B,Cond2,CMP-training-020.csv,482409552.0,482409912.0
9a132ed310956d20af13,-4216160624,A,Cond1,CMP-training-000.csv,481912384.333,481912749.333
b389505019dd9940d414,-4216160624,B,Cond2,CMP-training-000.csv,481957469.333,481957839.0
ee7dfee081c5d9ca41cd,-4210160444,A,Cond1,CMP-training-020.csv,482312584.667,482312948.667
d6ba91dec59bc6c291ca,-4210160444,B,Cond2,CMP-training-020.csv,482356900.0,482357265.0
58d2128e80e980fb65f7,-4208160362,A,Cond1,CMP-training-018.csv,482222435.0,482222787.333
250617e7063072619ee0,-4141512120,A,Cond1,CMP-training-020.csv,482375990.0,482376351.0
6b51cf40fe5ba0e98675,-4141512120,B,Cond2,CMP-training-020.csv,482415285.333,482415654.0
ad1002f388a918ae688b,-4141512112,B,Cond2,CMP-training-014.csv,482200309.667,482200661.333
7752a6a5d7d821afe1dc,-4141512104,B,Cond2,CMP-training-020.csv,482415089.0,482415454.0
1ce3c6b2e7021b990226,-4141512096,A,Cond1,CMP-training-020.csv,482658568.333,482658939.333
aa7f2e6d6f77a19fcff1,-4141512096,B,Cond2,CMP-training-020.csv,482698187.667,482698569.333
8f2cee58894e52e1f320,-4141512092,B,Cond2,CMP-training-020.csv,482659155.333,482659520.667
dfaae2fe4fd0f12fb599,-4141512072,A,Cond1,CMP-training-020.csv,482622764.333,482623125.667
9fccd3a12bfc96e1651b,-4139512020,B,Cond2,CMP-training-020.csv,482706306.333,482706675.333
f4e15565b1481af0c236,-4139512004,A,Cond1,CMP-training-020.csv,482622187.0,482622550.0
ca583f0ad0211cd771a8,-4139512004,B,Cond2,CMP-training-020.csv,482659352.667,482659717.333
93b486b601f1d2b2546a,-4139511866,A,Cond1,CMP-training-020.csv,482648537.333,482648899.333
641fa945c9e4a10be8b1,-4139511854,A,Cond1,CMP-training-020.csv,482658960.333,482659326.333
c10d5eb3d1b7b7be8f66,-4139511854,B,Cond2,CMP-training-020.csv,482698588.333,482698951.333
87cb7176b9c6d517bfe6,-4139511850,A,Cond1,CMP-training-020.csv,482658765.667,482659131.333
1162bc74b96e937eb78d,-4139511850,B,Cond2,CMP-training-020.csv,482698395.333,482698759.333
065009dcf80d9db0c2c5,-4139511842,A,Cond1,CMP-training-020.csv,482622380.0,482622752.0
3f09e25ab98b92f5fd09,-4139511842,B,Cond2,CMP-training-020.csv,482655217.333,482655584.333
c99cc22411534299529e,-4139511834,B,Cond2,CMP-training-020.csv,482703482.667,482703838.333
868967d88bbe6de2936f,-4139511830,B,Cond2,CMP-training-020.csv,482700746.333,482701122.333
5915607beccd9fea86f9,-4139511826,A,Cond1,CMP-training-020.csv,482652448.333,482652809.333
5f85b3b53c1ea7b9caa7,-4139511826,B,Cond2,CMP-training-020.csv,482703194.333,482703564.667
f799f0e4bb0a091815b2,-4113511826,A,Cond1,CMP-training-000.csv,481696803.667,481697173.333
3d8d5ab81cd414c139d6,-4113511826,B,Cond2,CMP-training-000.csv,481741861.333,481742244.333
63f53d160afb7ded1c8e,-4113511822,B,Cond2,CMP-training-000.csv,481718846.0,481719222.667
1138e94a205a683256cf,-4113511818,A,Cond1,CMP-training-000.csv,481634409.667,481634783.667
deb8c56a8a065bc563f4,-4113511818,B,Cond2,CMP-training-000.csv,481697606.667,481697988.333
369c1a3e76aa298f75dd,-4113511814,A,Cond1,CMP-training-000.csv,481645403.0,481645772.667
bbab691563db880b1976,-4113511814,B,Cond2,CMP-training-000.csv,481695467.333,481695856.333
cf79490e0df97330ab40,-4113511808,A,Cond1,CMP-training-000.csv,481677313.667,481677676.0
db52fd4d3e5abf26f054,-4113511808,B,Cond2,CMP-training-000.csv,481708138.0,481708513.333
c9df686eb8d8acd2012e,-4113511804,B,Cond2,CMP-training-000.csv,481733253.333,481733620.667
71bb64b6261727ce389a,-4113511800,B,Cond2,CMP-training-000.csv,481756099.333,481756475.333
832e2588b27dc2e612fc,-4113511796,A,Cond1,CMP-training-000.csv,481662576.333,481662948.333
7d57d322a34aef2fef83,-4113511796,B,Cond2,CMP-training-000.csv,481718639.667,481719018.0
50aa94e96643de7fceb8,-4113511792,A,Cond1,CMP-training-000.csv,481671145.0,481671522.333
04322e7ae01b4680d35d,-4113511792,B,Cond2,CMP-training-000.csv,481700345.0,481700724.333
9e55e27c51b3f1468e8b,-4113511784,B,Cond2,CMP-training-000.csv,481718433.333,481718811.0
7bc16dc775f95f5d944e,-4113511780,A,Cond1,CMP-training-000.csv,481634613.333,481634982.333
b3721b210ceb79b9df6d,-4113511764,B,Cond2,CMP-training-000.csv,481737220.333,481737601.333
0678b9ab06824fc69616,-4113511756,A,Cond1,CMP-training-000.csv,481681023.0,481681388.0
26fdf7a5d5011647b6ef,-4113511756,B,Cond2,CMP-training-000.csv,481721435.667,481721807.667
6420ef7bdddd242ad55b,-4113511752,A,Cond1,CMP-training-000.csv,481680230.0,481680604.0
6bef49db4e5a38a0503c,-4113511752,B,Cond2,CMP-training-000.csv,481737011.333,481737389.333
7920a0d1b98d1a5a5ca0,-4113511748,A,Cond1,CMP-training-000.csv,481680628.0,481680996.0
5cfa9f94fcf3ede8b23c,-4113511748,B,Cond2,CMP-training-000.csv,481733066.333,481733423.333
a2fab8de1d0ed8453a2e,-4111512062,A,Cond1,CMP-training-020.csv,482361262.0,482361622.333
c6913b39a81fd7ac4495,-4111512058,A,Cond1,CMP-training-020.csv,482369267.0,482369624.0
0143f6c3d6640aaa957b,-4111512058,B,Cond2,CMP-training-020.csv,482422102.333,482422468.333
3ae3d41b2dc600ea6397,-4111512050,A,Cond1,CMP-training-020.csv,482375794.333,482376161.0
b2b7fb62f8bd2bdb8af6,-4111512046,B,Cond2,CMP-training-020.csv,482471945.0,482472305.0
ca22bd9c693d68fbfc84,-4111511824,A,Cond1,CMP-training-000.csv,481697203.333,481697565.333
93659f4971aae77e7cd5,-4111511824,B,Cond2,CMP-training-000.csv,481741649.0,481742032.333
000b67a33cdcbc155900,-4111511820,A,Cond1,CMP-training-000.csv,481680826.0,481681191.0
58336438c8353884b0b8,-4111511820,B,Cond2,CMP-training-000.csv,481736383.333,481736756.333
7c48a414ed1eaa23d6f0,-4111511816,A,Cond1,CMP-training-014.csv,482180486.0,482180849.0
