evaluation,policy,model,dimension,value,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
nested_oof,completed,gap_guarded,all,all,1977,21.62753858403691,4.650541751671186,3.647995677657591,0.9760371725119514,0.04520627110572199,4.5206271105722,1.4376553677611958,0.4376553677611959,False
nested_oof,completed,gap_guarded,STAGE,A,1162,18.19749945953492,4.265852723610476,3.273449907199545,0.9865131808675004,0.03950244001671879,3.950244001671879,1.3821216844138418,0.3821216844138417,False
nested_oof,completed,gap_guarded,STAGE,B,815,26.517974734553842,5.149560635098284,4.182010628911884,0.6829025221368186,0.05333860451114742,5.3338604511147425,1.5168334537116568,0.5168334537116568,False
nested_oof,completed,gap_guarded,condition,Cond1,798,20.80995278422045,4.561792716051492,3.53332294157824,0.5294006974422594,0.04939578816187901,4.939578816187901,1.4236804845029865,0.42368048450298657,False
nested_oof,completed,gap_guarded,condition,Cond2,815,26.517974734553842,5.149560635098284,4.182010628911884,0.6829025221368186,0.05333860451114742,5.3338604511147425,1.5168334537116568,0.5168334537116568,False
nested_oof,completed,gap_guarded,condition,Cond3,364,12.47019794003203,3.5313167430906036,2.703728254907791,0.17778669448762363,0.017813176775405976,1.7813176775405974,1.291012007295332,0.29101200729533194,False
nested_oof,completed,phase_guarded,all,all,1977,34.45766409396806,5.870065084304267,4.5340679124109995,0.9618216813200219,0.056637078030804595,5.6637078030804595,1.6018587237663215,0.6018587237663217,False
nested_oof,completed,phase_guarded,STAGE,A,1162,20.246632272751988,4.499625792524528,3.419635423059202,0.9849944950891724,0.04166518719120837,4.166518719120837,1.412191533394322,0.412191533394322,False
nested_oof,completed,phase_guarded,STAGE,B,815,54.71928246973873,7.397248303912661,6.122988835879451,0.3456760316228922,0.07798350398860927,7.7983503988609275,1.8722799203457863,0.8722799203457864,False
nested_oof,completed,phase_guarded,condition,Cond1,798,23.898788607709957,4.888638727469024,3.757683802086962,0.45954931434100843,0.05261266195696502,5.261266195696502,1.4682467723278827,0.46824677232788264,False
nested_oof,completed,phase_guarded,condition,Cond2,815,54.71928246973873,7.397248303912661,6.122988835879451,0.3456760316228922,0.07798350398860927,7.7983503988609275,1.8722799203457863,0.8722799203457864,False
nested_oof,completed,phase_guarded,condition,Cond3,364,12.239981846113356,3.4985685424346564,2.678529361344498,0.1929658228762251,0.017664954050895697,1.7664954050895698,1.2893012018861314,0.28930120188613134,False
nested_oof,completed,previous_control,all,all,1977,22.428854947504465,4.735911205618668,3.7123229360663097,0.9751493319605862,0.04603330814099734,4.603330814099734,1.4532754919236461,0.4532754919236461,False
nested_oof,completed,previous_control,STAGE,A,1162,18.25565734711378,4.272663963748352,3.2608830790839933,0.9864700779723665,0.03911485233188026,3.9114852331880257,1.3840718324396535,0.38407183243965337,False
nested_oof,completed,previous_control,STAGE,B,815,28.378861832969466,5.327181415436259,4.355970928475453,0.6606503474740668,0.05589741323325998,5.589741323325998,1.551943776979351,0.5519437769793509,False
nested_oof,completed,previous_control,condition,Cond1,798,20.382685908355068,4.514718807229866,3.449739152210624,0.5390629727906562,0.048372152534686394,4.8372152534686395,1.414824991567017,0.41482499156701697,False
nested_oof,completed,previous_control,condition,Cond2,815,28.378861832969466,5.327181415436259,4.355970928475453,0.6606503474740668,0.05589741323325998,5.589741323325998,1.551943776979351,0.5519437769793509,False
nested_oof,completed,previous_control,condition,Cond3,364,13.592556270546337,3.686808412508892,2.846852457229456,0.10378482560476676,0.018820001887266784,1.8820001887266784,1.3166514451219717,0.3166514451219718,False
nested_oof,completed,previous_proposed,all,all,1977,58.465666598934526,7.646284496337716,3.7813046952145366,0.9352213532187106,0.04691963227144146,4.6919632271441465,539202.9670562578,539201.9670562578,False
nested_oof,completed,previous_proposed,STAGE,A,1162,17.892243670478923,4.229922418966916,3.2558392451941147,0.9867394168745574,0.039052810606669784,3.9052810606669786,1.3776991630042483,0.3776991630042481,False
nested_oof,completed,previous_proposed,STAGE,B,815,116.31390886011906,10.784892621631384,4.530495925795801,-0.39086214196788105,0.058135885982441085,5.813588598244109,1307978.730041465,1307977.730041465,False
nested_oof,completed,previous_proposed,condition,Cond1,798,20.14650694850082,4.488486041918903,3.4835699479553384,0.5444039581806133,0.04855914182723112,4.855914182723112,1.410861331760545,0.410861331760545,False
nested_oof,completed,previous_proposed,condition,Cond2,815,116.31390886011906,10.784892621631384,4.530495925795801,-0.39086214196788105,0.058135885982441085,5.813588598244109,1307978.730041465,1307977.730041465,False
nested_oof,completed,previous_proposed,condition,Cond3,364,12.950204945584753,3.5986393186293,2.7565834737560464,0.14613778653904708,0.01821200754620842,1.8212007546208422,1.3049974853462125,0.30499748534621257,False
nested_oof,completed,raw_guarded,all,all,1977,21.85132041823678,4.674539594252763,3.671947354052143,0.9757892272607128,0.045519061543375025,4.551906154337503,1.4408725590092184,0.4408725590092187,False
