evaluation,policy,reference,reference_mse,selected_mse,mse_reduction_percent,delta_low,delta_high
nested_oof,completed,raw_unprotected,22.08284182917847,21.769422961718107,1.4192868376489365,-2.47783355334801,1.3363244472663656
nested_oof,completed,raw_guarded,21.85132041823678,21.769422961718107,0.37479408544265347,-0.2666704309601875,0.08030825925553721
nested_oof,completed,previous_control,22.428854947504465,21.769422961718107,2.9401054459970544,-3.0948769260027036,0.9519604421819351
nested_oof,completed,previous_proposed,58.465666598934526,21.769422961718107,62.76545838251876,-124.49503632143394,0.9865257184788294
nested_oof,retrospective,raw_unprotected,29.350114021163343,26.564177001386593,9.492082442228023,-4.28598265983707,-1.3153939472696556
nested_oof,retrospective,raw_guarded,26.66728410985575,26.564177001386593,0.38664270438791837,-0.24851315920024422,0.06605073990649055
nested_oof,retrospective,previous_control,31.112248067864446,26.564177001386593,14.618265631455651,-7.56732697664536,-1.9947934342666809
nested_oof,retrospective,previous_proposed,28.90924988360173,26.564177001386593,8.111842720434403,-4.427792464556394,-0.09294439900121575
nested_oof,retrospective,paper_v2,36.406158288213945,26.564177001386593,27.033836443032698,-15.78962477384772,-3.9777213870203862
temporal,completed,raw_unprotected,11.759083073458537,11.771405848313242,-0.1047936712218478,-0.7773293537218915,1.4568909744962495
temporal,completed,raw_guarded,11.53180587699628,11.771405848313242,-2.077731570169039,-0.4866865066874815,0.6673134460888117
temporal,completed,previous_control,12.420051911737461,11.771405848313242,5.222571274530852,-1.4514891884118353,0.34804536275973197
temporal,completed,previous_proposed,12.463494235853128,11.771405848313242,5.552924199611608,-2.0937779749531704,-0.040129355867583684
temporal,retrospective,raw_unprotected,33.04844591357928,30.21455123635806,8.57497107316868,-6.580080837798876,5.448719740050348
temporal,retrospective,raw_guarded,29.64326833404958,30.21455123635806,-1.9271926964014252,-0.21840822463782864,2.2444299141895856
temporal,retrospective,previous_control,39.323954539524884,30.21455123635806,23.1650234820887,-13.082218906080104,-0.331177591109434
temporal,retrospective,previous_proposed,39.72571345551108,30.21455123635806,23.94208030978372,-14.2034927920012,0.7652181986198584
temporal,retrospective,paper_v2,32.436459824110194,30.21455123635806,6.850034189306253,-7.6588621791207,-0.08288236702508657
test,completed,raw_unprotected,8.976766993746285,8.949090955954565,0.30830740968323944,,
test,completed,raw_guarded,8.983580526294938,8.949090955954565,0.3839178625874351,,
test,completed,previous_control,9.345806829946223,8.949090955954565,4.244854202640747,,
test,completed,previous_proposed,9.272973705301716,8.949090955954565,3.4927603554184006,,
test,retrospective,raw_unprotected,7.697117712996105,7.297972627524649,5.185643514292693,,
test,retrospective,raw_guarded,7.257486922209385,7.297972627524649,-0.5578474442905046,,
test,retrospective,previous_control,7.727472077593047,7.297972627524649,5.558084788346185,,
test,retrospective,previous_proposed,7.827875288254085,7.297972627524649,6.769431566245931,,
test,retrospective,paper_v2,7.074313480095856,7.297972627524649,-3.1615668157493504,,
validation,completed,raw_unprotected,8.936409224321785,8.540213130821956,4.433504370206354,,
validation,completed,raw_guarded,8.527361561921428,8.540213130821956,-0.15070979232212345,,
validation,completed,previous_control,8.995549971273991,8.540213130821956,5.061801022795597,,
validation,completed,previous_proposed,8.762743038459913,8.540213130821956,2.539500549785245,,
validation,retrospective,raw_unprotected,7.771663356344782,7.293952380601348,6.146830528286218,,
validation,retrospective,raw_guarded,7.3422705298841455,7.293952380601348,0.6580818438402081,,
validation,retrospective,previous_control,7.611467318975251,7.293952380601348,4.171533885225309,,
validation,retrospective,previous_proposed,7.978812212560368,7.293952380601348,8.583481020908145,,
validation,retrospective,paper_v2,6.827695951448246,7.293952380601348,-6.828898540132022,,
