partition,condition,arm,component,weight
outer_0,Cond1,original,P2_Persistent,0.06264435495358646
outer_0,Cond1,original,P2_KNN,0.06178473445149456
outer_0,Cond1,original,P2_LR,1.90198427728946e-11
outer_0,Cond1,original,P2_SVR,0.304161203378331
outer_0,Cond1,original,P2_Bagging,0.571409707197568
outer_0,Cond1,primary_only,P2_Persistent,0.06196202872093843
outer_0,Cond1,primary_only,P2_KNN,0.0611117712591258
outer_0,Cond1,primary_only,P2_LR,0.006821024388772212
outer_0,Cond1,primary_only,P2_SVR,0.30604005392363476
outer_0,Cond1,primary_only,P2_Bagging,0.5640651217075288
outer_0,Cond2,original,P2_Persistent,0.04920423770080526
outer_0,Cond2,original,P2_KNN,0.05631332992499189
outer_0,Cond2,original,P2_LR,4.2960258955722106e-09
outer_0,Cond2,original,P2_SVR,0.2628070308160511
outer_0,Cond2,original,P2_Bagging,0.6316753972621258
outer_0,Cond2,primary_only,P2_Persistent,0.046914370582077786
outer_0,Cond2,primary_only,P2_KNN,0.05369261982832515
outer_0,Cond2,primary_only,P2_LR,2.171689929935974e-08
outer_0,Cond2,primary_only,P2_SVR,0.23991755621423272
outer_0,Cond2,primary_only,P2_Bagging,0.6594754316584651
outer_0,Cond3,original,P2_Persistent,0.11238802312727379
outer_0,Cond3,original,P2_KNN,0.2328109944826843
outer_0,Cond3,original,P2_LR,0.0006734983047339488
outer_0,Cond3,original,P2_SVR,0.24351389692873013
outer_0,Cond3,original,P2_Bagging,0.4106135871565778
outer_0,Cond3,primary_only,P2_Persistent,0.11842538029893938
outer_0,Cond3,primary_only,P2_KNN,0.2453173371344356
outer_0,Cond3,primary_only,P2_LR,0.005004267958821438
outer_0,Cond3,primary_only,P2_SVR,0.2118029871298988
outer_0,Cond3,primary_only,P2_Bagging,0.4194500274779048
outer_1,Cond1,original,P2_Persistent,0.06263492521144072
outer_1,Cond1,original,P2_KNN,0.15754091593561842
outer_1,Cond1,original,P2_LR,1.064520957563048e-07
outer_1,Cond1,original,P2_SVR,0.315391535807585
outer_1,Cond1,original,P2_Bagging,0.46443251659326
outer_1,Cond1,primary_only,P2_Persistent,0.0620948508431557
outer_1,Cond1,primary_only,P2_KNN,0.15618250750189314
outer_1,Cond1,primary_only,P2_LR,0.005521757070696113
outer_1,Cond1,primary_only,P2_SVR,0.28677387810373833
outer_1,Cond1,primary_only,P2_Bagging,0.4894270064805167
outer_1,Cond2,original,P2_Persistent,0.05605349756275728
outer_1,Cond2,original,P2_KNN,0.04569206769836181
outer_1,Cond2,original,P2_LR,4.093683154468497e-09
outer_1,Cond2,original,P2_SVR,0.23422518909038048
outer_1,Cond2,original,P2_Bagging,0.6640292415548172
outer_1,Cond2,primary_only,P2_Persistent,0.046087554462790996
outer_1,Cond2,primary_only,P2_KNN,0.03756831866215123
outer_1,Cond2,primary_only,P2_LR,2.4763147233525958e-11
outer_1,Cond2,primary_only,P2_SVR,0.3203784991499041
outer_1,Cond2,primary_only,P2_Bagging,0.5959656277003905
outer_1,Cond3,original,P2_Persistent,0.09802966076947833
outer_1,Cond3,original,P2_KNN,0.2428920707017457
outer_1,Cond3,original,P2_LR,8.495858947329736e-05
outer_1,Cond3,original,P2_SVR,0.2568276435174556
outer_1,Cond3,original,P2_Bagging,0.40216566642184715
outer_1,Cond3,primary_only,P2_Persistent,0.0716551802916729
outer_1,Cond3,primary_only,P2_KNN,0.17754294956175404
outer_1,Cond3,primary_only,P2_LR,0.25388935907077304
outer_1,Cond3,primary_only,P2_SVR,0.19138674212612597
outer_1,Cond3,primary_only,P2_Bagging,0.30552576894967404
outer_2,Cond1,original,P2_Persistent,0.12953838677436522
outer_2,Cond1,original,P2_KNN,0.11840615968480774
outer_2,Cond1,original,P2_LR,8.743694926630368e-07
outer_2,Cond1,original,P2_SVR,0.2728271908649056
outer_2,Cond1,original,P2_Bagging,0.47922738830642875
outer_2,Cond1,primary_only,P2_Persistent,0.0879890032424161
outer_2,Cond1,primary_only,P2_KNN,0.08042743334897179
outer_2,Cond1,primary_only,P2_LR,0.31372662900503884
outer_2,Cond1,primary_only,P2_SVR,0.2032196982210272
outer_2,Cond1,primary_only,P2_Bagging,0.3146372361825461
outer_2,Cond2,original,P2_Persistent,0.06195123402347842
outer_2,Cond2,original,P2_KNN,0.02203380761194906
outer_2,Cond2,original,P2_LR,6.000583076495294e-14
outer_2,Cond2,original,P2_SVR,0.23111102143189066
outer_2,Cond2,original,P2_Bagging,0.6849039369326219
outer_2,Cond2,primary_only,P2_Persistent,0.05831222445214945
outer_2,Cond2,primary_only,P2_KNN,0.020739543856648942
outer_2,Cond2,primary_only,P2_LR,1.3209214165254325e-09
outer_2,Cond2,primary_only,P2_SVR,0.2531081474371334
outer_2,Cond2,primary_only,P2_Bagging,0.6678400829331469
outer_2,Cond3,original,P2_Persistent,0.1233687045675362
outer_2,Cond3,original,P2_KNN,0.1906708717109958
outer_2,Cond3,original,P2_LR,0.0896401455842088
outer_2,Cond3,original,P2_SVR,0.2320688989899019
outer_2,Cond3,original,P2_Bagging,0.36425137914735733
outer_2,Cond3,primary_only,P2_Persistent,0.10813041576223388
outer_2,Cond3,primary_only,P2_KNN,0.1671195357374521
outer_2,Cond3,primary_only,P2_LR,0.18710443823178563
outer_2,Cond3,primary_only,P2_SVR,0.2022445617756555
outer_2,Cond3,primary_only,P2_Bagging,0.33540104849287283
outer_3,Cond1,original,P2_Persistent,0.07556666924404282
outer_3,Cond1,original,P2_KNN,0.15490251879066927
outer_3,Cond1,original,P2_LR,7.827699562925014e-05
outer_3,Cond1,original,P2_SVR,0.23810736863863172
outer_3,Cond1,original,P2_Bagging,0.531345166331027
outer_3,Cond1,primary_only,P2_Persistent,0.050336376678745895
outer_3,Cond1,primary_only,P2_KNN,0.10318347510001342
outer_3,Cond1,primary_only,P2_LR,0.30328635570640394
outer_3,Cond1,primary_only,P2_SVR,0.1684166932078867
outer_3,Cond1,primary_only,P2_Bagging,0.3747770993069501
outer_3,Cond2,original,P2_Persistent,0.07704903787380064
outer_3,Cond2,original,P2_KNN,0.04935244358246428
outer_3,Cond2,original,P2_LR,3.0863593727248415e-06
outer_3,Cond2,original,P2_SVR,0.3122902971984194
outer_3,Cond2,original,P2_Bagging,0.561305134985943
outer_3,Cond2,primary_only,P2_Persistent,0.06352454525333698
outer_3,Cond2,primary_only,P2_KNN,0.04068956111888131
outer_3,Cond2,primary_only,P2_LR,0.023864749995795197
outer_3,Cond2,primary_only,P2_SVR,0.3946597122637775
outer_3,Cond2,primary_only,P2_Bagging,0.47726143136820903
outer_3,Cond3,original,P2_Persistent,0.14061544073894086
outer_3,Cond3,original,P2_KNN,0.21289742459593225
outer_3,Cond3,original,P2_LR,0.03362465077033469
outer_3,Cond3,original,P2_SVR,0.21470395005533424
outer_3,Cond3,original,P2_Bagging,0.39815853383945804
outer_3,Cond3,primary_only,P2_Persistent,0.11999380210752773
outer_3,Cond3,primary_only,P2_KNN,0.18167543551347703
outer_3,Cond3,primary_only,P2_LR,0.21728651241875516
outer_3,Cond3,primary_only,P2_SVR,0.1563632406529442
outer_3,Cond3,primary_only,P2_Bagging,0.32468100930729576
outer_4,Cond1,original,P2_Persistent,0.05301662926957853
outer_4,Cond1,original,P2_KNN,0.16082507007139427
outer_4,Cond1,original,P2_LR,0.11372897738381252
outer_4,Cond1,original,P2_SVR,0.27285918493991834
outer_4,Cond1,original,P2_Bagging,0.39957013833529625
outer_4,Cond1,primary_only,P2_Persistent,0.051854491214182785
outer_4,Cond1,primary_only,P2_KNN,0.1572997434565825
outer_4,Cond1,primary_only,P2_LR,0.030175983583155524
outer_4,Cond1,primary_only,P2_SVR,0.36245361900489725
outer_4,Cond1,primary_only,P2_Bagging,0.3982161627411819
outer_4,Cond2,original,P2_Persistent,0.15778345903579202
outer_4,Cond2,original,P2_KNN,0.05286600597608828
outer_4,Cond2,original,P2_LR,7.563457931274531e-13
outer_4,Cond2,original,P2_SVR,0.28986190853506755
outer_4,Cond2,original,P2_Bagging,0.49948862645229575
outer_4,Cond2,primary_only,P2_Persistent,0.14626541238740665
outer_4,Cond2,primary_only,P2_KNN,0.04900683641124639
outer_4,Cond2,primary_only,P2_LR,1.1432498095856102e-09
outer_4,Cond2,primary_only,P2_SVR,0.3295883225064311
outer_4,Cond2,primary_only,P2_Bagging,0.475139427551666
outer_4,Cond3,original,P2_Persistent,0.10777581341694889
outer_4,Cond3,original,P2_KNN,0.2977216493566381
outer_4,Cond3,original,P2_LR,0.0003408506391702017
outer_4,Cond3,original,P2_SVR,0.24631449345994058
outer_4,Cond3,original,P2_Bagging,0.34784719312730233
outer_4,Cond3,primary_only,P2_Persistent,0.10836428568562727
outer_4,Cond3,primary_only,P2_KNN,0.29934725466525935
outer_4,Cond3,primary_only,P2_LR,0.05841401446050908
outer_4,Cond3,primary_only,P2_SVR,0.19672444183710724
outer_4,Cond3,primary_only,P2_Bagging,0.337150003351497
temporal,Cond1,original,P2_Persistent,0.13453135534373523
temporal,Cond1,original,P2_KNN,0.20315715943176105
temporal,Cond1,original,P2_LR,2.3681395894767467e-07
temporal,Cond1,original,P2_SVR,0.35952842791549733
temporal,Cond1,original,P2_Bagging,0.3027828204950474
temporal,Cond1,primary_only,P2_Persistent,0.13243347613954692
temporal,Cond1,primary_only,P2_KNN,0.19998913084195832
temporal,Cond1,primary_only,P2_LR,0.0033957789944650918
temporal,Cond1,primary_only,P2_SVR,0.3728856657216077
temporal,Cond1,primary_only,P2_Bagging,0.29129594830242195
temporal,Cond2,original,P2_Persistent,0.04490315667209697
temporal,Cond2,original,P2_KNN,0.03612943162621952
temporal,Cond2,original,P2_LR,7.218729605219488e-11
temporal,Cond2,original,P2_SVR,0.34103962259992926
temporal,Cond2,original,P2_Bagging,0.5779277890295671
temporal,Cond2,primary_only,P2_Persistent,0.04249320764262129
temporal,Cond2,primary_only,P2_KNN,0.03419036775774942
temporal,Cond2,primary_only,P2_LR,2.0529202766853016e-09
temporal,Cond2,primary_only,P2_SVR,0.37372278343075027
temporal,Cond2,primary_only,P2_Bagging,0.5495936391159588
temporal,Cond3,original,P2_Persistent,0.06744798201048319
temporal,Cond3,original,P2_KNN,0.28421256252734994
temporal,Cond3,original,P2_LR,0.05583286107382672
temporal,Cond3,original,P2_SVR,0.26959262922714133
temporal,Cond3,original,P2_Bagging,0.3229139651611989
temporal,Cond3,primary_only,P2_Persistent,0.05896868606739632
temporal,Cond3,primary_only,P2_KNN,0.24848247310765584
temporal,Cond3,primary_only,P2_LR,0.22976621486683615
temporal,Cond3,primary_only,P2_SVR,0.16972487063061348
temporal,Cond3,primary_only,P2_Bagging,0.2930577553274981
final,Cond1,original,P2_Persistent,0.07179649165480505
final,Cond1,original,P2_KNN,0.13075470830248184
final,Cond1,original,P2_LR,5.372656782155549e-07
final,Cond1,original,P2_SVR,0.3050252860610998
final,Cond1,original,P2_Bagging,0.492422976715935
final,Cond1,primary_only,P2_Persistent,0.05254971228952606
final,Cond1,primary_only,P2_KNN,0.09570275849734323
final,Cond1,primary_only,P2_LR,0.23631622459927798
final,Cond1,primary_only,P2_SVR,0.24118228636231964
final,Cond1,primary_only,P2_Bagging,0.374249018251533
final,Cond2,original,P2_Persistent,0.07186185402676508
final,Cond2,original,P2_KNN,0.042335064917304245
final,Cond2,original,P2_LR,1.1077840541401753e-08
final,Cond2,original,P2_SVR,0.20537081982499544
