evaluation,value,model,n,mse,mae
nested_oof,Cond1,original,798,42.298089711694395,4.9438492284976485
nested_oof,Cond2,original,815,41.25918849488422,5.160353404579423
nested_oof,Cond3,original,364,12.623243743231312,2.7428101183851643
nested_oof,Cond1,primary_only,798,41.65062496119205,4.911612164513548
nested_oof,Cond2,primary_only,815,39.87852852445877,5.0843968520744465
nested_oof,Cond3,primary_only,364,12.91626041632038,2.80626086696523
temporal,Cond1,original,74,10.535638112840136,2.5284178333242457
temporal,Cond2,original,67,52.18526728914989,6.0984317014216884
temporal,Cond3,original,25,44.33608808316317,5.7683093627002595
temporal,Cond1,primary_only,74,12.01162800238739,2.716624593832335
temporal,Cond2,primary_only,67,57.3035529813721,6.5036779442849815
temporal,Cond3,primary_only,25,51.24027669475324,6.352472230938953
test,Cond1,original,165,6.2085207303567245,1.8005114368685522
test,Cond2,original,186,6.788364193053632,1.901009026277402
test,Cond3,original,73,9.759825412928873,2.4139749001360906
test,Cond1,primary_only,165,6.0582423638639415,1.7834031529639836
test,Cond2,primary_only,186,6.8231043631700175,1.8824699431003664
test,Cond3,primary_only,73,9.76325326718685,2.3804857300580062
validation,Cond1,original,185,6.38800293111196,1.8790170015876313
validation,Cond2,original,172,7.346492910903069,2.0508863873690104
validation,Cond3,original,67,6.709936723627102,2.0253597523949147
validation,Cond1,primary_only,185,6.797107013455413,1.8712083806738526
validation,Cond2,primary_only,172,7.110041107418936,2.0136030927795145
validation,Cond3,primary_only,67,7.026201628642915,2.0594049519176156
