partition,condition,arm,input_count,selected_count,primary_selected,secondary_selected
outer_0,Cond1,original,125,86,39,27
outer_0,Cond1,primary_only,73,57,37,0
outer_0,Cond2,original,125,82,41,25
outer_0,Cond2,primary_only,73,58,40,0
outer_0,Cond3,original,125,45,15,20
outer_0,Cond3,primary_only,73,27,15,0
outer_1,Cond1,original,125,87,37,29
outer_1,Cond1,primary_only,73,55,35,0
outer_1,Cond2,original,125,84,43,22
outer_1,Cond2,primary_only,73,65,47,0
outer_1,Cond3,original,125,68,27,24
outer_1,Cond3,primary_only,73,33,17,0
outer_2,Cond1,original,125,92,36,35
outer_2,Cond1,primary_only,73,52,31,0
outer_2,Cond2,original,125,90,47,22
outer_2,Cond2,primary_only,73,66,45,0
outer_2,Cond3,original,125,60,19,22
outer_2,Cond3,primary_only,73,30,12,0
outer_3,Cond1,original,125,87,37,31
outer_3,Cond1,primary_only,73,57,37,0
outer_3,Cond2,original,125,83,43,22
outer_3,Cond2,primary_only,73,64,47,0
outer_3,Cond3,original,125,64,19,28
outer_3,Cond3,primary_only,73,37,19,0
outer_4,Cond1,original,125,95,42,32
outer_4,Cond1,primary_only,73,57,36,0
outer_4,Cond2,original,125,90,46,25
outer_4,Cond2,primary_only,73,63,45,0
outer_4,Cond3,original,125,50,16,18
outer_4,Cond3,primary_only,73,35,20,0
temporal,Cond1,original,125,90,38,32
temporal,Cond1,primary_only,73,54,34,0
temporal,Cond2,original,125,87,43,27
temporal,Cond2,primary_only,73,63,45,0
temporal,Cond3,original,125,55,21,17
temporal,Cond3,primary_only,73,33,18,0
final,Cond1,original,125,91,38,33
final,Cond1,primary_only,73,58,37,0
final,Cond2,original,125,86,45,20
final,Cond2,primary_only,73,66,47,0
final,Cond3,original,125,54,17,20
final,Cond3,primary_only,73,35,19,0
