evaluation,policy,model,dimension,value,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean,s_score_overflow
nested_oof,retrospective,original,all,all,1977,36.40615828821394,6.033751593180973,4.6278515893604215,0.9596627934717006,0.05800844092503648,5.800844092503648,1.6022325930871477,0.6022325930871474,False
nested_oof,retrospective,original,STAGE,A,1162,33.00235483000716,5.744767604525631,4.254367097619038,0.9755407718775524,0.05299690122552132,5.299690122552132,1.5538145382448434,0.5538145382448434,False
nested_oof,retrospective,original,STAGE,B,815,41.25918849488422,6.423331572858762,5.160353404579423,0.5066295695137858,0.06515372820213662,6.5153728202136625,1.6712654516475858,0.6712654516475858,False
nested_oof,retrospective,original,condition,Cond1,798,42.298089711694395,6.503698156564033,4.9438492284976485,0.04346483991343708,0.06889306725468702,6.889306725468702,1.6663127453699391,0.6663127453699391,False
nested_oof,retrospective,original,condition,Cond2,815,41.25918849488422,6.423331572858762,5.160353404579423,0.5066295695137858,0.06515372820213662,6.5153728202136625,1.6712654516475858,0.6712654516475858,False
nested_oof,retrospective,original,condition,Cond3,364,12.623243743231312,3.5529204527024403,2.7428101183851643,0.16769573231136847,0.018147614161581154,1.8147614161581154,1.3071838533936726,0.3071838533936726,False
nested_oof,retrospective,original_P2_Bagging,all,all,1977,44.243365305039745,6.651568634919116,4.967833972646801,0.9509793439426387,0.06225293165903879,6.22529316590388,1.673018638883176,0.6730186388831761,False
nested_oof,retrospective,original_P2_Bagging,STAGE,A,1162,40.889368461481006,6.394479530147939,4.651128640171315,0.969695423368007,0.058141589527228234,5.814158952722823,1.632575500637853,0.6325755006378531,False
nested_oof,retrospective,original_P2_Bagging,STAGE,B,815,49.02538289057995,7.001812828873673,5.4193819436118496,0.41376272428441074,0.06811474706660181,6.8114747066601815,1.73068112555933,0.7306811255593301,False
nested_oof,retrospective,original_P2_Bagging,condition,Cond1,798,53.48799228224459,7.3135485424139075,5.484405665031963,-0.20958524626374087,0.07614922733845919,7.614922733845919,1.7781394897822869,0.7781394897822868,False
nested_oof,retrospective,original_P2_Bagging,condition,Cond2,815,49.02538289057995,7.001812828873673,5.4193819436118496,0.41376272428441074,0.06811474706660181,6.8114747066601815,1.73068112555933,0.7306811255593301,False
nested_oof,retrospective,original_P2_Bagging,condition,Cond3,364,13.269308546730045,3.642706211970716,2.824329008746046,0.12509792590810198,0.018663306633375773,1.8663306633375774,1.3134544475135175,0.31345444751351764,False
nested_oof,retrospective,original_P2_KNN,all,all,1977,48.49001046294537,6.963476894694587,5.439445007587254,0.9462741563908311,0.06908535471413663,6.908535471413662,1.779592756124348,0.7795927561243482,False
nested_oof,retrospective,original_P2_KNN,STAGE,A,1162,37.41992778875306,6.117182994545206,4.709932512908777,0.9722667502114598,0.058852228281866675,5.885222828186667,1.6285700955360036,0.6285700955360036,False
nested_oof,retrospective,original_P2_KNN,STAGE,B,815,64.27336760087357,8.01706726932446,6.479559754601227,0.2314298899510948,0.0836754073697166,8.36754073697166,1.9949158623865035,0.9949158623865032,False
nested_oof,retrospective,original_P2_KNN,condition,Cond1,798,48.070084697581294,6.933259312731733,5.525922725563909,-0.08706389520146618,0.0768634618193147,7.686346181931469,1.760994720503833,0.7609947205038331,False
nested_oof,retrospective,original_P2_KNN,condition,Cond2,815,64.27336760087357,8.01706726932446,6.479559754601227,0.2314298899510948,0.0836754073697166,8.36754073697166,1.9949158623865035,0.9949158623865032,False
nested_oof,retrospective,original_P2_KNN,condition,Cond3,364,14.071506873244976,3.7512007242008494,2.921030892857141,0.07220557079937107,0.01936606244976908,1.936606244976908,1.3382545715680696,0.33825457156806976,False
nested_oof,retrospective,original_P2_LR,all,all,1977,329.1224214101506,18.141731488756815,5.022293560320538,0.6353397416883406,0.06282225017307305,6.282225017307305,8.304269631552643e+21,8.304269631552643e+21,False
nested_oof,retrospective,original_P2_LR,STAGE,A,1162,38.671126397697876,6.218611291735308,4.564479271331303,0.9713394420735918,0.0561101815149552,5.61101815149552,1.6115863485982531,0.6115863485982532,False
