model,outer_fold,n,mae,rmse,r2,negative_predictions
CatBoost,0,97,4.253766764538793,5.1394319924209215,0.5114897943760042,0
CatBoost,1,97,2.84787527507376,3.6073267860133322,0.824217409358394,0
CatBoost,2,97,3.1773991610051295,4.006911754644613,0.7469538805005542,0
CatBoost,3,97,3.991057724987566,4.977340772820059,0.7642226935103913,0
CatBoost,4,101,2.815998868177469,3.6250276772617633,0.6781468719801046,0
LightGBM,0,97,4.022778265975368,4.920872871587972,0.5521550466193399,0
LightGBM,1,97,2.969534449258005,3.7102514651972167,0.814043408153557,0
LightGBM,2,97,3.0879390040291756,4.032077019083712,0.7437654052786185,0
LightGBM,3,97,3.6646864124343264,4.481949010410074,0.808820609137241,0
LightGBM,4,101,3.232518003534165,4.030980791965739,0.6020243157189263,0
Physics+CatBoost,0,97,6.105559510201029,7.061189329472991,0.07785523230088776,0
Physics+CatBoost,1,97,4.252808835367092,5.433900880761819,0.6011328115500766,0
Physics+CatBoost,2,97,5.528816900430119,6.7465372675882245,0.2826320440882836,0
Physics+CatBoost,3,97,5.374209069630359,6.706928757558488,0.5718907248460552,0
Physics+CatBoost,4,101,2.869169728756404,3.805595450444227,0.645284375096272,0
Physics+LightGBM,0,97,5.305425207514311,6.4635452890678025,0.22734612633314932,0
Physics+LightGBM,1,97,4.246555269385865,5.238695939093051,0.6292755139734357,0
Physics+LightGBM,2,97,6.022951721195047,7.269691477550137,0.1670631314921328,0
Physics+LightGBM,3,97,4.322692433536346,6.044053052857345,0.6523327468839948,0
Physics+LightGBM,4,101,3.411107280139017,4.471510661916399,0.5102847572213487,0
PrestonInspired,0,97,7.100861316576198,8.286114816164188,-0.26982913538330844,0
PrestonInspired,1,97,7.196414687794871,8.39988417123835,0.046871441648950296,0
PrestonInspired,2,97,5.799609126703198,7.213034138011555,0.17999575414898106,0
PrestonInspired,3,97,7.140735986829888,8.268074549741835,0.3493970646846678,0
PrestonInspired,4,101,4.520003182098512,5.849007018066677,0.16208615643004531,0
RandomForest,0,97,4.396630113114457,5.431212616471473,0.45444693140788217,0
RandomForest,1,97,3.1254608628675755,3.8072032449802786,0.8041980505828231,0
RandomForest,2,97,3.0977885699932,4.047460439116491,0.7418064725470211,0
RandomForest,3,97,3.390124136617377,4.410085958355679,0.8149021561809595,0
RandomForest,4,101,3.0087068635188925,3.9257628933993765,0.6225293298352332,0
StageMean,0,97,5.303011177151273,7.3544591916751445,-0.00033365160309606345,0
StageMean,1,97,6.718945025510201,8.619889272241101,-0.0037100243833885216,0
StageMean,2,97,7.008331263149596,8.87843932027223,-0.2423769564756686,0
StageMean,3,97,7.892795789501367,10.931812384885648,-0.13734334273750104,0
StageMean,4,101,5.383515586403999,6.409046379288896,-0.006055430180384791,0
XGBoost,0,97,4.17237800387353,4.9953832734444825,0.5384900969643451,0
XGBoost,1,97,3.184593210940017,3.8454269844004734,0.8002466706661906,0
XGBoost,2,97,3.1354333676053088,4.105437442777145,0.7343566162581763,0
XGBoost,3,97,3.37560763203729,4.305493253445213,0.8235778636452536,0
XGBoost,4,101,3.087999347467705,3.9133840195204947,0.6249060881534414,0
InnerSelected,0,97,4.396630113114457,5.431212616471473,0.45444693140788217,0
InnerSelected,1,97,3.184593210940017,3.8454269844004734,0.8002466706661906,0
InnerSelected,2,97,3.1773991610051295,4.006911754644613,0.7469538805005542,0
InnerSelected,3,97,3.991057724987566,4.977340772820059,0.7642226935103913,0
InnerSelected,4,101,3.087999347467705,3.9133840195204947,0.6249060881534414,0
