model,group_id,n,mae,rmse,r2,negative_predictions
CatBoost,CMP-training-014.csv,22,5.938149695893719,6.868342126341456,0.515588423653249,0
CatBoost,CMP-training-018.csv,1,11.70816300413263,11.70816300413263,,0
CatBoost,CMP-training-029.csv,5,1.3872853126454658,1.6100308154336633,-1.4520414973300846,0
CatBoost,CMP-training-044.csv,1,6.157941830208749,6.157941830208749,,0
CatBoost,CMP-training-045.csv,3,4.091448139210617,4.133188260005741,-12.84618095495094,0
CatBoost,CMP-training-047.csv,3,1.0459972257543033,1.282903421068036,0.08266092149573079,0
CatBoost,CMP-training-049.csv,3,4.975676825050407,5.348671242777294,-4.800266507984788,0
CatBoost,CMP-training-051.csv,4,3.5590809409545354,4.202425817286912,0.6970747326243294,0
CatBoost,CMP-training-053.csv,8,1.5119482763107914,1.6204382683203187,0.796513689109368,0
CatBoost,CMP-training-056.csv,1,0.5245233033425762,0.5245233033425762,,0
CatBoost,CMP-training-058.csv,5,3.7298293082221847,3.870205579131601,-1.800168429086769,0
CatBoost,CMP-training-059.csv,1,1.9102902077041648,1.9102902077041648,,0
CatBoost,CMP-training-063.csv,1,4.349875918679288,4.349875918679288,,0
CatBoost,CMP-training-067.csv,2,6.107532690612771,6.599147815647662,-268.7800886933265,0
CatBoost,CMP-training-071.csv,3,6.788453639087493,6.790068058055804,-88.3135432725734,0
CatBoost,CMP-training-072.csv,58,2.4856877773836663,3.2365852314089407,0.3090149857957335,0
CatBoost,CMP-training-087.csv,61,3.262379096347635,3.9829198258398426,0.3550661919288993,0
CatBoost,CMP-training-099.csv,3,1.9441902556880137,1.9853861728569193,-0.38944520672270877,0
CatBoost,CMP-training-101.csv,64,3.300707605258298,4.047967739396315,0.0820201254664954,0
CatBoost,CMP-training-115.csv,7,5.231197576180851,5.597274424034662,-0.8890950405429003,0
CatBoost,CMP-training-118.csv,4,2.218543116498754,2.5223685356612506,-1.0757173696974123,0
CatBoost,CMP-training-130.csv,4,4.211586365453158,4.601202961812931,-0.996157222641785,0
CatBoost,CMP-training-134.csv,85,4.3160940858882535,5.247218801054448,-0.05554297485636628,0
CatBoost,CMP-training-137.csv,62,2.6154099684397965,3.4102750393782837,0.4250575955165844,0
CatBoost,CMP-training-145.csv,11,4.6257699459368835,5.561197446843669,-0.5867332179850322,0
CatBoost,CMP-training-166.csv,3,1.8182055854675572,2.7112461489988324,-3.1125703375849216,0
CatBoost,CMP-training-167.csv,6,3.341544559489295,4.186693403666627,-0.44784815760752017,0
CatBoost,CMP-training-169.csv,3,2.5712789321380236,3.0943035445417433,-4.749201429074668,0
CatBoost,CMP-training-171.csv,9,1.8069531101136929,2.685804019134955,-0.15106277386364275,0
CatBoost,CMP-training-172.csv,43,3.261534758085389,4.0909580445631795,-0.1425065269243262,0
CatBoost,CMP-training-182.csv,3,2.087721757026131,2.7143022873005047,-0.7538140102353925,0
LightGBM,CMP-training-014.csv,22,5.320174128949997,6.089908024425597,0.6191691341943557,0
LightGBM,CMP-training-018.csv,1,7.474899536875526,7.474899536875526,,0
LightGBM,CMP-training-029.csv,5,1.5605183349881657,2.100112947884098,-3.172004267849048,0
LightGBM,CMP-training-044.csv,1,3.1975337397443084,3.1975337397443084,,0
LightGBM,CMP-training-045.csv,3,1.4563699476091496,1.5598083839291652,-0.9719782904236225,0
LightGBM,CMP-training-047.csv,3,1.1157136574367261,1.5667163397469048,-0.36811534469912277,0
LightGBM,CMP-training-049.csv,3,3.8370250190108357,4.4749573588196245,-3.0600739330283373,0
LightGBM,CMP-training-051.csv,4,3.651806080323027,3.81156047197729,0.7508040286303502,0
LightGBM,CMP-training-053.csv,8,1.5881339824162417,2.052798029574712,0.6734402456027937,0
LightGBM,CMP-training-056.csv,1,1.3893756614762083,1.3893756614762083,,0
LightGBM,CMP-training-058.csv,5,2.948665884904462,3.1209281220234915,-0.8208896131403254,0
LightGBM,CMP-training-059.csv,1,1.6124730817882948,1.6124730817882948,,0
LightGBM,CMP-training-063.csv,1,6.118666247752898,6.118666247752898,,0
LightGBM,CMP-training-067.csv,2,4.426172428903065,5.9185925099323065,-216.0056597396308,0
LightGBM,CMP-training-071.csv,3,4.197214971338141,4.456637571108724,-37.47544920609557,0
LightGBM,CMP-training-072.csv,58,2.9149234851734116,3.7615936858042955,0.06666339705225499,0
LightGBM,CMP-training-087.csv,61,3.1743074274896705,3.8177049553447646,0.4074612755219008,0
LightGBM,CMP-training-099.csv,3,1.2402023173981434,1.2459834023202025,0.4527623700465232,0
LightGBM,CMP-training-101.csv,64,3.4484257370688303,4.175754949279943,0.02314729454747899,0
LightGBM,CMP-training-115.csv,7,5.484121957206857,5.914131422200177,-1.1090289918877696,0
LightGBM,CMP-training-118.csv,4,1.9903047678235524,2.4504855787541757,-0.959094750425864,0
LightGBM,CMP-training-130.csv,4,2.1280990372906423,2.996698581942419,0.15328337358942346,0
LightGBM,CMP-training-134.csv,85,4.182897560737059,5.08153557762179,0.010063100261621716,0
LightGBM,CMP-training-137.csv,62,2.6360004875357346,3.523411926455068,0.3862770437344796,0
LightGBM,CMP-training-145.csv,11,4.897740808247703,6.0400677898532065,-0.8717632239435809,0
LightGBM,CMP-training-166.csv,3,2.2934250001395307,2.8285705819622478,-3.476200001003816,0
LightGBM,CMP-training-167.csv,6,2.989929286063912,3.671033626918878,-0.11315957638914176,0
LightGBM,CMP-training-169.csv,3,2.302862867074784,2.446017264131286,-2.5925327111266547,0
LightGBM,CMP-training-171.csv,9,2.257686935141101,2.9740786941761996,-0.4114167969158009,0
LightGBM,CMP-training-172.csv,43,3.6609013073695995,4.368101528321266,-0.30254905169536617,0
LightGBM,CMP-training-182.csv,3,2.6921723695742847,3.462733713946291,-1.8543373501648683,0
Physics+CatBoost,CMP-training-014.csv,22,7.909362800321398,9.004176538804142,0.16747233199458833,0
Physics+CatBoost,CMP-training-018.csv,1,16.919483157997846,16.919483157997846,,0
Physics+CatBoost,CMP-training-029.csv,5,8.10262920712063,8.207622189117878,-62.722697620824725,0
Physics+CatBoost,CMP-training-044.csv,1,11.595574737743597,11.595574737743597,,0
Physics+CatBoost,CMP-training-045.csv,3,7.6035978390063645,7.723355410104888,-47.347238131029656,0
Physics+CatBoost,CMP-training-047.csv,3,1.1168535215374007,1.3606117063983523,-0.031835284106596085,0
Physics+CatBoost,CMP-training-049.csv,3,8.50908771798752,8.74158108871724,-14.493021388080598,0
Physics+CatBoost,CMP-training-051.csv,4,3.535596548497999,4.556994840297631,0.6438011919320519,0
Physics+CatBoost,CMP-training-053.csv,8,0.8262647306514372,1.0074816438983962,0.9213417100193477,0
Physics+CatBoost,CMP-training-056.csv,1,2.8963749507007606,2.8963749507007606,,0
