sample_id,WAFER_ID,STAGE,split,group_id,source_files,chamber_route,outer_fold
00289eb3ee0e7914fdc2,4175773554,B,train,CMP-training-072.csv,CMP-training-079.csv,4-5-6,4
0044f341f2ed7a7e2879,-4017511492,B,train,CMP-training-072.csv,CMP-training-072.csv,4-5-6,4
005be3f7ea5942661e21,1292253518,B,train,CMP-training-134.csv,CMP-training-158.csv,4-5-6,0
00eee764fdb0d06f18d7,1286253650,B,train,CMP-training-134.csv,CMP-training-152.csv,4-5-6,0
014746cf9bda1cedc2ba,-4019511616,B,train,CMP-training-072.csv,CMP-training-074.csv,4-5-6,4
0163f0fd20a1ef5705a4,3011014212,B,train,CMP-training-099.csv,CMP-training-099.csv,4-5-6,2
01b7380184cf03c0bb58,3021014290,B,train,CMP-training-087.csv,CMP-training-095.csv,4-5-6,3
01cd0ec5cb81133b593a,3011014208,B,train,CMP-training-099.csv,CMP-training-099.csv,4-5-6,2
025b74b54e01e57dc2bb,43494178,B,train,CMP-training-172.csv,CMP-training-179.csv,4-5-6,4
026071fc4e76d9c91c7e,37494386,B,train,CMP-training-172.csv,CMP-training-174.csv,4-5-6,4
028d82052136b5b18507,2667292676,B,train,CMP-training-137.csv,CMP-training-144.csv,4-5-6,2
0420a570f80294a53cb8,1471738972,B,train,CMP-training-072.csv,CMP-training-073.csv,4-5-6,4
04afdd1c439211c8389d,-4230160416,B,train,CMP-training-014.csv,CMP-training-016.csv,4-5-6,3
0503fa7532d16231373b,-4043511796,B,train,CMP-training-101.csv,CMP-training-104.csv,4-5-6,1
05092525d7c56ae0b8ab,1324253862,B,train,CMP-training-137.csv,CMP-training-141.csv,4-5-6,2
0513b8d1d574543d7756,1318253580,B,train,CMP-training-137.csv,CMP-training-139.csv,4-5-6,2
05e352c7aee30e0a91c1,4229773632,B,train,CMP-training-053.csv,CMP-training-055.csv,4-5-6,1
05e91efcdd396502efce,4169773374,B,train,CMP-training-072.csv,CMP-training-072.csv,4-5-6,4
076e4f66aa13145fed64,-1690100608,B,train,CMP-training-134.csv,CMP-training-163.csv,4-5-6,0
078377d96c941cb42c23,1322253592,B,train,CMP-training-137.csv,CMP-training-142.csv,4-5-6,2
07895596b128a1cf0a17,1324253858,B,train,CMP-training-137.csv,CMP-training-141.csv,4-5-6,2
07f829e49f3308e6a223,-4019511766,B,train,CMP-training-072.csv,CMP-training-073.csv,4-5-6,4
08bde4d49afce0041d4d,1308253542,B,train,CMP-training-145.csv,CMP-training-147.csv,4-5-6,2
098457ac915fdac0698d,1324253772,B,train,CMP-training-137.csv,CMP-training-143.csv,4-5-6,2
0a2c26346b639a082c05,-4222160578,B,train,CMP-training-014.csv,CMP-training-017.csv,4-5-6,3
0a3371b2f2911c0f1d13,3029014286,B,train,CMP-training-101.csv,CMP-training-107.csv,4-5-6,1
0ac91e18581eb68c3b6e,3021014306,B,train,CMP-training-087.csv,CMP-training-095.csv,4-5-6,3
0afebc737ab594f1c7b5,2663292922,B,train,CMP-training-101.csv,CMP-training-103.csv,4-5-6,1
0b75c7c84f6e9d9a304a,2939014292,B,train,CMP-training-087.csv,CMP-training-094.csv,4-6,3
0c1bfc8a83d5f95171f8,1276253692,B,train,CMP-training-171.csv,CMP-training-171.csv,4-5-6,1
0d1331cbc24b3d76d48c,1477739010,B,train,CMP-training-087.csv,CMP-training-090.csv,4-5-6,3
0d912928e6272614a0c1,-4230160436,B,train,CMP-training-014.csv,CMP-training-015.csv,4-5-6,3
0da647c8d6f4bd982136,-4045511868,B,train,CMP-training-101.csv,CMP-training-104.csv,4-5-6,1
0ddb92a656a580960ff7,1326253624,B,train,CMP-training-137.csv,CMP-training-143.csv,4-5-6,2
0e9036b3ff0c9055aa30,-4021511536,B,train,CMP-training-071.csv,CMP-training-071.csv,4-5-6,3
0f850735ed3b5bba8afa,1294253606,B,train,CMP-training-134.csv,CMP-training-159.csv,4-5-6,0
10e76beac988bc515e7c,3017014288,B,train,CMP-training-087.csv,CMP-training-098.csv,4-5-6,3
11b03262e0ce339a2f9c,3621681190,B,train,CMP-training-167.csv,CMP-training-167.csv,4-5-6,2
11f30c2bc548fa0d4998,3033014286,B,train,CMP-training-101.csv,CMP-training-106.csv,4-5-6,1
121a2470ccf72c444a1f,1300253518,B,train,CMP-training-134.csv,CMP-training-163.csv,4-5-6,0
1252bc43010f2e1806a7,3625681348,B,train,CMP-training-134.csv,CMP-training-160.csv,4-5-6,0
12b597cb0c726a3151e4,-4037511872,B,train,CMP-training-101.csv,CMP-training-111.csv,4-5-6,1
132c1b81271bab7101a3,3027014536,B,train,CMP-training-101.csv,CMP-training-106.csv,4-5-6,1
140fdf8f0a72735e6a9e,-2045929442,B,train,CMP-training-087.csv,CMP-training-094.csv,4-5-6,3
148cc533345063ad8969,2669292930,B,train,CMP-training-172.csv,CMP-training-172.csv,4-5-6,4
1514938f41dfe7fec825,-4027511750,B,train,CMP-training-049.csv,CMP-training-049.csv,4-5-6,0
1553a3a5391275d7109d,4171773604,B,train,CMP-training-072.csv,CMP-training-073.csv,4-5-6,4
167866d90097edd8fc00,-2137929706,B,train,CMP-training-053.csv,CMP-training-054.csv,4-5-6,1
16f26f32a5d7b9b539a2,3033014318,B,train,CMP-training-101.csv,CMP-training-106.csv,4-5-6,1
184127e4e5651dda328e,4189773480,B,train,CMP-training-072.csv,CMP-training-079.csv,4-5-6,4
186e18e542d83a07c02c,3033014282,B,train,CMP-training-101.csv,CMP-training-107.csv,4-5-6,1
1874d1b13981c7f9feb1,1292253510,B,train,CMP-training-134.csv,CMP-training-158.csv,4-5-6,0
18773e79b3440d864afb,2667292866,B,train,CMP-training-137.csv,CMP-training-142.csv,4-5-6,2
18c814cfb1f440d688f4,43494150,B,train,CMP-training-172.csv,CMP-training-179.csv,4-5-6,4
1947351cf641e50cfd08,3029014464,B,train,CMP-training-101.csv,CMP-training-107.csv,4-5-6,1
1c16072ec062d40d8c56,1310253788,B,train,CMP-training-134.csv,CMP-training-160.csv,4-5-6,0
1c3fed56ec689cd57c10,4171773596,B,train,CMP-training-072.csv,CMP-training-079.csv,4-5-6,4
1c6e4907a950418bc00c,4171773592,B,train,CMP-training-072.csv,CMP-training-073.csv,4-5-6,4
1cc84c2531253c75b30f,2939014300,B,train,CMP-training-087.csv,CMP-training-094.csv,4-5-6,3
1cda59e55f763233455e,3838719142,B,train,CMP-training-014.csv,CMP-training-016.csv,4-5-6,3
1d5589f63a63df3c5bc6,1304253558,B,train,CMP-training-145.csv,CMP-training-146.csv,4-5-6,2
1d8510a7bfaba96c4afc,1322253588,B,train,CMP-training-137.csv,CMP-training-141.csv,4-5-6,2
