cohort_variant,evaluation,model,condition,n,mse,rmse,mae,p95_abs_error,seed_rmse_min,seed_rmse_max
clean,outer_0,S1_features,all,670,22.376901008516853,4.730422920682342,3.6606783950560087,10.17290788283199,4.6913391002330425,4.797095035980987
clean,outer_0,S1_features,Cond1,269,15.239115729996843,3.903731001234184,2.95800298562589,7.8945232814335435,3.8690553911667105,3.9629463849282947
clean,outer_0,S1_features,Cond2,302,28.625657077243957,5.35029504581233,4.220767014364583,10.832509661439923,5.308520273587429,5.454528124034562
clean,outer_0,S1_features,Cond3,99,22.709627343529974,4.765461923416236,3.86141498198038,9.113365938399697,4.7230619510571605,4.861001306968947
clean,outer_0,S2_phase,all,670,22.376901008516853,4.730422920682342,3.6606783950560087,10.17290788283199,4.6913391002330425,4.797095035980987
clean,outer_0,S2_phase,Cond1,269,15.239115729996843,3.903731001234184,2.95800298562589,7.8945232814335435,3.8690553911667105,3.9629463849282947
clean,outer_0,S2_phase,Cond2,302,28.625657077243957,5.35029504581233,4.220767014364583,10.832509661439923,5.308520273587429,5.454528124034562
clean,outer_0,S2_phase,Cond3,99,22.709627343529974,4.765461923416236,3.86141498198038,9.113365938399697,4.7230619510571605,4.861001306968947
clean,outer_0,S3_history,all,670,18.655139800321557,4.319159617370207,3.398009746245117,8.815642122767063,4.311987638295757,4.338619504973035
clean,outer_0,S3_history,Cond1,269,14.611240605381782,3.822465252344589,2.9044117873948796,8.211395452470525,3.8170915739934235,3.8494381097154005
clean,outer_0,S3_history,Cond2,302,20.928035881981046,4.574717027530888,3.685760516420359,8.89585049783166,4.530538183311391,4.6097047150993316
clean,outer_0,S3_history,Cond3,99,22.709627343529974,4.765461923416236,3.86141498198038,9.113365938399697,4.7230619510571605,4.861001306968947
clean,outer_0,S4_final,all,670,18.655139800321557,4.319159617370207,3.398009746245117,8.815642122767063,4.311987638295757,4.338619504973035
clean,outer_0,S4_final,Cond1,269,14.611240605381782,3.822465252344589,2.9044117873948796,8.211395452470525,3.8170915739934235,3.8494381097154005
clean,outer_0,S4_final,Cond2,302,20.928035881981046,4.574717027530888,3.685760516420359,8.89585049783166,4.530538183311391,4.6097047150993316
clean,outer_0,S4_final,Cond3,99,22.709627343529974,4.765461923416236,3.86141498198038,9.113365938399697,4.7230619510571605,4.861001306968947
clean,outer_0,ablation_compact12_bag,all,670,74.92292669872577,8.655803064922733,6.837613421480645,18.081081060861997,8.587329705501142,8.766003500444869
clean,outer_0,ablation_compact12_bag,Cond1,269,57.82711238229433,7.604414006502693,6.279253303147747,14.237478086882277,7.426639399069369,7.833705370528327
clean,outer_0,ablation_compact12_bag,Cond2,302,106.20839148779143,10.305745557105096,8.253168484449363,20.12354920186517,10.289060447470971,10.359695138234185
clean,outer_0,ablation_compact12_bag,Cond3,99,25.938721494909963,5.093007117107727,4.036615874157377,10.413458174018016,5.065962220380931,5.12416380445771
clean,outer_0,ablation_compact12_rf,all,670,71.77584278802821,8.472062487259416,6.731040172279714,16.50475727328052,8.42992414219238,8.545958825563227
clean,outer_0,ablation_compact12_rf,Cond1,269,57.829916824281774,7.604598399934199,6.2544437216392925,13.983839476108132,7.522621813999149,7.675071080598827
clean,outer_0,ablation_compact12_rf,Cond2,302,99.48968576729341,9.974451652461573,8.0561623128657,19.454568327427822,9.920362842015331,10.086317451898141
clean,outer_0,ablation_compact12_rf,Cond3,99,25.12810040933846,5.012793673126639,3.9837427860706947,10.229862179625318,4.993658595073324,5.0365226131839
clean,outer_0,ablation_compact_no_pressure_bag,all,670,76.86234634950233,8.76711733407865,6.896347261197694,17.842274610046918,8.687481113872552,8.827509325749206
clean,outer_0,ablation_compact_no_pressure_bag,Cond1,269,52.32540794358833,7.233630343305381,5.8273696302080396,14.194561053887698,7.054494227611893,7.396035656299048
clean,outer_0,ablation_compact_no_pressure_bag,Cond2,302,115.37434234352476,10.741244915908247,8.78085269277675,20.426244370300456,10.69990379673146,10.790377665627537
clean,outer_0,ablation_compact_no_pressure_bag,Cond3,99,26.052383127240564,5.104153517209348,4.052249709675894,10.4886949181687,5.0796545986520885,5.128724298530683
clean,outer_0,ablation_compact_no_pressure_rf,all,670,73.90563472919091,8.596838647386079,6.834755078134443,16.94820300847655,8.500563657770755,8.677188110858639
clean,outer_0,ablation_compact_no_pressure_rf,Cond1,269,52.31620346295456,7.2329940870261025,5.863468802987216,14.26769259611185,7.202694396626315,7.320331686843308
clean,outer_0,ablation_compact_no_pressure_rf,Cond2,302,109.06989369833161,10.443653273559574,8.62731461582501,19.52386318078004,10.294065667303906,10.547822528162747
clean,outer_0,ablation_compact_no_pressure_rf,Cond3,99,25.299077172999848,5.029818801209428,4.005694751185477,10.410044663780228,4.981023932775071,5.076593765212779
clean,outer_0,ablation_compact_no_slurry_bag,all,670,76.88593148732089,8.76846232171416,6.907668894275827,17.80841631966528,8.724523276954686,8.855190342528434
clean,outer_0,ablation_compact_no_slurry_bag,Cond1,269,54.80963639445996,7.403353050777732,6.111861637620918,13.92002169139578,7.260702310566369,7.615026112437951
clean,outer_0,ablation_compact_no_slurry_bag,Cond2,302,113.25409887066462,10.642090906897225,8.560778604160571,20.344621218048804,10.640110407281558,10.668869789093911
clean,outer_0,ablation_compact_no_slurry_bag,Cond3,99,25.929737853076322,5.092125082230043,4.027194345336208,10.601032303534165,5.049371632931461,5.140212578041604
clean,outer_0,ablation_compact_no_slurry_rf,all,670,74.12247738472512,8.609441177261456,6.817642196883267,16.803884681651745,8.52512718126319,8.71635154837126
clean,outer_0,ablation_compact_no_slurry_rf,Cond1,269,56.11770596397284,7.491175205798676,6.151607363388787,13.799688994532378,7.323871046457485,7.621212382364271
clean,outer_0,ablation_compact_no_slurry_rf,Cond2,302,106.08065330275362,10.299546266838828,8.332813747070063,19.851654724348336,10.240612349857027,10.461833364185209
clean,outer_0,ablation_compact_no_slurry_rf,Cond3,99,25.55595602046,5.055289904689937,4.005334742879258,10.457918440409465,5.017077988267471,5.090157791013065
clean,outer_0,ablation_compact_no_usage_bag,all,670,71.87097574756596,8.477675138124011,6.5405440009308835,18.182075435144903,8.485284296974752,8.488815193975775
clean,outer_0,ablation_compact_no_usage_bag,Cond1,269,33.92452862888705,5.824476682834867,4.782290222544636,10.96666976451083,5.816801980514769,5.860251260774274
clean,outer_0,ablation_compact_no_usage_bag,Cond2,302,121.48085267873671,11.021835268172751,8.973117541963045,21.93114670138922,11.02317350325431,11.043786347089902
clean,outer_0,ablation_compact_no_usage_bag,Cond3,99,23.642808492122235,4.862387118702318,3.897443566528741,8.990569087763578,4.857252434460879,4.866945340751502
clean,outer_0,ablation_compact_no_usage_rf,all,670,70.10549824051687,8.37290261740317,6.47407180917508,17.794459355310234,8.35558367895362,8.418798560577367
clean,outer_0,ablation_compact_no_usage_rf,Cond1,269,33.505901039435926,5.788428201112624,4.752202702196303,10.820790141634863,5.776349227066367,5.8271215102058935
clean,outer_0,ablation_compact_no_usage_rf,Cond2,302,117.91611387151255,10.858918632696009,8.850529636739745,21.82910157760846,10.824949855652928,10.918905771430024
clean,outer_0,ablation_compact_no_usage_rf,Cond3,99,23.706364165063025,4.868918171941589,3.903289242031268,8.98807988749513,4.851662351155386,4.887669247135291
clean,outer_0,ablation_compact_stage12_bag,all,670,74.72813964161972,8.644543923285932,6.830772913958626,17.98681247989694,8.569618647643884,8.784401456520246
clean,outer_0,ablation_compact_stage12_bag,Cond1,269,58.02295037867239,7.61727972301611,6.296957029722361,14.31707593204446,7.438092439343318,7.900332226586621
clean,outer_0,ablation_compact_stage12_bag,Cond2,302,105.61819487349007,10.277071317913974,8.222808534266687,20.045857887569447,10.248117044934691,10.352096864658783
clean,outer_0,ablation_compact_stage12_bag,Cond3,99,25.88873794170036,5.088097674150955,4.034830646549761,10.38942043645898,5.065043320113695,5.12864906274514
clean,outer_0,ablation_compact_stage12_rf,all,670,72.49977371354348,8.514679894954565,6.774752729523813,16.612448490452635,8.41732305244111,8.605261777486614
clean,outer_0,ablation_compact_stage12_rf,Cond1,269,59.48027781451985,7.712345804910452,6.338334355746729,14.122790794144706,7.574183847410252,7.9132955575462836
clean,outer_0,ablation_compact_stage12_rf,Cond2,302,99.58405065746635,9.979180861045979,8.073606458156346,19.0333974601938,9.891334749002574,10.06580307274649
clean,outer_0,ablation_compact_stage12_rf,Cond3,99,25.255256135489496,5.025460788374485,3.9984165325441285,10.282133167155157,5.008778755394413,5.053435294296143
clean,outer_0,compact12_bag,all,670,26.374998709241048,5.1356595203772075,4.090110157493388,10.134681104956178,5.086856713277994,5.20203338848751
