sample_id,WAFER_ID,STAGE,condition,group_id,start,end,excluded_extreme
6e12493812a5f565ce96,-4230160598,A,Cond1,CMP-training-000.csv,481805836.333,481806198.0,False
2be9803bbdbf02137071,-4230160594,B,Cond2,CMP-training-000.csv,481859080.667,481859449.0,False
0d912928e6272614a0c1,-4230160436,B,Cond2,CMP-training-014.csv,482141791.0,482142175.667,False
768ed3716ed800b36423,-4230160428,A,Cond1,CMP-training-020.csv,482430691.333,482431049.667,False
116b8abb85ea208280a5,-4230160424,A,Cond1,CMP-training-020.csv,482345133.333,482345495.333,False
0e3a81eb0cb986226385,-4230160424,B,Cond2,CMP-training-020.csv,482381855.333,482382217.333,False
04afdd1c439211c8389d,-4230160416,B,Cond2,CMP-training-014.csv,482164854.333,482165236.667,False
4da37b8285072d5fce8e,-4230160408,A,Cond1,CMP-training-020.csv,482350570.0,482350934.667,False
733faafbe969be847e96,-4230160408,B,Cond2,CMP-training-020.csv,482383129.333,482383497.333,False
bccda63c87bec0a47d9c,-4228160702,A,Cond1,CMP-training-000.csv,481793143.0,481793503.0,False
faf9b118b6bb6efefe7e,-4228160702,B,Cond2,CMP-training-000.csv,481871532.667,481871905.667,False
cffaf60b05aca089e80d,-4228160698,B,Cond2,CMP-training-000.csv,481943405.0,481943779.333,False
6d54594b80801a7f0163,-4228160694,B,Cond2,CMP-training-000.csv,481858881.667,481859250.667,False
3abcf2a307208ba996a4,-4228160690,A,Cond1,CMP-training-000.csv,481768159.0,481768613.0,False
35ebfd06335c31593335,-4228160690,B,Cond2,CMP-training-000.csv,481795242.333,481795615.333,False
aabfebf8e14b506d8151,-4228160686,A,Cond1,CMP-training-000.csv,481809026.333,481809394.0,False
a977f34f9236cdacff16,-4228160686,B,Cond2,CMP-training-000.csv,481859461.667,481859832.667,False
351473c7e4037343d255,-4228160682,A,Cond1,CMP-training-000.csv,481793863.0,481794234.0,False
eaa7a669dfe8f22214a4,-4228160678,A,Cond1,CMP-training-000.csv,481794851.0,481795217.333,False
d0e1b9e587a5a312fad4,-4228160670,A,Cond1,CMP-training-000.csv,481813433.333,481813791.333,False
d2d996299d0391e7d6fc,-4228160670,B,Cond2,CMP-training-000.csv,481868673.333,481869045.333,False
69608816b1a4f857c209,-4228160662,A,Cond1,CMP-training-000.csv,481809224.0,481809586.0,False
e987ea7f07fb8a25b0dd,-4228160662,B,Cond2,CMP-training-000.csv,482001539.333,482001907.333,False
8a0ffc2f2fee8840281a,-4228160658,A,Cond1,CMP-training-000.csv,481907439.333,481907792.333,False
abd2d498ddc961fb5dc1,-4228160658,B,Cond2,CMP-training-000.csv,481948238.667,481948607.667,False
36c33a438518ee36f0ea,-4228160642,A,Cond1,CMP-training-000.csv,481813238.333,481813602.333,False
3e8fc3c783193cad51dd,-4228160642,B,Cond2,CMP-training-000.csv,481859661.667,481860040.0,False
8b02b17c76920c23a405,-4228160608,B,Cond2,CMP-training-000.csv,481777785.333,481778151.667,False
b886a352d8b662dc1118,-4228160604,A,Cond1,CMP-training-000.csv,481750382.0,481750755.333,False
e1d70ef84f51e97ba0b7,-4228160600,A,Cond1,CMP-training-000.csv,481732741.667,481733100.333,False
d8d132b69ad481892b4a,-4228160600,B,Cond2,CMP-training-000.csv,481757343.333,481757709.333,False
06c4e2ce0edf6cb6963e,-4228160596,A,Cond1,CMP-training-000.csv,481732545.333,481732909.333,False
8a0e21deec15547d6452,-4228160596,B,Cond2,CMP-training-000.csv,481767958.0,481768519.0,False
1202e8a96e82096f8f00,-4228160580,A,Cond1,CMP-training-000.csv,481734905.333,481735276.333,False
5967fa72261c0fd8db68,-4228160580,B,Cond2,CMP-training-000.csv,481767353.667,481767728.0,False
d7436ce2f1d8c85543ee,-4226160424,A,Cond1,CMP-training-000.csv,481698999.667,481699360.667,False
1d00227e7a238234e187,-4226160424,B,Cond2,CMP-training-000.csv,481741434.333,481741820.333,False
7961971dc74deb9a0ca0,-4226160416,A,Cond1,CMP-training-000.csv,481734523.333,481734877.333,False
5fe6dba94c362366a1f5,-4226160416,B,Cond2,CMP-training-000.csv,481767557.0,481767928.0,False
3b03297e1603ab9b5488,-4226160408,B,Cond2,CMP-training-000.csv,481770924.667,481771740.333,False
5b1b682b0465237b3156,-4226160404,B,Cond2,CMP-training-000.csv,481747927.0,481748298.0,False
992be32d31162a019ccb,-4226160396,A,Cond1,CMP-training-000.csv,481731974.0,481732335.0,False
9b4c85f86c219eb6cf56,-4226160396,B,Cond2,CMP-training-000.csv,481757157.667,481757512.0,False
68495d6c21e8fa63fb20,-4224160702,B,Cond2,CMP-training-000.csv,481707945.0,481708309.333,False
6242717d11439aa52fa0,-4224160694,A,Cond1,CMP-training-000.csv,481663515.667,481663885.667,False
f762b66e2365dad1ec3b,-4224160694,B,Cond2,CMP-training-000.csv,481701519.667,481701886.0,False
7f904efd7bcecf749eaa,-4224160690,A,Cond1,CMP-training-000.csv,481664113.667,481664483.667,False
8d5b52254a54ef95fcae,-4224160690,B,Cond2,CMP-training-000.csv,481700906.0,481701288.667,False
0dcde823a8ec97462306,-4224160662,A,Cond1,CMP-training-000.csv,481716938.333,481717297.667,False
aacc07fb34b57f2be4b7,-4224160662,B,Cond2,CMP-training-000.csv,481771127.0,481771836.0,False
54ea818ed17d5c548e38,-4224160654,A,Cond1,CMP-training-000.csv,481732164.0,481732522.0,False
fd8805cdd710fc87a674,-4224160650,A,Cond1,CMP-training-000.csv,481701322.0,481701692.333,False
aa833edfcfe52111805a,-4224160650,B,Cond2,CMP-training-000.csv,481749482.0,481749862.0,False
a9bcbd71b5af4b4cbfaf,-4224160646,A,Cond1,CMP-training-000.csv,481692872.667,481693234.0,False
dde928a156646f905507,-4224160600,A,Cond1,CMP-training-000.csv,481637828.333,481638184.667,False
d526e090eb99bb64a8e6,-4224160600,B,Cond2,CMP-training-000.csv,481673940.667,481674317.667,False
a5e6e66b9b2c6cb855ef,-4224160592,B,Cond2,CMP-training-000.csv,481674149.333,481674521.667,False
44e52ff08d7fb0d81b3c,-4224160584,B,Cond2,CMP-training-000.csv,481635534.333,481635901.667,False
92ab94f2d7cb1cf50313,-4224160580,B,Cond2,CMP-training-000.csv,481635733.333,481636100.333,False
b138af2c252c3f59740c,-4222160606,B,Cond2,CMP-training-014.csv,482153871.0,482154262.333,False
7ecd59b97bf6a9ca99f7,-4222160590,B,Cond2,CMP-training-029.csv,482540251.333,482540623.333,False
81bbf59aff29dd99a51d,-4222160582,B,Cond2,CMP-training-014.csv,482132840.667,482133218.0,False
0a2c26346b639a082c05,-4222160578,B,Cond2,CMP-training-014.csv,482191507.0,482191873.0,False
14da02e0a2f258f43603,-4222160448,A,Cond1,CMP-training-014.csv,482154670.333,482155040.0,False
3841eeb50e1c679c03fa,-4222160432,B,Cond2,CMP-training-014.csv,482178962.0,482179333.0,False
77daff006f1cea9002a0,-4222160428,A,Cond1,CMP-training-014.csv,482121956.333,482122326.333,False
d4f5c7dae132fc849ba7,-4222160428,B,Cond2,CMP-training-014.csv,482165258.333,482165625.667,False
1857a1493ada7d76bed0,-4222160420,A,Cond1,CMP-training-014.csv,482121754.0,482122125.333,False
92d8fe506f357432916d,-4222160392,A,Cond1,CMP-training-014.csv,482122156.0,482122525.333,False
e846bea1cb1c675637b1,-4220160702,A,Cond1,CMP-training-020.csv,482321106.0,482321462.333,False
da664178fb95e3ac7ac5,-4220160702,B,Cond2,CMP-training-020.csv,482362507.333,482362873.0,False
ba50cafcb4b9a7822c89,-4220160694,A,Cond1,CMP-training-020.csv,482347092.0,482347451.0,False
a27f65a9d51515d62208,-4220160686,B,Cond2,CMP-training-020.csv,482314482.0,482314846.0,False
2d9caeef18825482c0b3,-4220160682,B,Cond2,CMP-training-014.csv,482157722.333,482158099.333,False
85614a746352d5cd2a3e,-4220160678,B,Cond2,CMP-training-014.csv,482165655.333,482166024.667,False
