cohort_variant,evaluation,model,condition,n,mse,rmse,mae,p95_abs_error,seed_rmse_min,seed_rmse_max
clean,group_oof,S1_features,all,1977,23.168059796209366,4.813321077614641,3.744866818272254,10.157528107240003,4.809663584734448,4.835633148359276
clean,group_oof,S1_features,Cond1,798,22.892204417292326,4.7845798579700105,3.680232162117626,10.243027332622235,4.760911299494838,4.8206619733653415
clean,group_oof,S1_features,Cond2,815,26.773759829263554,5.174336655965048,4.111517474179785,10.715674854185396,5.1576222851956635,5.210824333724013
clean,group_oof,S1_features,Cond3,364,15.699617668288038,3.962274305028368,3.065631024444657,7.886801179077797,3.957654293925836,3.9847608188337276
clean,group_oof,S2_phase,all,1977,23.062551388836944,4.802348528463646,3.734841946021108,10.12862926181461,4.80044756659881,4.820467453894677
clean,group_oof,S2_phase,Cond1,798,22.892204417292326,4.7845798579700105,3.680232162117626,10.243027332622235,4.760911299494838,4.8206619733653415
clean,group_oof,S2_phase,Cond2,815,26.773759829263554,5.174336655965048,4.111517474179785,10.715674854185396,5.1576222851956635,5.210824333724013
clean,group_oof,S2_phase,Cond3,364,15.12656788429002,3.8892888661412153,3.011182748509176,8.20864611736596,3.855860112945741,3.9239372327058906
clean,group_oof,S3_history,all,1977,19.004503860925567,4.3594155412079685,3.3896519746845475,8.828255631812729,4.353926285505576,4.389161985052182
clean,group_oof,S3_history,Cond1,798,18.859482692433673,4.342750590631895,3.3600567293981163,8.862162284156689,4.317065810193389,4.397022411844716
clean,group_oof,S3_history,Cond2,815,21.217747187139363,4.60627259149297,3.616085309355764,9.11712347598901,4.588542088285124,4.63289053729977
clean,group_oof,S3_history,Cond3,364,14.36695875540988,3.7903771257501386,2.9475471339744637,7.784334360308147,3.766948735043072,3.8278522224829503
clean,group_oof,S4_final,all,1977,19.004503860925567,4.3594155412079685,3.3896519746845475,8.828255631812729,4.353926285505576,4.389161985052182
clean,group_oof,S4_final,Cond1,798,18.859482692433673,4.342750590631895,3.3600567293981163,8.862162284156689,4.317065810193389,4.397022411844716
clean,group_oof,S4_final,Cond2,815,21.217747187139363,4.60627259149297,3.616085309355764,9.11712347598901,4.588542088285124,4.63289053729977
clean,group_oof,S4_final,Cond3,364,14.36695875540988,3.7903771257501386,2.9475471339744637,7.784334360308147,3.766948735043072,3.8278522224829503
clean,group_oof,ablation_compact12_bag,all,1977,55.04560917279596,7.419272819676869,5.754636595906254,15.43852254586183,7.379755930826347,7.472799431252693
clean,group_oof,ablation_compact12_bag,Cond1,798,51.9439394204217,7.207214400891769,5.805558631198638,14.511122237247918,7.135543237494507,7.351085550866153
clean,group_oof,ablation_compact12_bag,Cond2,815,75.10150939124496,8.66611270358544,6.844140111403561,17.938718369731372,8.63983839077239,8.742171562202023
clean,group_oof,ablation_compact12_bag,Cond3,364,16.940042646308996,4.115828306223304,3.2035894824622226,8.339351093466227,4.099011775492012,4.127400708472243
clean,group_oof,ablation_compact12_rf,all,1977,51.98347687342221,7.209956787209076,5.60362561200103,14.57910385021618,7.198682373389621,7.266970962936742
clean,group_oof,ablation_compact12_rf,Cond1,798,48.66219391731443,6.975829263773192,5.60266135714891,13.405151864937784,6.886460476671771,7.051760519555488
clean,group_oof,ablation_compact12_rf,Cond2,815,70.98058407607249,8.424997571279917,6.67960642901636,17.374327948717006,8.36648370236086,8.481913872033426
clean,group_oof,ablation_compact12_rf,Cond3,364,16.73001926027396,4.090234621665847,3.1966066820683334,8.35158294589891,4.08067563144332,4.105407635036298
clean,group_oof,ablation_compact_no_pressure_bag,all,1977,54.9583755741668,7.413391637716626,5.7018827898258975,15.618784851308503,7.3763515338281245,7.453334864139969
clean,group_oof,ablation_compact_no_pressure_bag,Cond1,798,53.202375716286234,7.293995867580831,5.797252774051357,15.041649974379318,7.1928034071461155,7.385771337027261
clean,group_oof,ablation_compact_no_pressure_bag,Cond2,815,73.64365534375064,8.581588159761026,6.7226507602081815,17.834300381347457,8.552835557442158,8.64229140756307
clean,group_oof,ablation_compact_no_pressure_bag,Cond3,364,16.97152083344661,4.119650571765354,3.2072917368767775,8.451546455309694,4.102020164866507,4.130844247745637
clean,group_oof,ablation_compact_no_pressure_rf,all,1977,52.73844577563379,7.262124053996447,5.6404084673476165,14.759225054967994,7.219575902180638,7.305838715897047
clean,group_oof,ablation_compact_no_pressure_rf,Cond1,798,49.30757451927025,7.021935240321591,5.616778953995959,13.74414257186726,7.006526641019738,7.064079349686185
clean,group_oof,ablation_compact_no_pressure_rf,Cond2,815,72.2316228520322,8.49891892254728,6.761458486883361,17.19589163112806,8.426926784145696,8.589510104461157
clean,group_oof,ablation_compact_no_pressure_rf,Cond3,364,16.614533537483766,4.076092925521174,3.1821683182624314,8.339447363305856,4.058337636162867,4.08739046688372
clean,group_oof,ablation_compact_no_slurry_bag,all,1977,55.22484096907951,7.4313418013895385,5.789552289083956,15.290456436447386,7.397087754924719,7.516201610940092
clean,group_oof,ablation_compact_no_slurry_bag,Cond1,798,51.71185864807303,7.191095789104261,5.849286152102308,14.257212560605833,7.119237064093092,7.333710236565983
clean,group_oof,ablation_compact_no_slurry_bag,Cond2,815,75.77718030387764,8.705008920378981,6.886771322732944,17.805575928646547,8.662073036861981,8.763424576349967
clean,group_oof,ablation_compact_no_slurry_bag,Cond3,364,16.90946551386711,4.112112050256791,3.2019118080054714,8.318308940394983,4.087442348955362,4.132621069992551
clean,group_oof,ablation_compact_no_slurry_rf,all,1977,52.760158354029116,7.263618819433542,5.654939023110618,14.760370722990606,7.235191450266971,7.328170270637931
clean,group_oof,ablation_compact_no_slurry_rf,Cond1,798,48.70505537860722,6.978900728525032,5.661764320142011,13.4381824360414,6.902492099396644,7.1389503674436945
clean,group_oof,ablation_compact_no_slurry_rf,Cond2,815,72.80842919232728,8.532785547072379,6.745347706909945,17.282562906479807,8.509592600515832,8.599613254984959
clean,group_oof,ablation_compact_no_slurry_rf,Cond3,364,16.761893082528236,4.094129099396871,3.1985388463867146,8.337418079770204,4.086531147977115,4.101080115024556
clean,group_oof,ablation_compact_no_usage_bag,all,1977,67.66681609722896,8.225984202344966,6.436416062795216,16.861863903478785,8.199423593412034,8.273883519363633
clean,group_oof,ablation_compact_no_usage_bag,Cond1,798,49.4538104581401,7.032340325819002,5.621108191554321,14.2859726257239,6.998497708240576,7.074935086179256
clean,group_oof,ablation_compact_no_usage_bag,Cond2,815,108.23916182743694,10.403805160970526,8.68272923271088,19.996093328569838,10.374976992364418,10.467206064235585
clean,group_oof,ablation_compact_no_usage_bag,Cond3,364,16.753400519958163,4.093091804486941,3.1943019083143622,8.458391976768679,4.094612021196346,4.09577473306091
clean,group_oof,ablation_compact_no_usage_rf,all,1977,66.6183110653746,8.162004108389961,6.3877408858430345,16.653314234545203,8.159995539495023,8.179721155165456
clean,group_oof,ablation_compact_no_usage_rf,Cond1,798,48.96463880069271,6.997473744194594,5.586854599618139,14.209314967695121,6.992620405347599,7.036287616930773
clean,group_oof,ablation_compact_no_usage_rf,Cond2,815,106.18968304621411,10.304837846672509,8.601757190932389,19.789981149329922,10.3023078176811,10.341319151917405
clean,group_oof,ablation_compact_no_usage_rf,Cond3,364,16.71985585337452,4.088992033909398,3.186323214853045,8.456968788271746,4.084261608443394,4.094556362867499
clean,group_oof,ablation_compact_stage12_bag,all,1977,55.01117279162978,7.416951718302458,5.75444761924166,15.497487922653017,7.372511154413386,7.477278628031461
clean,group_oof,ablation_compact_stage12_bag,Cond1,798,52.09240795601504,7.217507045789081,5.81724000000297,14.48716778193603,7.145073127963798,7.373562367360246
clean,group_oof,ablation_compact_stage12_bag,Cond2,815,74.87945493473575,8.653291566492818,6.832689858892098,17.960148508846437,8.616888687177658,8.735103612551773
clean,group_oof,ablation_compact_stage12_bag,Cond3,364,16.92470134160009,4.1139641881766655,3.2025911764871755,8.339391945750451,4.098553327692297,4.128356552008422
clean,group_oof,ablation_compact_stage12_rf,all,1977,52.661849583978906,7.256848460866391,5.63900171759837,14.624313030218456,7.209005472048622,7.301810076922193
clean,group_oof,ablation_compact_stage12_rf,Cond1,798,49.86671604231185,7.061636923710525,5.679378062962073,13.490995403467544,6.963169094623222,7.131686880375793
clean,group_oof,ablation_compact_stage12_rf,Cond2,815,71.44865660184428,8.452730718640236,6.690731707711476,17.27173685268787,8.43477343279086,8.49934113517673
clean,group_oof,ablation_compact_stage12_rf,Cond3,364,16.725774986973473,4.089715758701756,3.19564933973459,8.339685257427087,4.083303027932484,4.098591740306439
clean,group_oof,compact12_bag,all,1977,23.385842379877396,4.835891063690061,3.7898910925866645,9.745853570609276,4.827343438616089,4.857978355984449
clean,group_oof,compact12_bag,Cond1,798,27.50945861812681,5.244946007169837,4.186667805736204,10.240505029264735,5.216357090512864,5.279830075032262
clean,group_oof,compact12_bag,Cond2,815,21.187106232374322,4.602945386638247,3.6052443897236084,8.830986690589581,4.603279113494753,4.628162636951698
clean,group_oof,compact12_bag,Cond3,364,19.268601176833343,4.389601482689897,3.333460449015396,9.130484819590727,4.348003257335618,4.429416414407939
clean,group_oof,compact12_rf,all,1977,22.333593158891517,4.725843116195407,3.7086995621647776,9.385172388062747,4.722955440674095,4.740379129934734
clean,group_oof,compact12_rf,Cond1,798,26.008490947622786,5.099852051542553,4.077097988929445,10.15481384869227,5.0763717924524325,5.125625732904009
clean,group_oof,compact12_rf,Cond2,815,20.63366963781999,4.54242992657234,3.546673777588481,8.649776714808624,4.54728547319455,4.555647612433158
clean,group_oof,compact12_rf,Cond3,364,18.083233912368847,4.252438584197172,3.2638343695040004,8.765502666000323,4.240702456143669,4.2784152596178195
clean,group_oof,compact33_bag,all,1977,31.367055426456623,5.600629913363016,4.323682139558207,11.620575096968773,5.596796457741041,5.616431561446424
clean,group_oof,compact33_bag,Cond1,798,30.346587028068605,5.508773641026522,4.169537760820117,11.90150192223361,5.458577054997512,5.607915268087139
clean,group_oof,compact33_bag,Cond2,815,40.45654161770646,6.360545701251306,5.1633685152528415,12.578240767964868,6.263161345987894,6.435511209111228
clean,group_oof,compact33_bag,Cond3,364,13.252776679327553,3.64043633089875,2.7815470242886087,7.553465019192404,3.63759495822942,3.6545819471582117
clean,group_oof,compact33_rf,all,1977,30.996476664145998,5.5674479489390825,4.304264953040726,11.60653828587019,5.553123964675543,5.58920662869228
clean,group_oof,compact33_rf,Cond1,798,29.798747484584855,5.458822902841312,4.145105396480332,11.770559609376672,5.40844954720338,5.535136895593029
clean,group_oof,compact33_rf,Cond2,815,40.134247604021986,6.3351596352437705,5.141609122374828,12.253473925833875,6.304075770585751,6.407964794470295
clean,group_oof,compact33_rf,Cond3,364,13.162698008351656,3.6280432754243237,2.77836887646903,7.426496818846743,3.62493426196964,3.640038343447886
clean,group_oof,condition_mean,all,1977,61.757351007012836,7.8585845422068745,6.121598414812783,16.258072692724724,7.8585845422068745,7.8585845422068745
clean,group_oof,condition_mean,Cond1,798,48.83031280652425,6.987868974624829,5.489269283574991,14.174045978605376,6.987868974624829,6.987868974624829
