sample_id,WAFER_ID,STAGE,condition,group_id,start,end,qc_active_episodes,qc_raw_count,qc_gap_count,qc_active_count,qc_longest_count,qc_trimmed_count,cohort
6e12493812a5f565ce96,-4230160598,A,Cond1,CMP-training-000.csv,481805836.333,481806198.0,1,187,187,71,71,60,training
2be9803bbdbf02137071,-4230160594,B,Cond2,CMP-training-000.csv,481859080.667,481859449.0,1,99,99,71,71,63,training
0d912928e6272614a0c1,-4230160436,B,Cond2,CMP-training-014.csv,482141791.0,482142175.667,1,200,200,82,82,70,training
768ed3716ed800b36423,-4230160428,A,Cond1,CMP-training-020.csv,482430691.333,482431049.667,1,187,187,72,72,64,training
116b8abb85ea208280a5,-4230160424,A,Cond1,CMP-training-020.csv,482345133.333,482345495.333,1,187,187,70,70,60,training
0e3a81eb0cb986226385,-4230160424,B,Cond2,CMP-training-020.csv,482381855.333,482382217.333,1,192,192,70,70,62,training
04afdd1c439211c8389d,-4230160416,B,Cond2,CMP-training-014.csv,482164854.333,482165236.667,1,200,200,68,68,61,training
4da37b8285072d5fce8e,-4230160408,A,Cond1,CMP-training-020.csv,482350570.0,482350934.667,1,186,186,71,71,63,training
733faafbe969be847e96,-4230160408,B,Cond2,CMP-training-020.csv,482383129.333,482383497.333,1,191,191,70,70,62,training
bccda63c87bec0a47d9c,-4228160702,A,Cond1,CMP-training-000.csv,481793143.0,481793503.0,1,189,189,69,69,61,training
faf9b118b6bb6efefe7e,-4228160702,B,Cond2,CMP-training-000.csv,481871532.667,481871905.667,1,198,198,72,72,66,training
cffaf60b05aca089e80d,-4228160698,B,Cond2,CMP-training-000.csv,481943405.0,481943779.333,1,198,198,69,69,61,training
6d54594b80801a7f0163,-4228160694,B,Cond2,CMP-training-000.csv,481858881.667,481859250.667,1,194,194,69,69,61,training
3abcf2a307208ba996a4,-4228160690,A,Cond1,CMP-training-000.csv,481768159.0,481768613.0,1,190,190,71,71,63,training
35ebfd06335c31593335,-4228160690,B,Cond2,CMP-training-000.csv,481795242.333,481795615.333,1,198,198,70,70,62,training
aabfebf8e14b506d8151,-4228160686,A,Cond1,CMP-training-000.csv,481809026.333,481809394.0,1,193,193,67,67,59,training
a977f34f9236cdacff16,-4228160686,B,Cond2,CMP-training-000.csv,481859461.667,481859832.667,1,194,194,70,70,62,training
351473c7e4037343d255,-4228160682,A,Cond1,CMP-training-000.csv,481793863.0,481794234.0,1,193,193,68,68,60,training
eaa7a669dfe8f22214a4,-4228160678,A,Cond1,CMP-training-000.csv,481794851.0,481795217.333,1,191,191,71,71,64,training
d0e1b9e587a5a312fad4,-4228160670,A,Cond1,CMP-training-000.csv,481813433.333,481813791.333,1,185,185,72,72,64,training
d2d996299d0391e7d6fc,-4228160670,B,Cond2,CMP-training-000.csv,481868673.333,481869045.333,1,199,199,71,71,63,training
69608816b1a4f857c209,-4228160662,A,Cond1,CMP-training-000.csv,481809224.0,481809586.0,1,189,189,70,70,62,training
e987ea7f07fb8a25b0dd,-4228160662,B,Cond2,CMP-training-000.csv,482001539.333,482001907.333,1,193,193,48,48,41,training
8a0ffc2f2fee8840281a,-4228160658,A,Cond1,CMP-training-000.csv,481907439.333,481907792.333,1,180,180,77,77,69,training
abd2d498ddc961fb5dc1,-4228160658,B,Cond2,CMP-training-000.csv,481948238.667,481948607.667,1,195,195,69,69,60,training
36c33a438518ee36f0ea,-4228160642,A,Cond1,CMP-training-000.csv,481813238.333,481813602.333,1,189,189,67,67,60,training
3e8fc3c783193cad51dd,-4228160642,B,Cond2,CMP-training-000.csv,481859661.667,481860040.0,1,196,196,67,67,62,training
8b02b17c76920c23a405,-4228160608,B,Cond2,CMP-training-000.csv,481777785.333,481778151.667,1,193,193,71,71,63,training
b886a352d8b662dc1118,-4228160604,A,Cond1,CMP-training-000.csv,481750382.0,481750755.333,1,196,196,70,70,62,training
e1d70ef84f51e97ba0b7,-4228160600,A,Cond1,CMP-training-000.csv,481732741.667,481733100.333,1,185,185,73,73,65,training
d8d132b69ad481892b4a,-4228160600,B,Cond2,CMP-training-000.csv,481757343.333,481757709.333,1,194,194,70,70,61,training
06c4e2ce0edf6cb6963e,-4228160596,A,Cond1,CMP-training-000.csv,481732545.333,481732909.333,1,192,192,71,71,63,training
8a0e21deec15547d6452,-4228160596,B,Cond2,CMP-training-000.csv,481767958.0,481768519.0,1,196,196,72,72,64,training
