evaluation,stage,rmse,mse,rmse_improvement_vs_previous_pct
group_oof,S1_features,4.813321077614641,23.168059796209366,0.7304857884159688
group_oof,S2_phase,4.802348528463646,23.062551388836944,0.22796212789596426
group_oof,S3_history,4.3594155412079685,19.004503860925567,9.223257842082921
group_oof,S4_final,4.3594155412079685,19.004503860925567,0.0
temporal,S1_features,4.202996219303032,17.665177219475584,-13.805180518604509
temporal,S2_phase,4.202996219303032,17.665177219475584,0.0
temporal,S3_history,4.163232983793349,17.33250887734487,0.9460687908084187
temporal,S4_final,4.163232983793349,17.33250887734487,0.0
validation,S1_features,3.400777328741585,11.565286439682753,-10.767005998690404
validation,S2_phase,3.396951858328661,11.539281927802543,0.11248811795446789
validation,S3_history,3.43338389561383,11.788124974660397,-1.0724920106195857
validation,S4_final,3.43338389561383,11.788124974660397,0.0
test,S1_features,3.391250416561832,11.500579387830795,-11.29695613702042
test,S2_phase,3.380140455510733,11.425349498980308,0.3276066254748189
test,S3_history,3.5087622001383054,12.3114121771194,-3.8052189345527676
test,S4_final,3.5087622001383054,12.3114121771194,0.0
