evaluation,model,n,clipped_n,clipped_fraction
nested_oof,base_direct,1977,0,0.0
nested_oof,base_residual,1977,15,0.007587253414264037
nested_oof,history_anchor,1977,0,0.0
nested_oof,joint_direct,1977,0,0.0
nested_oof,joint_residual,1977,32,0.01618614061709661
nested_oof,robust_reference,1977,0,0.0
nested_oof,selected,1977,4,0.0020232675771370764
temporal,base_direct,166,0,0.0
temporal,base_residual,166,0,0.0
temporal,history_anchor,166,0,0.0
temporal,joint_direct,166,0,0.0
temporal,joint_residual,166,0,0.0
temporal,robust_reference,166,0,0.0
temporal,selected,166,0,0.0
test,base_direct,424,0,0.0
test,base_residual,424,8,0.018867924528301886
test,history_anchor,424,0,0.0
test,joint_direct,424,0,0.0
test,joint_residual,424,6,0.014150943396226415
test,robust_reference,424,0,0.0
test,selected,424,0,0.0
validation,base_direct,424,0,0.0
validation,base_residual,424,13,0.030660377358490566
validation,history_anchor,424,0,0.0
validation,joint_direct,424,0,0.0
validation,joint_residual,424,14,0.0330188679245283
validation,robust_reference,424,0,0.0
validation,selected,424,0,0.0
