policy,condition,variant,feature,importance
completed,Cond1,base_direct,lag_1,14.152234544513247
completed,Cond1,base_direct,lag_2,0.004138532025405504
completed,Cond1,base_direct,lag_3,0.12620593923096815
completed,Cond1,base_direct,lag_4,0.02562143986634525
completed,Cond1,base_direct,lag_5,5.9348891092127145
completed,Cond1,base_direct,lag_6,0.003039306222871027
completed,Cond1,base_direct,lag_7,0.7271639421684956
completed,Cond1,base_direct,lag_8,0.15036694518366744
completed,Cond1,base_direct,lag_9,0.034970374531582374
completed,Cond1,base_direct,lag_10,0.33009260200737744
completed,Cond1,base_direct,lag_11,0.0833305609049125
completed,Cond1,base_direct,neighbor_1,14.991037771228672
completed,Cond1,base_direct,neighbor_2,0.08572372985583866
completed,Cond1,base_direct,neighbor_3,0.061866662744477496
completed,Cond1,base_direct,neighbor_4,0.5106296313199121
completed,Cond1,base_direct,neighbor_5,0.0056246423799376265
completed,Cond1,base_direct,neighbor_6,0.01785912890820209
completed,Cond1,base_direct,neighbor_7,0.4468812978402782
completed,Cond1,base_direct,neighbor_8,0.022059949958904666
completed,Cond1,base_direct,neighbor_9,3.5587827857556125
completed,Cond1,base_direct,neighbor_10,0.14783657864480268
completed,Cond1,base_direct,p2_primary_CENTER_AIR_BAG_PRESSURE_auc,0.007924946421394827
completed,Cond1,base_direct,p2_primary_CENTER_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,base_direct,p2_primary_CENTER_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,base_direct,p2_primary_DRESSING_WATER_STATUS_auc,0.04899485137815108
completed,Cond1,base_direct,p2_primary_DRESSING_WATER_STATUS_mean,0.04153294567045023
completed,Cond1,base_direct,p2_primary_DRESSING_WATER_STATUS_std,0.0017356540549891468
completed,Cond1,base_direct,p2_primary_EDGE_AIR_BAG_PRESSURE_auc,0.0
completed,Cond1,base_direct,p2_primary_EDGE_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,base_direct,p2_primary_EDGE_AIR_BAG_PRESSURE_std,0.3225747832358324
completed,Cond1,base_direct,p2_primary_HEAD_ROTATION_mean,0.009069600787069391
completed,Cond1,base_direct,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,18.105028411651386
completed,Cond1,base_direct,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,base_direct,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_std,0.011330321994106517
completed,Cond1,base_direct,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_auc,12.231670459820059
completed,Cond1,base_direct,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_mean,0.060350946653623096
completed,Cond1,base_direct,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_std,0.0
completed,Cond1,base_direct,p2_primary_RETAINER_RING_PRESSURE_auc,0.0
completed,Cond1,base_direct,p2_primary_RETAINER_RING_PRESSURE_mean,0.03515235903670191
completed,Cond1,base_direct,p2_primary_RETAINER_RING_PRESSURE_std,0.006948486888753689
completed,Cond1,base_direct,p2_primary_RIPPLE_AIR_BAG_PRESSURE_auc,0.03485128754568486
completed,Cond1,base_direct,p2_primary_RIPPLE_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,base_direct,p2_primary_RIPPLE_AIR_BAG_PRESSURE_std,0.10398342748958565
completed,Cond1,base_direct,p2_primary_SLURRY_FLOW_LINE_A_auc,0.1794131659673913
completed,Cond1,base_direct,p2_primary_SLURRY_FLOW_LINE_A_mean,0.15297581439815996
completed,Cond1,base_direct,p2_primary_SLURRY_FLOW_LINE_A_std,0.09331411737390122
completed,Cond1,base_direct,p2_primary_SLURRY_FLOW_LINE_B_auc,0.0
completed,Cond1,base_direct,p2_primary_SLURRY_FLOW_LINE_B_mean,0.011624426164840974
completed,Cond1,base_direct,p2_primary_SLURRY_FLOW_LINE_B_std,0.0037636246247193302
completed,Cond1,base_direct,p2_primary_SLURRY_FLOW_LINE_C_auc,0.060018532376644514
completed,Cond1,base_direct,p2_primary_SLURRY_FLOW_LINE_C_mean,0.0041209506780228436
completed,Cond1,base_direct,p2_primary_SLURRY_FLOW_LINE_C_std,0.02792746116741208
completed,Cond1,base_direct,p2_primary_STAGE_ROTATION_mean,0.0035382657762364506
completed,Cond1,base_direct,p2_primary_USAGE_OF_BACKING_FILM_decreasing,0.023644527684583173
completed,Cond1,base_direct,p2_primary_USAGE_OF_BACKING_FILM_mean,0.25223581522385796
completed,Cond1,base_direct,p2_primary_USAGE_OF_BACKING_FILM_std,0.00145803180536526
completed,Cond1,base_direct,p2_primary_USAGE_OF_DRESSER_TABLE_decreasing,0.016576812753386967
completed,Cond1,base_direct,p2_primary_USAGE_OF_DRESSER_TABLE_mean,8.442389358540629
completed,Cond1,base_direct,p2_primary_USAGE_OF_DRESSER_TABLE_std,0.0
completed,Cond1,base_direct,p2_primary_USAGE_OF_DRESSER_decreasing,0.002090498926424674
completed,Cond1,base_direct,p2_primary_USAGE_OF_DRESSER_mean,0.5274016915137874
completed,Cond1,base_direct,p2_primary_USAGE_OF_DRESSER_std,0.00521053787146579
completed,Cond1,base_direct,p2_primary_USAGE_OF_MEMBRANE_decreasing,0.00831800520464551
completed,Cond1,base_direct,p2_primary_USAGE_OF_MEMBRANE_mean,0.0
completed,Cond1,base_direct,p2_primary_USAGE_OF_MEMBRANE_std,0.0
completed,Cond1,base_direct,p2_primary_USAGE_OF_POLISHING_TABLE_decreasing,0.04437805842354557
completed,Cond1,base_direct,p2_primary_USAGE_OF_POLISHING_TABLE_mean,0.06732351301575076
completed,Cond1,base_direct,p2_primary_USAGE_OF_POLISHING_TABLE_std,8.352779666691369
completed,Cond1,base_direct,p2_primary_USAGE_OF_PRESSURIZED_SHEET_decreasing,0.0
completed,Cond1,base_direct,p2_primary_USAGE_OF_PRESSURIZED_SHEET_mean,0.0
completed,Cond1,base_direct,p2_primary_USAGE_OF_PRESSURIZED_SHEET_std,0.0
completed,Cond1,base_direct,p2_primary_WAFER_ROTATION_mean,0.011808365755632233
completed,Cond1,base_direct,p2_primary_duration,0.012491931439005979
completed,Cond1,base_direct,p2_secondary_CENTER_AIR_BAG_PRESSURE_auc,0.10551534685896646
completed,Cond1,base_direct,p2_secondary_CENTER_AIR_BAG_PRESSURE_mean,0.0
completed,Cond1,base_direct,p2_secondary_CENTER_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,base_direct,p2_secondary_DRESSING_WATER_STATUS_auc,0.0
completed,Cond1,base_direct,p2_secondary_DRESSING_WATER_STATUS_mean,0.029435367192773423
completed,Cond1,base_direct,p2_secondary_DRESSING_WATER_STATUS_std,1.1979955270715972
completed,Cond1,base_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_auc,0.006466691415827266
completed,Cond1,base_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_mean,0.01359873419862802
completed,Cond1,base_direct,p2_secondary_EDGE_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,base_direct,p2_secondary_HEAD_ROTATION_mean,0.028613341876025336
completed,Cond1,base_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,0.0
completed,Cond1,base_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,0.04458878850467439
completed,Cond1,base_direct,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_std,0.0
completed,Cond1,base_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_auc,0.0005142205381142929
completed,Cond1,base_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_mean,0.0
completed,Cond1,base_direct,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_std,0.005914334899967614
